,Intercambiador,Coche,Viaje,Hora Llegada Teórica,Desvio medio (minutos)
15,Valdecilla,2,3,2000-01-01 07:25:00,-3.8
0,Valdecilla,1,3,2000-01-01 07:45:00,-1.8533333333333335
29,Valdecilla,3,3,2000-01-01 08:05:00,-2.0966666666666667
41,Valdecilla,4,3,2000-01-01 08:25:00,-3.453333333333333
16,Valdecilla,2,5,2000-01-01 08:45:00,-2.4699999999999998
1,Valdecilla,1,5,2000-01-01 09:05:00,-2.416666666666667
30,Valdecilla,3,5,2000-01-01 09:25:00,-0.8533333333333333
42,Valdecilla,4,5,2000-01-01 09:50:00,-2.13
17,Valdecilla,2,7,2000-01-01 10:05:00,-2.51
18,Valdecilla,2,7,2000-01-01 10:08:00,-5.2
43,Valdecilla,4,6,2000-01-01 10:20:00,-1.7233333333333334
2,Valdecilla,1,7,2000-01-01 10:37:00,-2.2866666666666666
19,Valdecilla,2,9,2000-01-01 10:52:00,-2.3033333333333337
20,Valdecilla,2,9,2000-01-01 10:53:00,-2.533333333333333
44,Valdecilla,4,8,2000-01-01 11:07:00,-1.0699999999999998
3,Valdecilla,1,9,2000-01-01 11:20:00,-1.8766666666666665
21,Valdecilla,2,11,2000-01-01 11:35:00,-1.5599999999999998
22,Valdecilla,2,11,2000-01-01 11:38:00,-4.266666666666667
45,Valdecilla,4,10,2000-01-01 11:50:00,-1.1466666666666667
4,Valdecilla,1,11,2000-01-01 12:07:00,-1.7600000000000002
23,Valdecilla,2,13,2000-01-01 12:22:00,-1.5366666666666664
24,Valdecilla,2,13,2000-01-01 12:23:00,-4.183333333333334
46,Valdecilla,4,12,2000-01-01 12:38:00,-3.1199999999999997
25,Valdecilla,2,15,2000-01-01 12:58:00,-3.31
5,Valdecilla,1,14,2000-01-01 13:18:00,-2.4566666666666666
47,Valdecilla,4,14,2000-01-01 13:58:00,-0.8633333333333333
26,Valdecilla,2,17,2000-01-01 14:18:00,-3.0900000000000007
6,Valdecilla,1,16,2000-01-01 14:38:00,-2.7833333333333337
31,Valdecilla,3,10,2000-01-01 14:58:00,-2.8583333333333334
48,Valdecilla,4,16,2000-01-01 15:18:00,-3.956666666666667
7,Valdecilla,1,18,2000-01-01 15:58:00,-1.2899999999999998
32,Valdecilla,3,12,2000-01-01 16:22:00,-2.5633333333333335
49,Valdecilla,4,18,2000-01-01 16:37:00,-1.3599999999999999
33,Valdecilla,3,13,2000-01-01 16:50:00,-0.72
8,Valdecilla,1,19,2000-01-01 17:07:00,-0.8933333333333332
50,Valdecilla,4,20,2000-01-01 17:20:00,-2.2399999999999998
34,Valdecilla,3,15,2000-01-01 17:37:00,-0.7133333333333333
9,Valdecilla,1,21,2000-01-01 17:50:00,-1.3766666666666665
51,Valdecilla,4,22,2000-01-01 18:07:00,-2.21
35,Valdecilla,3,17,2000-01-01 18:20:00,-2.456666666666667
10,Valdecilla,1,23,2000-01-01 18:42:00,-2.0166666666666666
52,Valdecilla,4,24,2000-01-01 19:02:00,-2.8466666666666667
27,Valdecilla,2,22,2000-01-01 19:32:00,0.0
36,Valdecilla,3,20,2000-01-01 19:42:00,-2.6900000000000004
11,Valdecilla,1,25,2000-01-01 20:02:00,-1.9599999999999997
53,Valdecilla,4,26,2000-01-01 20:22:00,-4.726666666666667
28,Valdecilla,2,24,2000-01-01 20:42:00,-4.536666666666666
37,Valdecilla,3,22,2000-01-01 21:06:00,-3.823333333333333
12,Valdecilla,1,27,2000-01-01 21:21:00,-1.393333333333333
38,Valdecilla,3,23,2000-01-01 21:35:00,-3.383333333333333
13,Valdecilla,1,28,2000-01-01 21:50:00,-1.8966666666666665
39,Valdecilla,3,25,2000-01-01 22:06:00,-2.736666666666667
14,Valdecilla,1,30,2000-01-01 22:21:00,-2.4125
40,Valdecilla,3,27,2000-01-01 22:37:00,-2.9833333333333334
