,Intercambiador,Coche,Viaje,Hora Llegada Teórica,Desvio medio (minutos)
9,Valdecilla,2,2,2000-01-01 07:39:00,-1.425
0,Valdecilla,1,3,2000-01-01 07:59:00,-0.5375
13,Valdecilla,3,2,2000-01-01 08:14:00,-2.6708333333333334
10,Valdecilla,2,4,2000-01-01 09:14:00,-0.8541666666666666
1,Valdecilla,1,5,2000-01-01 09:34:00,-0.32916666666666666
14,Valdecilla,3,4,2000-01-01 09:54:00,-1.3375
22,Valdecilla,4,3,2000-01-01 10:44:00,0.5708333333333333
11,Valdecilla,2,6,2000-01-01 11:04:00,-1.3499999999999999
2,Valdecilla,1,7,2000-01-01 11:24:00,-0.8124999999999999
15,Valdecilla,3,6,2000-01-01 11:44:00,-0.7166666666666667
23,Valdecilla,4,5,2000-01-01 12:14:00,0.35416666666666663
12,Valdecilla,2,8,2000-01-01 12:54:00,-1.2374999999999998
3,Valdecilla,1,9,2000-01-01 13:14:00,-1.2083333333333333
16,Valdecilla,3,8,2000-01-01 13:39:00,-0.9875
24,Valdecilla,4,7,2000-01-01 14:04:00,-1.525
4,Valdecilla,1,11,2000-01-01 14:50:00,-1.7625000000000002
17,Valdecilla,3,10,2000-01-01 15:15:00,-1.6875
25,Valdecilla,4,9,2000-01-01 15:39:00,-1.8166666666666669
30,Valdecilla,10,2,2000-01-01 16:04:00,0.11250000000000004
5,Valdecilla,1,13,2000-01-01 16:24:00,-0.9916666666666667
18,Valdecilla,3,12,2000-01-01 16:49:00,-1.4041666666666668
26,Valdecilla,4,11,2000-01-01 17:14:00,-1.8083333333333336
31,Valdecilla,10,4,2000-01-01 17:54:00,-1.6041666666666667
6,Valdecilla,1,15,2000-01-01 18:14:00,-1.425
19,Valdecilla,3,14,2000-01-01 18:39:00,-1.4375
27,Valdecilla,4,13,2000-01-01 19:04:00,-1.9625
32,Valdecilla,10,6,2000-01-01 19:44:00,-2.8125
7,Valdecilla,1,17,2000-01-01 20:04:00,-2.65
20,Valdecilla,3,16,2000-01-01 20:29:00,-1.8166666666666667
28,Valdecilla,4,15,2000-01-01 20:54:00,-2.4458333333333333
33,Valdecilla,10,8,2000-01-01 21:19:00,-0.5083333333333333
8,Valdecilla,1,19,2000-01-01 21:39:00,-1.1166666666666667
21,Valdecilla,3,18,2000-01-01 22:04:00,-0.34583333333333344
29,Valdecilla,4,17,2000-01-01 22:29:00,-4.8
34,Valdecilla,10,10,2000-01-01 22:49:00,-2.8625
