,Intercambiador,Coche,Viaje,Hora Llegada Teórica,Desvio medio (minutos)
9,Valdecilla,2,2,2000-01-01 07:39:00,-1.9625000000000001
0,Valdecilla,1,3,2000-01-01 07:59:00,-1.75
14,Valdecilla,3,2,2000-01-01 08:14:00,-0.5666666666666667
10,Valdecilla,2,4,2000-01-01 09:14:00,-1.8708333333333331
1,Valdecilla,1,5,2000-01-01 09:34:00,-2.1125
15,Valdecilla,3,4,2000-01-01 09:54:00,-0.9749999999999999
24,Valdecilla,4,3,2000-01-01 10:44:00,-0.37083333333333335
11,Valdecilla,2,6,2000-01-01 11:04:00,-1.3
2,Valdecilla,1,7,2000-01-01 11:24:00,-2.025
16,Valdecilla,3,6,2000-01-01 11:44:00,-0.875
25,Valdecilla,4,5,2000-01-01 12:14:00,-1.2125
12,Valdecilla,2,8,2000-01-01 12:54:00,-2.191666666666667
3,Valdecilla,1,9,2000-01-01 13:14:00,-2.7583333333333333
17,Valdecilla,3,8,2000-01-01 13:39:00,-1.7125000000000001
26,Valdecilla,4,7,2000-01-01 14:04:00,0.020833333333333426
13,Valdecilla,2,10,2000-01-01 14:23:00,-2.75
4,Valdecilla,1,11,2000-01-01 14:50:00,-3.9583333333333335
18,Valdecilla,3,10,2000-01-01 14:53:00,-5.233333333333333
19,Valdecilla,3,10,2000-01-01 15:15:00,-1.5208333333333335
27,Valdecilla,4,9,2000-01-01 15:39:00,-1.7791666666666668
32,Valdecilla,10,2,2000-01-01 16:04:00,-2.5333333333333337
5,Valdecilla,1,13,2000-01-01 16:24:00,-1.9958333333333331
37,Valdecilla,104,2,2000-01-01 16:47:00,-0.8
20,Valdecilla,3,12,2000-01-01 16:49:00,-1.375
28,Valdecilla,4,11,2000-01-01 17:14:00,-1.8625
33,Valdecilla,10,4,2000-01-01 17:54:00,-2.629166666666667
6,Valdecilla,1,15,2000-01-01 18:14:00,0.02499999999999991
38,Valdecilla,104,4,2000-01-01 18:34:00,-2.433333333333333
21,Valdecilla,3,14,2000-01-01 18:39:00,-1.3291666666666666
29,Valdecilla,4,13,2000-01-01 19:04:00,-0.8041666666666667
34,Valdecilla,10,6,2000-01-01 19:44:00,-1.958333333333333
7,Valdecilla,1,17,2000-01-01 20:04:00,-2.3833333333333333
22,Valdecilla,3,16,2000-01-01 20:29:00,-2.8791666666666664
30,Valdecilla,4,15,2000-01-01 20:54:00,-3.75
35,Valdecilla,10,8,2000-01-01 21:19:00,-2.0458333333333334
8,Valdecilla,1,19,2000-01-01 21:39:00,-3.8375
23,Valdecilla,3,18,2000-01-01 22:04:00,-4.179166666666667
31,Valdecilla,4,17,2000-01-01 22:29:00,-4.533333333333333
36,Valdecilla,10,10,2000-01-01 22:49:00,-3.45
