,Intercambiador,Coche,Viaje,Hora Llegada Teórica,Desvio medio (minutos)
12,Valdecilla,2,7,2000-01-01 10:08:00,0.0
0,Valdecilla,1,9,2000-01-01 10:38:00,2.233333333333333
13,Valdecilla,2,9,2000-01-01 10:53:00,0.09
1,Valdecilla,1,11,2000-01-01 11:23:00,0.5233333333333333
14,Valdecilla,2,11,2000-01-01 11:38:00,0.15666666666666668
2,Valdecilla,1,13,2000-01-01 12:08:00,0.8833333333333332
15,Valdecilla,2,13,2000-01-01 12:23:00,-0.04
3,Valdecilla,1,15,2000-01-01 12:53:00,0.63
16,Valdecilla,2,21,2000-01-01 16:08:00,0.04
4,Valdecilla,1,23,2000-01-01 16:38:00,0.5599999999999998
17,Valdecilla,2,23,2000-01-01 16:53:00,0.12333333333333334
5,Valdecilla,1,25,2000-01-01 17:23:00,0.08
18,Valdecilla,2,25,2000-01-01 17:38:00,0.03666666666666667
6,Valdecilla,1,27,2000-01-01 18:08:00,0.27
19,Valdecilla,2,27,2000-01-01 18:23:00,0.11000000000000001
7,Valdecilla,1,29,2000-01-01 18:53:00,0.6733333333333333
20,Valdecilla,2,29,2000-01-01 19:08:00,0.02
8,Valdecilla,1,31,2000-01-01 19:38:00,-0.04
21,Valdecilla,2,31,2000-01-01 19:53:00,0.056666666666666664
9,Valdecilla,1,33,2000-01-01 20:23:00,0.6900000000000001
22,Valdecilla,2,33,2000-01-01 20:38:00,-0.013333333333333332
10,Valdecilla,1,35,2000-01-01 21:08:00,0.37333333333333335
23,Valdecilla,2,35,2000-01-01 21:23:00,0.21333333333333332
11,Valdecilla,1,37,2000-01-01 21:53:00,0.11000000000000001
24,Valdecilla,2,37,2000-01-01 22:08:00,-0.03
