,Intercambiador,Coche,Viaje,Hora Llegada Teórica,Desvio medio (minutos)
12,Valdecilla,2,7,2000-01-01 10:05:00,3.1033333333333335
13,Valdecilla,2,7,2000-01-01 10:08:00,0.0
0,Valdecilla,1,9,2000-01-01 10:38:00,0.5166666666666667
14,Valdecilla,2,9,2000-01-01 10:52:00,1.2566666666666666
15,Valdecilla,2,9,2000-01-01 10:53:00,0.0
1,Valdecilla,1,11,2000-01-01 11:23:00,-2.8
16,Valdecilla,2,11,2000-01-01 11:35:00,3.0700000000000003
17,Valdecilla,2,11,2000-01-01 11:38:00,0.0
2,Valdecilla,1,13,2000-01-01 12:08:00,0.0
18,Valdecilla,2,13,2000-01-01 12:22:00,1.4466666666666665
19,Valdecilla,2,13,2000-01-01 12:23:00,0.0
3,Valdecilla,1,15,2000-01-01 12:53:00,-4.266666666666667
20,Valdecilla,2,21,2000-01-01 16:08:00,0.0
4,Valdecilla,1,23,2000-01-01 16:38:00,0.0
21,Valdecilla,2,23,2000-01-01 16:53:00,0.0
5,Valdecilla,1,25,2000-01-01 17:23:00,-8.133333333333333
22,Valdecilla,2,25,2000-01-01 17:38:00,0.0
6,Valdecilla,1,27,2000-01-01 18:08:00,7.2
23,Valdecilla,2,27,2000-01-01 18:23:00,0.0
7,Valdecilla,1,29,2000-01-01 18:53:00,0.0
24,Valdecilla,2,29,2000-01-01 19:08:00,0.0
8,Valdecilla,1,31,2000-01-01 19:38:00,1.6666666666666667
25,Valdecilla,2,31,2000-01-01 19:53:00,0.0
9,Valdecilla,1,33,2000-01-01 20:23:00,0.0
26,Valdecilla,2,33,2000-01-01 20:38:00,0.0
10,Valdecilla,1,35,2000-01-01 21:08:00,0.4666666666666667
27,Valdecilla,2,35,2000-01-01 21:23:00,0.0
11,Valdecilla,1,37,2000-01-01 21:53:00,0.4166666666666667
28,Valdecilla,2,37,2000-01-01 22:08:00,0.0
