,Intercambiador,Coche,Viaje,Hora Llegada Teórica,Desvio medio (minutos)
0,Valdecilla,1,2,2000-01-01 09:53:00,-0.016666666666666666
20,Valdecilla,2,7,2000-01-01 10:08:00,-0.05416666666666667
1,Valdecilla,1,4,2000-01-01 10:38:00,0.5166666666666667
4,Valdecilla,1,9,2000-01-01 10:38:00,0.054166666666666675
22,Valdecilla,2,9,2000-01-01 10:53:00,0.0125
2,Valdecilla,1,6,2000-01-01 11:23:00,0.43333333333333335
6,Valdecilla,1,11,2000-01-01 11:23:00,1.475
24,Valdecilla,2,11,2000-01-01 11:38:00,0.0
3,Valdecilla,1,8,2000-01-01 12:08:00,1.4333333333333333
8,Valdecilla,1,13,2000-01-01 12:08:00,0.7958333333333333
26,Valdecilla,2,13,2000-01-01 12:23:00,0.0
5,Valdecilla,1,10,2000-01-01 12:53:00,-0.35
9,Valdecilla,1,15,2000-01-01 12:53:00,0.06666666666666667
7,Valdecilla,1,12,2000-01-01 13:38:00,0.7
27,Valdecilla,2,21,2000-01-01 16:08:00,0.0
10,Valdecilla,1,23,2000-01-01 16:38:00,0.07083333333333335
18,Valdecilla,2,3,2000-01-01 16:38:00,0.0
28,Valdecilla,2,23,2000-01-01 16:53:00,0.0
11,Valdecilla,1,25,2000-01-01 17:23:00,0.17083333333333334
19,Valdecilla,2,5,2000-01-01 17:23:00,-0.23333333333333334
29,Valdecilla,2,25,2000-01-01 17:38:00,0.0
12,Valdecilla,1,27,2000-01-01 18:08:00,0.45
21,Valdecilla,2,7,2000-01-01 18:08:00,0.18333333333333332
30,Valdecilla,2,27,2000-01-01 18:23:00,0.0
13,Valdecilla,1,29,2000-01-01 18:53:00,0.25416666666666665
23,Valdecilla,2,9,2000-01-01 18:53:00,0.2
31,Valdecilla,2,29,2000-01-01 19:08:00,0.0875
14,Valdecilla,1,31,2000-01-01 19:38:00,0.15416666666666665
25,Valdecilla,2,11,2000-01-01 19:38:00,-0.21666666666666667
32,Valdecilla,2,31,2000-01-01 19:53:00,0.0
15,Valdecilla,1,33,2000-01-01 20:23:00,0.3666666666666667
33,Valdecilla,2,33,2000-01-01 20:38:00,0.0
16,Valdecilla,1,35,2000-01-01 21:08:00,0.4708333333333333
34,Valdecilla,2,35,2000-01-01 21:23:00,0.0
17,Valdecilla,1,37,2000-01-01 21:53:00,0.19166666666666665
35,Valdecilla,2,37,2000-01-01 22:08:00,0.0
