,Intercambiador,Coche,Viaje,Hora Llegada Teórica,Desvio medio (minutos)
35,Sardinero,3,2,2000-01-01 07:40:00,-1.05
0,Sardinero,1,2,2000-01-01 07:56:00,-1.5666666666666667
1,Sardinero,1,3,2000-01-01 08:10:00,-2.1291666666666664
2,Sardinero,1,4,2000-01-01 08:36:00,-1.5833333333333333
36,Sardinero,3,4,2000-01-01 08:40:00,-1.25
3,Sardinero,1,5,2000-01-01 09:10:00,-1.1166666666666667
4,Sardinero,1,6,2000-01-01 09:16:00,-0.9166666666666666
37,Sardinero,3,6,2000-01-01 09:40:00,1.3041666666666667
6,Sardinero,1,8,2000-01-01 09:56:00,-1.05
5,Sardinero,1,7,2000-01-01 10:10:00,0.30833333333333335
50,Sardinero,109,1,2000-01-01 10:41:00,-0.21666666666666667
8,Sardinero,1,10,2000-01-01 10:51:00,0.7
38,Sardinero,3,8,2000-01-01 11:10:00,1.6041666666666667
10,Sardinero,1,12,2000-01-01 11:30:00,3.466666666666667
7,Sardinero,1,9,2000-01-01 11:40:00,0.21666666666666667
39,Sardinero,3,10,2000-01-01 12:10:00,2.2
12,Sardinero,1,14,2000-01-01 12:26:00,3.2
9,Sardinero,1,11,2000-01-01 12:40:00,2.004166666666667
14,Sardinero,1,16,2000-01-01 13:06:00,8.083333333333334
40,Sardinero,3,12,2000-01-01 13:10:00,3.191666666666667
11,Sardinero,1,13,2000-01-01 13:40:00,1.2083333333333333
15,Sardinero,1,18,2000-01-01 13:46:00,7.766666666666667
41,Sardinero,3,14,2000-01-01 14:10:00,0.4874999999999998
16,Sardinero,1,20,2000-01-01 14:26:00,1.85
13,Sardinero,1,15,2000-01-01 14:37:00,2.5166666666666666
17,Sardinero,1,22,2000-01-01 15:06:00,0.0
42,Sardinero,4,2,2000-01-01 15:10:00,-0.9708333333333332
18,Sardinero,2,3,2000-01-01 15:40:00,-0.65
19,Sardinero,2,3,2000-01-01 15:46:00,0.06666666666666667
43,Sardinero,4,4,2000-01-01 16:10:00,-1.6041666666666667
20,Sardinero,2,5,2000-01-01 16:26:00,1.3333333333333333
21,Sardinero,2,5,2000-01-01 16:40:00,0.28333333333333344
22,Sardinero,2,7,2000-01-01 17:06:00,1.0333333333333334
44,Sardinero,4,6,2000-01-01 17:10:00,-0.20833333333333331
23,Sardinero,2,7,2000-01-01 17:40:00,1.7833333333333332
24,Sardinero,2,9,2000-01-01 18:01:00,5.25
49,Sardinero,104,2,2000-01-01 18:11:00,1.1
26,Sardinero,2,11,2000-01-01 18:39:00,0.0
45,Sardinero,4,8,2000-01-01 18:40:00,2.095833333333333
25,Sardinero,2,9,2000-01-01 19:10:00,2.375
28,Sardinero,2,13,2000-01-01 19:21:00,0.0
46,Sardinero,4,10,2000-01-01 19:40:00,0.5583333333333332
27,Sardinero,2,11,2000-01-01 20:10:00,1.0958333333333334
30,Sardinero,2,15,2000-01-01 20:16:00,0.0
47,Sardinero,4,12,2000-01-01 20:40:00,-0.6708333333333333
32,Sardinero,2,17,2000-01-01 20:56:00,0.0
29,Sardinero,2,13,2000-01-01 21:10:00,-1.4416666666666669
33,Sardinero,2,19,2000-01-01 21:36:00,0.0
48,Sardinero,4,14,2000-01-01 21:40:00,-3.0166666666666666
31,Sardinero,2,15,2000-01-01 22:10:00,-0.8791666666666668
34,Sardinero,2,21,2000-01-01 22:14:00,0.0
