,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,20,9,2018-09-14 07:28:37,2018-09-14 07:24:00,0 days 00:04:37.000000000,0,0,4.616666666666666,7.28
1,20,20,2018-09-14 07:44:29,2018-09-14 07:36:20,0 days 00:08:09.000000000,0,1,8.15,7.44
3,20,20,2018-09-14 08:14:21,2018-09-14 08:09:00,0 days 00:05:21.000000000,0,0,5.35,8.14
5,20,20,2018-09-14 08:44:36,2018-09-14 08:39:57,0 days 00:04:39.000000000,0,0,4.65,8.44
7,20,20,2018-09-14 09:14:47,2018-09-14 09:09:15,0 days 00:05:32.000000000,0,0,5.533333333333333,9.14
10,20,20,2018-09-14 09:44:18,2018-09-14 09:39:47,0 days 00:04:31.000000000,0,0,4.516666666666667,9.44
11,8,8,2018-09-14 09:48:53,2018-09-14 09:39:47,0 days 00:09:06.000000000,0,1,9.1,9.48
12,20,9,2018-09-14 10:02:26,2018-09-14 09:52:47,0 days 00:09:39.000000000,0,1,9.65,10.02
13,8,8,2018-09-14 10:01:47,2018-09-14 09:52:47,0 days 00:09:00.000000000,0,1,9.0,10.01
14,20,20,2018-09-14 10:14:20,2018-09-14 10:09:26,0 days 00:04:54.000000000,0,0,4.9,10.14
15,8,8,2018-09-14 10:18:50,2018-09-14 10:09:26,0 days 00:09:24.000000000,0,1,9.4,10.18
16,20,9,2018-09-14 10:31:34,2018-09-14 10:22:48,0 days 00:08:46.000000000,0,1,8.766666666666667,10.31
18,20,20,2018-09-14 10:44:21,2018-09-14 10:37:33,0 days 00:06:48.000000000,0,1,6.8,10.44
19,8,8,2018-09-14 10:47:18,2018-09-14 10:37:33,0 days 00:09:45.000000000,0,1,9.75,10.47
20,20,9,2018-09-14 11:00:37,2018-09-14 10:54:41,0 days 00:05:56.000000000,0,0,5.933333333333334,11.0
21,8,8,2018-09-14 11:01:26,2018-09-14 10:54:41,0 days 00:06:45.000000000,0,1,6.75,11.01
22,20,20,2018-09-14 11:14:16,2018-09-14 11:10:31,0 days 00:03:45.000000000,0,0,3.75,11.14
23,8,8,2018-09-14 11:17:38,2018-09-14 11:10:31,0 days 00:07:07.000000000,0,1,7.116666666666666,11.17
24,20,9,2018-09-14 11:32:30,2018-09-14 11:26:06,0 days 00:06:24.000000000,0,1,6.4,11.32
25,8,8,2018-09-14 11:29:57,2018-09-14 11:26:06,0 days 00:03:51.000000000,0,0,3.85,11.29
26,20,9,2018-09-14 12:02:29,2018-09-14 11:57:00,0 days 00:05:29.000000000,0,0,5.483333333333333,12.02
27,8,8,2018-09-14 12:00:55,2018-09-14 11:57:00,0 days 00:03:55.000000000,0,0,3.9166666666666665,12.0
28,20,20,2018-09-14 12:14:40,2018-09-14 12:11:32,0 days 00:03:08.000000000,0,0,3.1333333333333333,12.14
29,8,8,2018-09-14 12:16:46,2018-09-14 12:11:32,0 days 00:05:14.000000000,0,0,5.233333333333333,12.16
30,20,9,2018-09-14 12:33:20,2018-09-14 12:25:49,0 days 00:07:31.000000000,0,1,7.516666666666667,12.33
31,8,8,2018-09-14 12:32:33,2018-09-14 12:25:49,0 days 00:06:44.000000000,0,1,6.733333333333333,12.32
32,20,20,2018-09-14 12:45:07,2018-09-14 12:40:43,0 days 00:04:24.000000000,0,0,4.4,12.45
33,8,8,2018-09-14 12:46:45,2018-09-14 12:40:43,0 days 00:06:02.000000000,0,1,6.033333333333333,12.46
35,20,20,2018-09-14 13:16:20,2018-09-14 13:09:32,0 days 00:06:48.000000000,0,1,6.8,13.16
