,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,20,9,2018-07-23 07:28:47,2018-07-23 07:21:01,0 days 00:07:46.000000000,0,1,7.766666666666667,7.28
1,20,20,2018-07-23 07:44:00,2018-07-23 07:35:14,0 days 00:08:46.000000000,0,1,8.766666666666667,7.44
3,20,20,2018-07-23 08:14:31,2018-07-23 08:07:03,0 days 00:07:28.000000000,0,1,7.466666666666667,8.14
5,20,20,2018-07-23 08:44:03,2018-07-23 08:37:11,0 days 00:06:52.000000000,0,1,6.866666666666666,8.44
7,20,20,2018-07-23 09:14:22,2018-07-23 09:06:48,0 days 00:07:34.000000000,0,1,7.566666666666666,9.14
10,20,20,2018-07-23 09:43:34,2018-07-23 09:39:05,0 days 00:04:29.000000000,0,0,4.483333333333333,9.43
11,8,8,2018-07-23 09:46:51,2018-07-23 09:39:05,0 days 00:07:46.000000000,0,1,7.766666666666667,9.46
12,20,9,2018-07-23 10:02:20,2018-07-23 09:53:13,0 days 00:09:07.000000000,0,1,9.116666666666667,10.02
13,8,8,2018-07-23 09:59:00,2018-07-23 09:53:13,0 days 00:05:47.000000000,0,0,5.783333333333333,9.59
14,20,20,2018-07-23 10:14:00,2018-07-23 10:10:00,0 days 00:04:00.000000000,0,0,4.0,10.14
15,8,8,2018-07-23 10:14:00,2018-07-23 10:10:00,0 days 00:04:00.000000000,0,0,4.0,10.14
16,20,20,2018-07-23 10:49:51,2018-07-23 10:46:08,0 days 00:03:43.000000000,0,0,3.716666666666667,10.49
17,8,8,2018-07-23 10:50:19,2018-07-23 10:46:08,0 days 00:04:11.000000000,0,0,4.183333333333334,10.5
18,20,9,2018-07-23 11:03:27,2018-07-23 10:56:08,0 days 00:07:19.000000000,0,1,7.316666666666666,11.03
19,8,8,2018-07-23 11:01:34,2018-07-23 10:56:08,0 days 00:05:26.000000000,0,0,5.433333333333334,11.01
20,20,9,2018-07-23 11:03:27,2018-07-23 11:00:43,0 days 00:02:44.000000000,0,0,2.7333333333333334,11.03
21,8,8,2018-07-23 11:01:34,2018-07-23 11:00:43,0 days 00:00:51.000000000,0,0,0.85,11.01
25,8,8,2018-07-23 11:32:24,2018-07-23 11:23:12,0 days 00:09:12.000000000,0,1,9.2,11.32
26,20,9,2018-07-23 12:05:13,2018-07-23 11:57:15,0 days 00:07:58.000000000,0,1,7.966666666666667,12.05
27,8,8,2018-07-23 12:04:33,2018-07-23 11:57:15,0 days 00:07:18.000000000,0,1,7.3,12.04
28,20,20,2018-07-23 12:17:00,2018-07-23 12:10:06,0 days 00:06:54.000000000,0,1,6.9,12.17
29,8,8,2018-07-23 12:19:01,2018-07-23 12:10:06,0 days 00:08:55.000000000,0,1,8.916666666666666,12.19
30,20,9,2018-07-23 12:36:16,2018-07-23 12:29:58,0 days 00:06:18.000000000,0,1,6.3,12.36
31,8,8,2018-07-23 12:32:40,2018-07-23 12:29:58,0 days 00:02:42.000000000,0,0,2.7,12.32
32,20,20,2018-07-23 12:45:41,2018-07-23 12:37:29,0 days 00:08:12.000000000,0,1,8.2,12.45
35,20,20,2018-07-23 13:17:47,2018-07-23 13:10:47,0 days 00:07:00.000000000,0,1,7.0,13.17
37,20,20,2018-07-23 13:46:04,2018-07-23 13:42:02,0 days 00:04:02.000000000,0,0,4.033333333333333,13.46
39,20,20,2018-07-23 14:18:32,2018-07-23 14:09:39,0 days 00:08:53.000000000,0,1,8.883333333333333,14.18
41,20,20,2018-07-23 14:43:48,2018-07-23 14:38:31,0 days 00:05:17.000000000,0,0,5.283333333333333,14.43
43,20,20,2018-07-23 15:14:30,2018-07-23 15:11:55,0 days 00:02:35.000000000,0,0,2.5833333333333335,15.14
