,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,13,14,2018-06-25 07:32:39,2018-06-25 07:28:56,0 days 00:03:43.000000000,0,0,3.716666666666667,7.32
2,13,13,2018-06-25 07:51:40,2018-06-25 07:45:08,0 days 00:06:32.000000000,0,1,6.533333333333333,7.51
4,13,14,2018-06-25 08:06:46,2018-06-25 07:58:46,0 days 00:08:00.000000000,0,1,8.0,8.06
5,3,3,2018-06-25 08:22:29,2018-06-25 08:15:02,0 days 00:07:27.000000000,0,1,7.45,8.22
6,13,13,2018-06-25 08:20:41,2018-06-25 08:15:02,0 days 00:05:39.000000000,0,0,5.65,8.2
8,13,14,2018-06-25 08:34:37,2018-06-25 08:30:20,0 days 00:04:17.000000000,0,0,4.283333333333333,8.34
9,3,3,2018-06-25 08:46:08,2018-06-25 08:46:04,0 days 00:00:04.000000000,0,0,0.06666666666666667,8.46
10,13,13,2018-06-25 08:51:40,2018-06-25 08:46:04,0 days 00:05:36.000000000,0,0,5.6,8.51
11,3,3,2018-06-25 09:04:54,2018-06-25 08:59:24,0 days 00:05:30.000000000,0,0,5.5,9.04
12,13,14,2018-06-25 09:07:06,2018-06-25 08:59:24,0 days 00:07:42.000000000,0,1,7.7,9.07
13,3,3,2018-06-25 09:24:30,2018-06-25 09:16:01,0 days 00:08:29.000000000,0,1,8.483333333333333,9.24
14,13,13,2018-06-25 09:21:42,2018-06-25 09:16:01,0 days 00:05:41.000000000,0,0,5.683333333333334,9.21
17,3,3,2018-06-25 09:46:31,2018-06-25 09:45:35,0 days 00:00:56.000000000,0,0,0.9333333333333333,9.46
18,13,14,2018-06-25 09:49:20,2018-06-25 09:45:35,0 days 00:03:45.000000000,0,0,3.75,9.49
19,3,3,2018-06-25 10:06:34,2018-06-25 10:02:14,0 days 00:04:20.000000000,0,0,4.333333333333333,10.06
21,3,3,2018-06-25 10:20:46,2018-06-25 10:16:51,0 days 00:03:55.000000000,0,0,3.9166666666666665,10.2
22,13,14,2018-06-25 10:24:19,2018-06-25 10:16:51,0 days 00:07:28.000000000,0,1,7.466666666666667,10.24
24,3,3,2018-06-25 10:37:33,2018-06-25 10:33:42,0 days 00:03:51.000000000,0,0,3.85,10.37
25,13,13,2018-06-25 10:36:40,2018-06-25 10:33:42,0 days 00:02:58.000000000,0,0,2.966666666666667,10.36
26,17,17,2018-06-25 10:38:06,2018-06-25 10:33:42,0 days 00:04:24.000000000,0,0,4.4,10.38
27,3,3,2018-06-25 10:52:35,2018-06-25 10:50:19,0 days 00:02:16.000000000,0,0,2.2666666666666666,10.52
29,3,3,2018-06-25 11:10:53,2018-06-25 11:02:49,0 days 00:08:04.000000000,0,1,8.066666666666666,11.1
30,13,13,2018-06-25 11:06:15,2018-06-25 11:02:49,0 days 00:03:26.000000000,0,0,3.433333333333333,11.06
31,3,3,2018-06-25 11:22:29,2018-06-25 11:20:22,0 days 00:02:07.000000000,0,0,2.1166666666666667,11.22
32,13,14,2018-06-25 11:28:59,2018-06-25 11:20:22,0 days 00:08:37.000000000,0,1,8.616666666666667,11.28
36,17,17,2018-06-25 11:37:00,2018-06-25 11:35:21,0 days 00:01:39.000000000,0,0,1.65,11.37
37,3,3,2018-06-25 11:52:33,2018-06-25 11:52:27,0 days 00:00:06.000000000,0,0,0.1,11.52
38,13,13,2018-06-25 11:52:49,2018-06-25 11:52:27,0 days 00:00:22.000000000,0,0,0.36666666666666664,11.52
40,3,3,2018-06-25 12:09:13,2018-06-25 12:04:54,0 days 00:04:19.000000000,0,0,4.316666666666666,12.09
41,13,14,2018-06-25 12:07:13,2018-06-25 12:04:54,0 days 00:02:19.000000000,0,0,2.316666666666667,12.07
42,17,17,2018-06-25 12:07:00,2018-06-25 12:04:54,0 days 00:02:06.000000000,0,0,2.1,12.07
45,13,14,2018-06-25 12:39:40,2018-06-25 12:34:00,0 days 00:05:40.000000000,0,0,5.666666666666667,12.39
47,13,13,2018-06-25 12:51:31,2018-06-25 12:50:13,0 days 00:01:18.000000000,0,0,1.3,12.51
50,3,3,2018-06-25 13:27:47,2018-06-25 13:25:40,0 days 00:02:07.000000000,0,0,2.1166666666666667,13.27
52,3,3,2018-06-25 13:44:10,2018-06-25 13:34:27,0 days 00:09:43.000000000,0,1,9.716666666666667,13.44
53,13,14,2018-06-25 13:36:58,2018-06-25 13:34:27,0 days 00:02:31.000000000,0,0,2.5166666666666666,13.36
55,13,13,2018-06-25 13:51:32,2018-06-25 13:51:27,0 days 00:00:05.000000000,0,0,0.08333333333333333,13.51
57,13,14,2018-06-25 14:06:56,2018-06-25 14:05:46,0 days 00:01:10.000000000,0,0,1.1666666666666667,14.06
59,13,13,2018-06-25 14:22:23,2018-06-25 14:16:36,0 days 00:05:47.000000000,0,0,5.783333333333333,14.22
60,3,3,2018-06-25 14:42:07,2018-06-25 14:35:19,0 days 00:06:48.000000000,0,1,6.8,14.42
61,13,14,2018-06-25 14:38:32,2018-06-25 14:35:19,0 days 00:03:13.000000000,0,0,3.216666666666667,14.38
63,13,13,2018-06-25 14:52:35,2018-06-25 14:46:08,0 days 00:06:27.000000000,0,1,6.45,14.52
65,13,14,2018-06-25 15:08:25,2018-06-25 15:03:38,0 days 00:04:47.000000000,0,0,4.783333333333333,15.08
66,3,3,2018-06-25 15:20:04,2018-06-25 15:18:12,0 days 00:01:52.000000000,0,0,1.8666666666666667,15.2
67,13,13,2018-06-25 15:22:56,2018-06-25 15:18:12,0 days 00:04:44.000000000,0,0,4.733333333333333,15.22
69,13,14,2018-06-25 15:36:00,2018-06-25 15:31:32,0 days 00:04:28.000000000,0,0,4.466666666666667,15.36
70,3,3,2018-06-25 15:47:37,2018-06-25 15:46:56,0 days 00:00:41.000000000,0,0,0.6833333333333333,15.47
71,13,13,2018-06-25 15:52:07,2018-06-25 15:46:56,0 days 00:05:11.000000000,0,0,5.183333333333334,15.52
74,13,14,2018-06-25 16:06:13,2018-06-25 16:01:34,0 days 00:04:39.000000000,0,0,4.65,16.06
75,17,17,2018-06-25 16:07:00,2018-06-25 16:01:34,0 days 00:05:26.000000000,0,0,5.433333333333334,16.07
76,3,3,2018-06-25 16:18:55,2018-06-25 16:16:33,0 days 00:02:22.000000000,0,0,2.3666666666666667,16.18
77,13,13,2018-06-25 16:23:42,2018-06-25 16:16:33,0 days 00:07:09.000000000,0,1,7.15,16.23
79,3,3,2018-06-25 16:39:26,2018-06-25 16:32:10,0 days 00:07:16.000000000,0,1,7.266666666666667,16.39
80,13,14,2018-06-25 16:36:34,2018-06-25 16:32:10,0 days 00:04:24.000000000,0,0,4.4,16.36
81,17,17,2018-06-25 16:37:00,2018-06-25 16:32:10,0 days 00:04:50.000000000,0,0,4.833333333333333,16.37
82,3,3,2018-06-25 16:51:55,2018-06-25 16:47:33,0 days 00:04:22.000000000,0,0,4.366666666666666,16.51
84,3,3,2018-06-25 17:08:55,2018-06-25 17:02:06,0 days 00:06:49.000000000,0,1,6.816666666666666,17.08
85,13,13,2018-06-25 17:06:33,2018-06-25 17:02:06,0 days 00:04:27.000000000,0,0,4.45,17.06
