,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,13,14,2018-06-11 07:34:24,2018-06-11 07:29:49,0 days 00:04:35.000000000,0,0,4.583333333333333,7.34
1,13,13,2018-06-11 07:53:23,2018-06-11 07:46:01,0 days 00:07:22.000000000,0,1,7.366666666666666,7.53
2,13,14,2018-06-11 08:03:46,2018-06-11 08:00:46,0 days 00:03:00.000000000,0,0,3.0,8.03
3,13,13,2018-06-11 08:23:16,2018-06-11 08:21:29,0 days 00:01:47.000000000,0,0,1.7833333333333334,8.23
4,13,14,2018-06-11 08:37:47,2018-06-11 08:36:11,0 days 00:01:36.000000000,0,0,1.6,8.37
5,13,13,2018-06-11 08:53:23,2018-06-11 08:50:25,0 days 00:02:58.000000000,0,0,2.966666666666667,8.53
6,13,14,2018-06-11 09:06:06,2018-06-11 09:03:45,0 days 00:02:21.000000000,0,0,2.35,9.06
7,13,13,2018-06-11 09:21:50,2018-06-11 09:17:09,0 days 00:04:41.000000000,0,0,4.683333333333334,9.21
10,13,14,2018-06-11 09:51:04,2018-06-11 09:48:27,0 days 00:02:37.000000000,0,0,2.6166666666666667,9.51
12,3,3,2018-06-11 10:06:20,2018-06-11 10:01:18,0 days 00:05:02.000000000,0,0,5.033333333333333,10.06
14,17,17,2018-06-11 10:07:00,2018-06-11 10:01:18,0 days 00:05:42.000000000,0,0,5.7,10.07
16,13,13,2018-06-11 10:39:54,2018-06-11 10:30:41,0 days 00:09:13.000000000,0,1,9.216666666666667,10.39
17,17,17,2018-06-11 10:37:00,2018-06-11 10:30:41,0 days 00:06:19.000000000,0,1,6.316666666666666,10.37
18,3,3,2018-06-11 10:51:43,2018-06-11 10:49:29,0 days 00:02:14.000000000,0,0,2.2333333333333334,10.51
19,13,14,2018-06-11 10:50:57,2018-06-11 10:49:29,0 days 00:01:28.000000000,0,0,1.4666666666666666,10.5
20,3,3,2018-06-11 11:09:37,2018-06-11 11:04:30,0 days 00:05:07.000000000,0,0,5.116666666666666,11.09
21,13,13,2018-06-11 11:06:30,2018-06-11 11:04:30,0 days 00:02:00.000000000,0,0,2.0,11.06
23,3,3,2018-06-11 11:36:00,2018-06-11 11:30:53,0 days 00:05:07.000000000,0,0,5.116666666666666,11.36
25,17,17,2018-06-11 11:37:00,2018-06-11 11:30:53,0 days 00:06:07.000000000,0,1,6.116666666666666,11.37
29,3,3,2018-06-11 12:10:01,2018-06-11 12:04:14,0 days 00:05:47.000000000,0,0,5.783333333333333,12.1
30,13,14,2018-06-11 12:05:13,2018-06-11 12:04:14,0 days 00:00:59.000000000,0,0,0.9833333333333333,12.05
31,17,17,2018-06-11 12:07:00,2018-06-11 12:04:14,0 days 00:02:46.000000000,0,0,2.7666666666666666,12.07
32,3,3,2018-06-11 12:23:34,2018-06-11 12:17:40,0 days 00:05:54.000000000,0,0,5.9,12.23
33,13,13,2018-06-11 12:22:38,2018-06-11 12:17:40,0 days 00:04:58.000000000,0,0,4.966666666666667,12.22
34,13,14,2018-06-11 12:33:34,2018-06-11 12:31:00,0 days 00:02:34.000000000,0,0,2.566666666666667,12.33
35,13,13,2018-06-11 12:53:24,2018-06-11 12:48:07,0 days 00:05:17.000000000,0,0,5.283333333333333,12.53
36,13,14,2018-06-11 13:04:26,2018-06-11 13:03:54,0 days 00:00:32.000000000,0,0,0.5333333333333333,13.04
37,13,13,2018-06-11 13:21:16,2018-06-11 13:21:03,0 days 00:00:13.000000000,0,0,0.21666666666666667,13.21
38,13,14,2018-06-11 13:38:11,2018-06-11 13:33:51,0 days 00:04:20.000000000,0,0,4.333333333333333,13.38
39,13,13,2018-06-11 13:51:37,2018-06-11 13:51:00,0 days 00:00:37.000000000,0,0,0.6166666666666667,13.51
40,13,14,2018-06-11 14:04:59,2018-06-11 14:00:56,0 days 00:04:03.000000000,0,0,4.05,14.04
41,13,13,2018-06-11 14:23:17,2018-06-11 14:17:32,0 days 00:05:45.000000000,0,0,5.75,14.23
42,13,14,2018-06-11 14:39:37,2018-06-11 14:32:04,0 days 00:07:33.000000000,0,1,7.55,14.39
43,13,13,2018-06-11 14:51:39,2018-06-11 14:50:50,0 days 00:00:49.000000000,0,0,0.8166666666666667,14.51
44,13,14,2018-06-11 15:06:16,2018-06-11 14:59:39,0 days 00:06:37.000000000,0,1,6.616666666666666,15.06
45,13,13,2018-06-11 15:22:58,2018-06-11 15:14:13,0 days 00:08:45.000000000,0,1,8.75,15.22
46,13,14,2018-06-11 15:35:00,2018-06-11 15:29:15,0 days 00:05:45.000000000,0,0,5.75,15.35
47,13,13,2018-06-11 15:51:14,2018-06-11 15:44:37,0 days 00:06:37.000000000,0,1,6.616666666666666,15.51
49,13,14,2018-06-11 16:04:19,2018-06-11 16:04:12,0 days 00:00:07.000000000,0,0,0.11666666666666667,16.04
50,17,17,2018-06-11 16:07:00,2018-06-11 16:04:12,0 days 00:02:48.000000000,0,0,2.8,16.07
52,13,13,2018-06-11 16:21:13,2018-06-11 16:16:14,0 days 00:04:59.000000000,0,0,4.983333333333333,16.21
54,3,3,2018-06-11 16:38:34,2018-06-11 16:30:45,0 days 00:07:49.000000000,0,1,7.816666666666666,16.38
55,13,14,2018-06-11 16:34:43,2018-06-11 16:30:45,0 days 00:03:58.000000000,0,0,3.966666666666667,16.34
56,17,17,2018-06-11 16:37:00,2018-06-11 16:30:45,0 days 00:06:15.000000000,0,1,6.25,16.37
57,3,3,2018-06-11 16:53:10,2018-06-11 16:45:43,0 days 00:07:27.000000000,0,1,7.45,16.53
59,3,3,2018-06-11 17:08:19,2018-06-11 17:01:20,0 days 00:06:59.000000000,0,1,6.983333333333333,17.08
60,13,13,2018-06-11 17:06:26,2018-06-11 17:01:20,0 days 00:05:06.000000000,0,0,5.1,17.06
61,3,3,2018-06-11 17:22:56,2018-06-11 17:14:15,0 days 00:08:41.000000000,0,1,8.683333333333334,17.22
62,13,14,2018-06-11 17:20:03,2018-06-11 17:14:15,0 days 00:05:48.000000000,0,0,5.8,17.2
64,3,3,2018-06-11 17:40:00,2018-06-11 17:30:53,0 days 00:09:07.000000000,0,1,9.116666666666667,17.4
65,13,13,2018-06-11 17:36:26,2018-06-11 17:30:53,0 days 00:05:33.000000000,0,0,5.55,17.36
66,17,17,2018-06-11 17:37:00,2018-06-11 17:30:53,0 days 00:06:07.000000000,0,1,6.116666666666666,17.37
67,3,3,2018-06-11 17:52:09,2018-06-11 17:49:44,0 days 00:02:25.000000000,0,0,2.4166666666666665,17.52
68,13,14,2018-06-11 17:50:00,2018-06-11 17:49:44,0 days 00:00:16.000000000,0,0,0.26666666666666666,17.5
70,3,3,2018-06-11 18:06:30,2018-06-11 18:04:53,0 days 00:01:37.000000000,0,0,1.6166666666666667,18.06
71,13,13,2018-06-11 18:06:27,2018-06-11 18:04:53,0 days 00:01:34.000000000,0,0,1.5666666666666667,18.06
72,17,17,2018-06-11 18:12:41,2018-06-11 18:04:53,0 days 00:07:48.000000000,0,1,7.8,18.12
73,3,3,2018-06-11 18:22:55,2018-06-11 18:17:34,0 days 00:05:21.000000000,0,0,5.35,18.22
