,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,20,9,2018-09-07 07:28:27,2018-09-07 07:22:21,0 days 00:06:06.000000000,0,1,6.1,7.28
1,20,20,2018-09-07 07:45:03,2018-09-07 07:37:04,0 days 00:07:59.000000000,0,1,7.983333333333333,7.45
3,20,20,2018-09-07 08:14:16,2018-09-07 08:09:06,0 days 00:05:10.000000000,0,0,5.166666666666667,8.14
5,20,20,2018-09-07 08:44:29,2018-09-07 08:38:43,0 days 00:05:46.000000000,0,0,5.766666666666667,8.44
7,20,20,2018-09-07 09:16:06,2018-09-07 09:07:10,0 days 00:08:56.000000000,0,1,8.933333333333334,9.16
10,20,20,2018-09-07 09:44:50,2018-09-07 09:38:11,0 days 00:06:39.000000000,0,1,6.65,9.44
12,20,9,2018-09-07 10:00:56,2018-09-07 09:54:34,0 days 00:06:22.000000000,0,1,6.366666666666666,10.0
13,8,8,2018-09-07 09:59:27,2018-09-07 09:54:34,0 days 00:04:53.000000000,0,0,4.883333333333334,9.59
14,20,9,2018-09-07 10:32:35,2018-09-07 10:23:43,0 days 00:08:52.000000000,0,1,8.866666666666667,10.32
15,8,8,2018-09-07 10:31:27,2018-09-07 10:23:43,0 days 00:07:44.000000000,0,1,7.733333333333333,10.31
16,20,20,2018-09-07 10:44:00,2018-09-07 10:40:46,0 days 00:03:14.000000000,0,0,3.2333333333333334,10.44
17,8,8,2018-09-07 10:45:39,2018-09-07 10:40:46,0 days 00:04:53.000000000,0,0,4.883333333333334,10.45
18,20,9,2018-09-07 11:03:48,2018-09-07 10:54:06,0 days 00:09:42.000000000,0,1,9.7,11.03
19,8,8,2018-09-07 10:59:49,2018-09-07 10:54:06,0 days 00:05:43.000000000,0,0,5.716666666666667,10.59
20,20,20,2018-09-07 11:15:26,2018-09-07 11:08:44,0 days 00:06:42.000000000,0,1,6.7,11.15
22,20,9,2018-09-07 11:31:56,2018-09-07 11:24:53,0 days 00:07:03.000000000,0,1,7.05,11.31
23,8,8,2018-09-07 11:30:13,2018-09-07 11:24:53,0 days 00:05:20.000000000,0,0,5.333333333333333,11.3
24,20,9,2018-09-07 12:03:50,2018-09-07 11:56:14,0 days 00:07:36.000000000,0,1,7.6,12.03
25,8,8,2018-09-07 12:01:23,2018-09-07 11:56:14,0 days 00:05:09.000000000,0,0,5.15,12.01
26,20,20,2018-09-07 12:16:16,2018-09-07 12:10:02,0 days 00:06:14.000000000,0,1,6.233333333333333,12.16
27,8,8,2018-09-07 12:17:34,2018-09-07 12:10:02,0 days 00:07:32.000000000,0,1,7.533333333333333,12.17
28,20,9,2018-09-07 12:29:00,2018-09-07 12:23:52,0 days 00:05:08.000000000,0,0,5.133333333333334,12.29
29,8,8,2018-09-07 12:29:38,2018-09-07 12:23:52,0 days 00:05:46.000000000,0,0,5.766666666666667,12.29
30,20,20,2018-09-07 12:46:40,2018-09-07 12:40:07,0 days 00:06:33.000000000,0,1,6.55,12.46
31,8,8,2018-09-07 12:47:32,2018-09-07 12:40:07,0 days 00:07:25.000000000,0,1,7.416666666666667,12.47
33,20,20,2018-09-07 13:15:49,2018-09-07 13:10:04,0 days 00:05:45.000000000,0,0,5.75,13.15
35,20,20,2018-09-07 13:47:06,2018-09-07 13:40:09,0 days 00:06:57.000000000,0,1,6.95,13.47
37,20,20,2018-09-07 14:14:31,2018-09-07 14:09:46,0 days 00:04:45.000000000,0,0,4.75,14.14
39,20,20,2018-09-07 14:44:32,2018-09-07 14:41:22,0 days 00:03:10.000000000,0,0,3.1666666666666665,14.44
41,20,20,2018-09-07 15:14:00,2018-09-07 15:07:50,0 days 00:06:10.000000000,0,1,6.166666666666667,15.14
43,20,20,2018-09-07 15:44:31,2018-09-07 15:39:33,0 days 00:04:58.000000000,0,0,4.966666666666667,15.44
44,20,9,2018-09-07 16:00:00,2018-09-07 15:52:53,0 days 00:07:07.000000000,0,1,7.116666666666666,16.0
46,20,20,2018-09-07 16:14:00,2018-09-07 16:08:43,0 days 00:05:17.000000000,0,0,5.283333333333333,16.14
47,8,8,2018-09-07 16:14:25,2018-09-07 16:08:43,0 days 00:05:42.000000000,0,0,5.7,16.14
48,20,9,2018-09-07 16:30:48,2018-09-07 16:23:43,0 days 00:07:05.000000000,0,1,7.083333333333333,16.3
49,8,8,2018-09-07 16:31:54,2018-09-07 16:23:43,0 days 00:08:11.000000000,0,1,8.183333333333334,16.31
50,20,20,2018-09-07 16:45:39,2018-09-07 16:37:26,0 days 00:08:13.000000000,0,1,8.216666666666667,16.45
51,8,8,2018-09-07 16:46:55,2018-09-07 16:37:26,0 days 00:09:29.000000000,0,1,9.483333333333333,16.46
52,20,9,2018-09-07 17:02:48,2018-09-07 16:54:10,0 days 00:08:38.000000000,0,1,8.633333333333333,17.02
53,8,8,2018-09-07 17:01:55,2018-09-07 16:54:10,0 days 00:07:45.000000000,0,1,7.75,17.01
54,20,20,2018-09-07 17:14:00,2018-09-07 17:10:49,0 days 00:03:11.000000000,0,0,3.183333333333333,17.14
55,8,8,2018-09-07 17:15:16,2018-09-07 17:10:49,0 days 00:04:27.000000000,0,0,4.45,17.15
56,20,9,2018-09-07 17:29:00,2018-09-07 17:22:54,0 days 00:06:06.000000000,0,1,6.1,17.29
57,8,8,2018-09-07 17:31:33,2018-09-07 17:22:54,0 days 00:08:39.000000000,0,1,8.65,17.31
58,20,9,2018-09-07 18:00:26,2018-09-07 17:54:58,0 days 00:05:28.000000000,0,0,5.466666666666667,18.0
59,8,8,2018-09-07 18:01:06,2018-09-07 17:54:58,0 days 00:06:08.000000000,0,1,6.133333333333334,18.01
60,20,9,2018-09-07 18:00:26,2018-09-07 17:59:30,0 days 00:00:56.000000000,0,0,0.9333333333333333,18.0
61,8,8,2018-09-07 18:01:06,2018-09-07 17:59:30,0 days 00:01:36.000000000,0,0,1.6,18.01
62,20,20,2018-09-07 18:14:57,2018-09-07 18:11:00,0 days 00:03:57.000000000,0,0,3.95,18.14
63,8,8,2018-09-07 18:15:38,2018-09-07 18:11:00,0 days 00:04:38.000000000,0,0,4.633333333333334,18.15
64,20,9,2018-09-07 18:33:44,2018-09-07 18:25:22,0 days 00:08:22.000000000,0,1,8.366666666666667,18.33
65,8,8,2018-09-07 18:32:40,2018-09-07 18:25:22,0 days 00:07:18.000000000,0,1,7.3,18.32
66,20,20,2018-09-07 18:44:00,2018-09-07 18:38:18,0 days 00:05:42.000000000,0,0,5.7,18.44
67,8,8,2018-09-07 18:45:13,2018-09-07 18:38:18,0 days 00:06:55.000000000,0,1,6.916666666666667,18.45
68,20,20,2018-09-07 19:17:29,2018-09-07 19:10:22,0 days 00:07:07.000000000,0,1,7.116666666666666,19.17
69,8,8,2018-09-07 19:16:03,2018-09-07 19:10:22,0 days 00:05:41.000000000,0,0,5.683333333333334,19.16
71,8,8,2018-09-07 19:32:19,2018-09-07 19:24:12,0 days 00:08:07.000000000,0,1,8.116666666666667,19.32
72,20,20,2018-09-07 19:48:39,2018-09-07 19:40:30,0 days 00:08:09.000000000,0,1,8.15,19.48
73,8,8,2018-09-07 19:46:01,2018-09-07 19:40:30,0 days 00:05:31.000000000,0,0,5.516666666666667,19.46
74,20,9,2018-09-07 20:01:31,2018-09-07 19:54:14,0 days 00:07:17.000000000,0,1,7.283333333333333,20.01
75,8,8,2018-09-07 20:02:43,2018-09-07 19:54:14,0 days 00:08:29.000000000,0,1,8.483333333333333,20.02
77,8,8,2018-09-07 20:18:03,2018-09-07 20:10:07,0 days 00:07:56.000000000,0,1,7.933333333333334,20.18
78,20,9,2018-09-07 20:32:34,2018-09-07 20:25:15,0 days 00:07:19.000000000,0,1,7.316666666666666,20.32
79,8,8,2018-09-07 20:33:05,2018-09-07 20:25:15,0 days 00:07:50.000000000,0,1,7.833333333333333,20.33
81,8,8,2018-09-07 20:46:51,2018-09-07 20:45:18,0 days 00:01:33.000000000,0,0,1.55,20.46
82,20,9,2018-09-07 21:02:12,2018-09-07 21:00:17,0 days 00:01:55.000000000,0,0,1.9166666666666667,21.02
83,8,8,2018-09-07 21:03:07,2018-09-07 21:00:17,0 days 00:02:50.000000000,0,0,2.8333333333333335,21.03
84,20,20,2018-09-07 21:16:01,2018-09-07 21:09:29,0 days 00:06:32.000000000,0,1,6.533333333333333,21.16
85,8,8,2018-09-07 21:14:48,2018-09-07 21:09:29,0 days 00:05:19.000000000,0,0,5.316666666666666,21.14
86,20,9,2018-09-07 21:30:34,2018-09-07 21:23:41,0 days 00:06:53.000000000,0,1,6.883333333333334,21.3
87,8,8,2018-09-07 21:31:52,2018-09-07 21:23:41,0 days 00:08:11.000000000,0,1,8.183333333333334,21.31
88,20,20,2018-09-07 21:44:00,2018-09-07 21:38:41,0 days 00:05:19.000000000,0,0,5.316666666666666,21.44
89,8,8,2018-09-07 21:45:36,2018-09-07 21:38:41,0 days 00:06:55.000000000,0,1,6.916666666666667,21.45
90,20,9,2018-09-07 22:01:00,2018-09-07 21:53:19,0 days 00:07:41.000000000,0,1,7.683333333333334,22.01
91,8,8,2018-09-07 22:01:26,2018-09-07 21:53:19,0 days 00:08:07.000000000,0,1,8.116666666666667,22.01
92,20,20,2018-09-07 22:15:59,2018-09-07 22:07:28,0 days 00:08:31.000000000,0,1,8.516666666666667,22.15
93,8,8,2018-09-07 22:16:26,2018-09-07 22:07:28,0 days 00:08:58.000000000,0,1,8.966666666666667,22.16
94,20,9,2018-09-07 22:30:10,2018-09-07 22:22:54,0 days 00:07:16.000000000,0,1,7.266666666666667,22.3
95,8,8,2018-09-07 22:30:17,2018-09-07 22:22:54,0 days 00:07:23.000000000,0,1,7.383333333333334,22.3
