,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,13,14,2018-05-18 07:35:40,2018-05-18 07:30:47,0 days 00:04:53.000000000,0,0,4.883333333333334,7.35
1,13,13,2018-05-18 07:53:31,2018-05-18 07:44:05,0 days 00:09:26.000000000,0,1,9.433333333333334,7.53
2,13,14,2018-05-18 08:05:17,2018-05-18 08:01:34,0 days 00:03:43.000000000,0,0,3.716666666666667,8.05
3,13,13,2018-05-18 08:21:48,2018-05-18 08:16:58,0 days 00:04:50.000000000,0,0,4.833333333333333,8.21
4,13,14,2018-05-18 08:36:53,2018-05-18 08:30:43,0 days 00:06:10.000000000,0,1,6.166666666666667,8.36
5,13,13,2018-05-18 08:51:43,2018-05-18 08:44:52,0 days 00:06:51.000000000,0,1,6.85,8.51
6,13,14,2018-05-18 09:11:03,2018-05-18 09:01:35,0 days 00:09:28.000000000,0,1,9.466666666666667,9.11
7,13,13,2018-05-18 09:22:29,2018-05-18 09:16:23,0 days 00:06:06.000000000,0,1,6.1,9.22
10,13,13,2018-05-18 09:51:32,2018-05-18 09:46:24,0 days 00:05:08.000000000,0,0,5.133333333333334,9.51
14,13,13,2018-05-18 10:36:46,2018-05-18 10:29:40,0 days 00:07:06.000000000,0,1,7.1,10.36
15,17,17,2018-05-18 10:38:47,2018-05-18 10:29:40,0 days 00:09:07.000000000,0,1,9.116666666666667,10.38
16,3,3,2018-05-18 10:53:31,2018-05-18 10:48:12,0 days 00:05:19.000000000,0,0,5.316666666666666,10.53
17,13,14,2018-05-18 10:57:16,2018-05-18 10:48:12,0 days 00:09:04.000000000,0,1,9.066666666666666,10.57
18,17,17,2018-05-18 10:52:00,2018-05-18 10:48:12,0 days 00:03:48.000000000,0,0,3.8,10.52
19,3,3,2018-05-18 11:08:30,2018-05-18 11:04:51,0 days 00:03:39.000000000,0,0,3.65,11.08
20,13,13,2018-05-18 11:06:51,2018-05-18 11:04:51,0 days 00:02:00.000000000,0,0,2.0,11.06
22,3,3,2018-05-18 11:37:26,2018-05-18 11:34:24,0 days 00:03:02.000000000,0,0,3.033333333333333,11.37
24,17,17,2018-05-18 11:37:00,2018-05-18 11:34:24,0 days 00:02:36.000000000,0,0,2.6,11.37
25,3,3,2018-05-18 11:51:11,2018-05-18 11:51:02,0 days 00:00:09.000000000,0,0,0.15,11.51
26,13,13,2018-05-18 11:53:53,2018-05-18 11:51:02,0 days 00:02:51.000000000,0,0,2.85,11.53
28,3,3,2018-05-18 12:07:55,2018-05-18 12:05:08,0 days 00:02:47.000000000,0,0,2.783333333333333,12.07
30,17,17,2018-05-18 12:07:19,2018-05-18 12:05:08,0 days 00:02:11.000000000,0,0,2.183333333333333,12.07
31,3,3,2018-05-18 12:23:33,2018-05-18 12:18:05,0 days 00:05:28.000000000,0,0,5.466666666666667,12.23
32,13,14,2018-05-18 12:18:38,2018-05-18 12:18:05,0 days 00:00:33.000000000,0,0,0.55,12.18
33,13,14,2018-05-18 12:37:58,2018-05-18 12:34:18,0 days 00:03:40.000000000,0,0,3.6666666666666665,12.37
35,13,13,2018-05-18 12:54:53,2018-05-18 12:50:05,0 days 00:04:48.000000000,0,0,4.8,12.54
36,17,17,2018-05-18 12:52:33,2018-05-18 12:50:05,0 days 00:02:28.000000000,0,0,2.466666666666667,12.52
38,13,13,2018-05-18 13:23:12,2018-05-18 13:20:57,0 days 00:02:15.000000000,0,0,2.25,13.23
39,13,14,2018-05-18 13:42:27,2018-05-18 13:34:20,0 days 00:08:07.000000000,0,1,8.116666666666667,13.42
40,13,13,2018-05-18 13:52:46,2018-05-18 13:46:25,0 days 00:06:21.000000000,0,1,6.35,13.52
42,13,13,2018-05-18 14:23:11,2018-05-18 14:17:44,0 days 00:05:27.000000000,0,0,5.45,14.23
46,13,13,2018-05-18 15:21:23,2018-05-18 15:17:29,0 days 00:03:54.000000000,0,0,3.9,15.21
48,13,14,2018-05-18 15:46:36,2018-05-18 15:42:55,0 days 00:03:41.000000000,0,0,3.683333333333333,15.46
50,13,14,2018-05-18 16:06:00,2018-05-18 16:02:00,0 days 00:04:00.000000000,0,0,4.0,16.06
51,17,17,2018-05-18 16:07:00,2018-05-18 16:02:00,0 days 00:05:00.000000000,0,0,5.0,16.07
53,13,13,2018-05-18 16:22:36,2018-05-18 16:14:35,0 days 00:08:01.000000000,0,1,8.016666666666667,16.22
55,3,3,2018-05-18 16:38:42,2018-05-18 16:29:33,0 days 00:09:09.000000000,0,1,9.15,16.38
56,13,14,2018-05-18 16:36:00,2018-05-18 16:29:33,0 days 00:06:27.000000000,0,1,6.45,16.36
57,17,17,2018-05-18 16:37:00,2018-05-18 16:29:33,0 days 00:07:27.000000000,0,1,7.45,16.37
60,17,17,2018-05-18 16:52:00,2018-05-18 16:44:55,0 days 00:07:05.000000000,0,1,7.083333333333333,16.52
61,3,3,2018-05-18 17:07:42,2018-05-18 17:04:27,0 days 00:03:15.000000000,0,0,3.25,17.07
62,13,13,2018-05-18 17:06:09,2018-05-18 17:04:27,0 days 00:01:42.000000000,0,0,1.7,17.06
64,3,3,2018-05-18 17:21:25,2018-05-18 17:16:31,0 days 00:04:54.000000000,0,0,4.9,17.21
65,13,14,2018-05-18 17:20:53,2018-05-18 17:16:31,0 days 00:04:22.000000000,0,0,4.366666666666666,17.2
66,17,17,2018-05-18 17:22:00,2018-05-18 17:16:31,0 days 00:05:29.000000000,0,0,5.483333333333333,17.22
67,3,3,2018-05-18 17:36:49,2018-05-18 17:31:29,0 days 00:05:20.000000000,0,0,5.333333333333333,17.36
68,13,13,2018-05-18 17:36:27,2018-05-18 17:31:29,0 days 00:04:58.000000000,0,0,4.966666666666667,17.36
69,17,17,2018-05-18 17:37:00,2018-05-18 17:31:29,0 days 00:05:31.000000000,0,0,5.516666666666667,17.37
70,3,3,2018-05-18 17:52:16,2018-05-18 17:46:34,0 days 00:05:42.000000000,0,0,5.7,17.52
71,13,14,2018-05-18 17:48:44,2018-05-18 17:46:34,0 days 00:02:10.000000000,0,0,2.1666666666666665,17.48
73,3,3,2018-05-18 18:08:13,2018-05-18 18:04:40,0 days 00:03:33.000000000,0,0,3.55,18.08
74,13,13,2018-05-18 18:06:27,2018-05-18 18:04:40,0 days 00:01:47.000000000,0,0,1.7833333333333334,18.06
75,17,17,2018-05-18 18:07:00,2018-05-18 18:04:40,0 days 00:02:20.000000000,0,0,2.3333333333333335,18.07
76,3,3,2018-05-18 18:21:28,2018-05-18 18:17:24,0 days 00:04:04.000000000,0,0,4.066666666666666,18.21
77,13,14,2018-05-18 18:19:36,2018-05-18 18:17:24,0 days 00:02:12.000000000,0,0,2.2,18.19
78,17,17,2018-05-18 18:26:00,2018-05-18 18:17:24,0 days 00:08:36.000000000,0,1,8.6,18.26
79,13,13,2018-05-18 18:36:20,2018-05-18 18:31:59,0 days 00:04:21.000000000,0,0,4.35,18.36
81,13,14,2018-05-18 18:49:36,2018-05-18 18:46:38,0 days 00:02:58.000000000,0,0,2.966666666666667,18.49
82,17,17,2018-05-18 18:52:13,2018-05-18 18:46:38,0 days 00:05:35.000000000,0,0,5.583333333333333,18.52
83,13,13,2018-05-18 19:06:20,2018-05-18 19:03:19,0 days 00:03:01.000000000,0,0,3.0166666666666666,19.06
86,13,14,2018-05-18 19:35:23,2018-05-18 19:32:08,0 days 00:03:15.000000000,0,0,3.25,19.35
87,17,17,2018-05-18 19:37:12,2018-05-18 19:32:08,0 days 00:05:04.000000000,0,0,5.066666666666666,19.37
88,13,13,2018-05-18 19:51:40,2018-05-18 19:50:33,0 days 00:01:07.000000000,0,0,1.1166666666666667,19.51
