,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,13,14,2018-05-17 07:36:00,2018-05-17 07:27:44,0 days 00:08:16.000000000,0,1,8.266666666666667,7.36
1,13,13,2018-05-17 07:51:59,2018-05-17 07:45:00,0 days 00:06:59.000000000,0,1,6.983333333333333,7.51
2,13,14,2018-05-17 08:05:14,2018-05-17 08:01:56,0 days 00:03:18.000000000,0,0,3.3,8.05
3,13,13,2018-05-17 08:21:26,2018-05-17 08:15:33,0 days 00:05:53.000000000,0,0,5.883333333333334,8.21
4,13,14,2018-05-17 08:38:06,2018-05-17 08:30:33,0 days 00:07:33.000000000,0,1,7.55,8.38
5,13,13,2018-05-17 08:51:40,2018-05-17 08:50:56,0 days 00:00:44.000000000,0,0,0.7333333333333333,8.51
6,13,14,2018-05-17 09:04:16,2018-05-17 09:01:47,0 days 00:02:29.000000000,0,0,2.4833333333333334,9.04
7,13,13,2018-05-17 09:21:33,2018-05-17 09:17:17,0 days 00:04:16.000000000,0,0,4.266666666666667,9.21
10,13,13,2018-05-17 09:51:24,2018-05-17 09:46:29,0 days 00:04:55.000000000,0,0,4.916666666666667,9.51
11,3,3,2018-05-17 10:07:26,2018-05-17 10:01:12,0 days 00:06:14.000000000,0,1,6.233333333333333,10.07
13,3,3,2018-05-17 10:38:29,2018-05-17 10:32:28,0 days 00:06:01.000000000,0,1,6.016666666666667,10.38
14,13,13,2018-05-17 10:36:24,2018-05-17 10:32:28,0 days 00:03:56.000000000,0,0,3.933333333333333,10.36
15,17,17,2018-05-17 10:38:13,2018-05-17 10:32:28,0 days 00:05:45.000000000,0,0,5.75,10.38
16,3,3,2018-05-17 10:54:18,2018-05-17 10:44:32,0 days 00:09:46.000000000,0,1,9.766666666666667,10.54
17,13,14,2018-05-17 10:51:00,2018-05-17 10:44:32,0 days 00:06:28.000000000,0,1,6.466666666666667,10.51
18,17,17,2018-05-17 10:52:00,2018-05-17 10:44:32,0 days 00:07:28.000000000,0,1,7.466666666666667,10.52
20,13,13,2018-05-17 11:06:12,2018-05-17 10:59:57,0 days 00:06:15.000000000,0,1,6.25,11.06
22,3,3,2018-05-17 11:37:48,2018-05-17 11:34:14,0 days 00:03:34.000000000,0,0,3.566666666666667,11.37
24,17,17,2018-05-17 11:37:00,2018-05-17 11:34:14,0 days 00:02:46.000000000,0,0,2.7666666666666666,11.37
25,3,3,2018-05-17 11:51:57,2018-05-17 11:46:23,0 days 00:05:34.000000000,0,0,5.566666666666666,11.51
26,13,13,2018-05-17 11:52:02,2018-05-17 11:46:23,0 days 00:05:39.000000000,0,0,5.65,11.52
28,3,3,2018-05-17 12:09:15,2018-05-17 12:05:08,0 days 00:04:07.000000000,0,0,4.116666666666666,12.09
29,13,14,2018-05-17 12:08:01,2018-05-17 12:05:08,0 days 00:02:53.000000000,0,0,2.8833333333333333,12.08
30,17,17,2018-05-17 12:07:00,2018-05-17 12:05:08,0 days 00:01:52.000000000,0,0,1.8666666666666667,12.07
31,3,3,2018-05-17 12:24:12,2018-05-17 12:19:14,0 days 00:04:58.000000000,0,0,4.966666666666667,12.24
32,13,13,2018-05-17 12:21:57,2018-05-17 12:19:14,0 days 00:02:43.000000000,0,0,2.716666666666667,12.21
33,17,17,2018-05-17 12:22:00,2018-05-17 12:19:14,0 days 00:02:46.000000000,0,0,2.7666666666666666,12.22
34,13,14,2018-05-17 12:36:42,2018-05-17 12:34:02,0 days 00:02:40.000000000,0,0,2.6666666666666665,12.36
36,13,13,2018-05-17 12:51:24,2018-05-17 12:47:22,0 days 00:04:02.000000000,0,0,4.033333333333333,12.51
37,17,17,2018-05-17 12:52:24,2018-05-17 12:47:22,0 days 00:05:02.000000000,0,0,5.033333333333333,12.52
38,13,14,2018-05-17 13:06:00,2018-05-17 13:02:46,0 days 00:03:14.000000000,0,0,3.2333333333333334,13.06
40,13,14,2018-05-17 13:35:09,2018-05-17 13:29:52,0 days 00:05:17.000000000,0,0,5.283333333333333,13.35
41,13,13,2018-05-17 13:51:22,2018-05-17 13:47:48,0 days 00:03:34.000000000,0,0,3.566666666666667,13.51
42,13,14,2018-05-17 14:08:04,2018-05-17 14:00:43,0 days 00:07:21.000000000,0,1,7.35,14.08
43,13,13,2018-05-17 14:21:16,2018-05-17 14:17:23,0 days 00:03:53.000000000,0,0,3.8833333333333333,14.21
44,13,14,2018-05-17 14:35:31,2018-05-17 14:33:40,0 days 00:01:51.000000000,0,0,1.85,14.35
47,13,14,2018-05-17 15:19:19,2018-05-17 15:15:44,0 days 00:03:35.000000000,0,0,3.5833333333333335,15.19
48,13,14,2018-05-17 15:33:55,2018-05-17 15:30:19,0 days 00:03:36.000000000,0,0,3.6,15.33
49,13,13,2018-05-17 15:52:12,2018-05-17 15:46:30,0 days 00:05:42.000000000,0,0,5.7,15.52
51,13,14,2018-05-17 16:06:00,2018-05-17 15:59:51,0 days 00:06:09.000000000,0,1,6.15,16.06
52,17,17,2018-05-17 16:07:00,2018-05-17 15:59:51,0 days 00:07:09.000000000,0,1,7.15,16.07
54,13,13,2018-05-17 16:23:21,2018-05-17 16:18:12,0 days 00:05:09.000000000,0,0,5.15,16.23
56,3,3,2018-05-17 16:38:22,2018-05-17 16:33:34,0 days 00:04:48.000000000,0,0,4.8,16.38
57,13,14,2018-05-17 16:36:28,2018-05-17 16:33:34,0 days 00:02:54.000000000,0,0,2.9,16.36
58,17,17,2018-05-17 16:37:19,2018-05-17 16:33:34,0 days 00:03:45.000000000,0,0,3.75,16.37
59,3,3,2018-05-17 16:51:18,2018-05-17 16:46:30,0 days 00:04:48.000000000,0,0,4.8,16.51
61,17,17,2018-05-17 16:52:00,2018-05-17 16:46:30,0 days 00:05:30.000000000,0,0,5.5,16.52
62,3,3,2018-05-17 17:08:20,2018-05-17 17:01:53,0 days 00:06:27.000000000,0,1,6.45,17.08
63,13,13,2018-05-17 17:09:51,2018-05-17 17:01:53,0 days 00:07:58.000000000,0,1,7.966666666666667,17.09
65,3,3,2018-05-17 17:21:18,2018-05-17 17:18:05,0 days 00:03:13.000000000,0,0,3.216666666666667,17.21
66,13,14,2018-05-17 17:22:26,2018-05-17 17:18:05,0 days 00:04:21.000000000,0,0,4.35,17.22
67,17,17,2018-05-17 17:22:15,2018-05-17 17:18:05,0 days 00:04:10.000000000,0,0,4.166666666666667,17.22
68,3,3,2018-05-17 17:38:22,2018-05-17 17:31:44,0 days 00:06:38.000000000,0,1,6.633333333333334,17.38
69,13,13,2018-05-17 17:38:59,2018-05-17 17:31:44,0 days 00:07:15.000000000,0,1,7.25,17.38
70,17,17,2018-05-17 17:37:00,2018-05-17 17:31:44,0 days 00:05:16.000000000,0,0,5.266666666666667,17.37
71,3,3,2018-05-17 17:52:31,2018-05-17 17:51:44,0 days 00:00:47.000000000,0,0,0.7833333333333333,17.52
74,3,3,2018-05-17 18:08:28,2018-05-17 18:04:11,0 days 00:04:17.000000000,0,0,4.283333333333333,18.08
75,13,13,2018-05-17 18:07:44,2018-05-17 18:04:11,0 days 00:03:33.000000000,0,0,3.55,18.07
76,17,17,2018-05-17 18:07:17,2018-05-17 18:04:11,0 days 00:03:06.000000000,0,0,3.1,18.07
77,3,3,2018-05-17 18:19:20,2018-05-17 18:17:42,0 days 00:01:38.000000000,0,0,1.6333333333333333,18.19
78,13,14,2018-05-17 18:22:17,2018-05-17 18:17:42,0 days 00:04:35.000000000,0,0,4.583333333333333,18.22
79,17,17,2018-05-17 18:22:00,2018-05-17 18:17:42,0 days 00:04:18.000000000,0,0,4.3,18.22
80,13,13,2018-05-17 18:40:37,2018-05-17 18:33:44,0 days 00:06:53.000000000,0,1,6.883333333333334,18.4
82,13,14,2018-05-17 18:53:14,2018-05-17 18:52:14,0 days 00:01:00.000000000,0,0,1.0,18.53
83,13,13,2018-05-17 19:07:41,2018-05-17 19:01:22,0 days 00:06:19.000000000,0,1,6.316666666666666,19.07
87,17,17,2018-05-17 19:37:36,2018-05-17 19:36:34,0 days 00:01:02.000000000,0,0,1.0333333333333334,19.37
88,13,13,2018-05-17 19:53:34,2018-05-17 19:49:05,0 days 00:04:29.000000000,0,0,4.483333333333333,19.53
89,17,17,2018-05-17 19:52:58,2018-05-17 19:49:05,0 days 00:03:53.000000000,0,0,3.8833333333333333,19.52
90,13,14,2018-05-17 20:07:46,2018-05-17 20:02:03,0 days 00:05:43.000000000,0,0,5.716666666666667,20.07
