,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,13,14,2018-08-14 07:35:43,2018-08-14 07:27:59,0 days 00:07:44.000000000,0,1,7.733333333333333,7.35
1,13,13,2018-08-14 07:53:26,2018-08-14 07:44:21,0 days 00:09:05.000000000,0,1,9.083333333333334,7.53
2,13,14,2018-08-14 08:08:26,2018-08-14 08:00:49,0 days 00:07:37.000000000,0,1,7.616666666666666,8.08
3,13,13,2018-08-14 08:21:31,2018-08-14 08:14:46,0 days 00:06:45.000000000,0,1,6.75,8.21
4,13,14,2018-08-14 08:34:41,2018-08-14 08:29:01,0 days 00:05:40.000000000,0,0,5.666666666666667,8.34
5,13,13,2018-08-14 08:52:40,2018-08-14 08:46:11,0 days 00:06:29.000000000,0,1,6.483333333333333,8.52
6,13,14,2018-08-14 09:09:33,2018-08-14 09:01:10,0 days 00:08:23.000000000,0,1,8.383333333333333,9.09
7,13,13,2018-08-14 09:23:45,2018-08-14 09:16:08,0 days 00:07:37.000000000,0,1,7.616666666666666,9.23
8,13,14,2018-08-14 09:35:56,2018-08-14 09:30:11,0 days 00:05:45.000000000,0,0,5.75,9.35
9,13,13,2018-08-14 09:53:12,2018-08-14 09:46:25,0 days 00:06:47.000000000,0,1,6.783333333333333,9.53
11,13,13,2018-08-14 10:39:08,2018-08-14 10:36:04,0 days 00:03:04.000000000,0,0,3.066666666666667,10.39
12,17,17,2018-08-14 10:38:46,2018-08-14 10:36:04,0 days 00:02:42.000000000,0,0,2.7,10.38
14,13,13,2018-08-14 11:06:49,2018-08-14 11:02:07,0 days 00:04:42.000000000,0,0,4.7,11.06
17,17,17,2018-08-14 11:37:00,2018-08-14 11:36:58,0 days 00:00:02.000000000,0,0,0.03333333333333333,11.37
18,13,13,2018-08-14 11:54:17,2018-08-14 11:50:21,0 days 00:03:56.000000000,0,0,3.933333333333333,11.54
20,13,14,2018-08-14 12:11:06,2018-08-14 12:05:22,0 days 00:05:44.000000000,0,0,5.733333333333333,12.11
21,17,17,2018-08-14 12:08:00,2018-08-14 12:05:22,0 days 00:02:38.000000000,0,0,2.6333333333333333,12.08
22,13,13,2018-08-14 12:24:16,2018-08-14 12:24:11,0 days 00:00:05.000000000,0,0,0.08333333333333333,12.24
27,13,14,2018-08-14 13:08:06,2018-08-14 13:05:27,0 days 00:02:39.000000000,0,0,2.65,13.08
28,13,13,2018-08-14 13:21:41,2018-08-14 13:18:47,0 days 00:02:54.000000000,0,0,2.9,13.21
30,13,13,2018-08-14 13:51:40,2018-08-14 13:49:16,0 days 00:02:24.000000000,0,0,2.4,13.51
31,13,14,2018-08-14 14:10:33,2018-08-14 14:03:50,0 days 00:06:43.000000000,0,1,6.716666666666667,14.1
32,13,13,2018-08-14 14:23:20,2018-08-14 14:19:46,0 days 00:03:34.000000000,0,0,3.566666666666667,14.23
33,13,14,2018-08-14 14:37:14,2018-08-14 14:31:00,0 days 00:06:14.000000000,0,1,6.233333333333333,14.37
34,13,13,2018-08-14 14:54:11,2018-08-14 14:45:17,0 days 00:08:54.000000000,0,1,8.9,14.54
36,13,13,2018-08-14 15:24:10,2018-08-14 15:16:56,0 days 00:07:14.000000000,0,1,7.233333333333333,15.24
37,13,14,2018-08-14 15:36:35,2018-08-14 15:29:24,0 days 00:07:11.000000000,0,1,7.183333333333334,15.36
38,13,13,2018-08-14 15:53:44,2018-08-14 15:45:49,0 days 00:07:55.000000000,0,1,7.916666666666667,15.53
40,13,14,2018-08-14 16:05:19,2018-08-14 16:00:00,0 days 00:05:19.000000000,0,0,5.316666666666666,16.05
41,17,17,2018-08-14 16:07:00,2018-08-14 16:00:00,0 days 00:07:00.000000000,0,1,7.0,16.07
42,13,13,2018-08-14 16:22:01,2018-08-14 16:13:02,0 days 00:08:59.000000000,0,1,8.983333333333333,16.22
44,13,14,2018-08-14 16:32:26,2018-08-14 16:31:00,0 days 00:01:26.000000000,0,0,1.4333333333333333,16.32
45,17,17,2018-08-14 16:38:00,2018-08-14 16:31:00,0 days 00:07:00.000000000,0,1,7.0,16.38
