,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
1,17,17,2018-07-29 11:22:41,2018-07-29 11:15:48,0 days 00:06:53.000000000,0,1,6.883333333333334,11.22
3,17,17,2018-07-29 12:53:32,2018-07-29 12:44:42,0 days 00:08:50.000000000,0,1,8.833333333333334,12.53
5,17,17,2018-07-29 13:37:00,2018-07-29 13:30:57,0 days 00:06:03.000000000,0,1,6.05,13.37
7,3,3,2018-07-29 14:46:22,2018-07-29 14:44:49,0 days 00:01:33.000000000,0,0,1.55,14.46
10,17,17,2018-07-29 17:23:12,2018-07-29 17:17:17,0 days 00:05:55.000000000,0,0,5.916666666666667,17.23
12,17,17,2018-07-29 18:07:34,2018-07-29 18:04:29,0 days 00:03:05.000000000,0,0,3.0833333333333335,18.07
14,17,17,2018-07-29 18:53:32,2018-07-29 18:49:25,0 days 00:04:07.000000000,0,0,4.116666666666666,18.53
18,17,17,2018-07-29 19:38:02,2018-07-29 19:31:03,0 days 00:06:59.000000000,0,1,6.983333333333333,19.38
