,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,20,9,2018-08-24 07:29:36,2018-08-24 07:20:04,0 days 00:09:32.000000000,0,1,9.533333333333333,7.29
1,20,20,2018-08-24 07:47:17,2018-08-24 07:39:00,0 days 00:08:17.000000000,0,1,8.283333333333333,7.47
3,20,20,2018-08-24 08:13:39,2018-08-24 08:05:59,0 days 00:07:40.000000000,0,1,7.666666666666667,8.13
5,20,20,2018-08-24 08:45:41,2018-08-24 08:37:22,0 days 00:08:19.000000000,0,1,8.316666666666666,8.45
7,20,20,2018-08-24 09:13:50,2018-08-24 09:12:00,0 days 00:01:50.000000000,0,0,1.8333333333333333,9.13
10,20,20,2018-08-24 09:44:00,2018-08-24 09:36:47,0 days 00:07:13.000000000,0,1,7.216666666666667,9.44
11,8,8,2018-08-24 09:45:39,2018-08-24 09:36:47,0 days 00:08:52.000000000,0,1,8.866666666666667,9.45
12,20,20,2018-08-24 10:16:44,2018-08-24 10:15:33,0 days 00:01:11.000000000,0,0,1.1833333333333333,10.16
13,8,8,2018-08-24 10:19:49,2018-08-24 10:15:33,0 days 00:04:16.000000000,0,0,4.266666666666667,10.19
14,20,9,2018-08-24 10:30:00,2018-08-24 10:23:25,0 days 00:06:35.000000000,0,1,6.583333333333333,10.3
15,8,8,2018-08-24 10:30:39,2018-08-24 10:23:25,0 days 00:07:14.000000000,0,1,7.233333333333333,10.3
17,8,8,2018-08-24 10:30:39,2018-08-24 10:30:31,0 days 00:00:08.000000000,0,0,0.13333333333333333,10.3
20,20,9,2018-08-24 11:03:18,2018-08-24 10:55:00,0 days 00:08:18.000000000,0,1,8.3,11.03
21,8,8,2018-08-24 11:03:30,2018-08-24 10:55:00,0 days 00:08:30.000000000,0,1,8.5,11.03
23,8,8,2018-08-24 11:33:05,2018-08-24 11:24:23,0 days 00:08:42.000000000,0,1,8.7,11.33
24,20,9,2018-08-24 11:34:34,2018-08-24 11:29:52,0 days 00:04:42.000000000,0,0,4.7,11.34
25,8,8,2018-08-24 11:33:05,2018-08-24 11:29:52,0 days 00:03:13.000000000,0,0,3.216666666666667,11.33
27,8,8,2018-08-24 12:03:29,2018-08-24 11:53:53,0 days 00:09:36.000000000,0,1,9.6,12.03
28,20,20,2018-08-24 12:14:00,2018-08-24 12:10:09,0 days 00:03:51.000000000,0,0,3.85,12.14
29,8,8,2018-08-24 12:15:35,2018-08-24 12:10:09,0 days 00:05:26.000000000,0,0,5.433333333333334,12.15
31,8,8,2018-08-24 12:31:01,2018-08-24 12:24:17,0 days 00:06:44.000000000,0,1,6.733333333333333,12.31
32,20,20,2018-08-24 12:45:46,2018-08-24 12:41:20,0 days 00:04:26.000000000,0,0,4.433333333333334,12.45
33,8,8,2018-08-24 12:48:30,2018-08-24 12:41:20,0 days 00:07:10.000000000,0,1,7.166666666666667,12.48
35,20,20,2018-08-24 13:14:00,2018-08-24 13:12:33,0 days 00:01:27.000000000,0,0,1.45,13.14
37,20,20,2018-08-24 13:44:44,2018-08-24 13:41:53,0 days 00:02:51.000000000,0,0,2.85,13.44
41,20,20,2018-08-24 14:44:42,2018-08-24 14:38:57,0 days 00:05:45.000000000,0,0,5.75,14.44
43,20,20,2018-08-24 15:15:56,2018-08-24 15:08:35,0 days 00:07:21.000000000,0,1,7.35,15.15
45,20,20,2018-08-24 15:45:58,2018-08-24 15:37:21,0 days 00:08:37.000000000,0,1,8.616666666666667,15.45
46,20,9,2018-08-24 16:02:16,2018-08-24 15:53:28,0 days 00:08:48.000000000,0,1,8.8,16.02
48,20,20,2018-08-24 16:17:38,2018-08-24 16:08:26,0 days 00:09:12.000000000,0,1,9.2,16.17
49,8,8,2018-08-24 16:16:54,2018-08-24 16:08:26,0 days 00:08:28.000000000,0,1,8.466666666666667,16.16
50,20,9,2018-08-24 16:31:24,2018-08-24 16:24:02,0 days 00:07:22.000000000,0,1,7.366666666666666,16.31
51,8,8,2018-08-24 16:30:15,2018-08-24 16:24:02,0 days 00:06:13.000000000,0,1,6.216666666666667,16.3
52,20,20,2018-08-24 16:43:54,2018-08-24 16:38:15,0 days 00:05:39.000000000,0,0,5.65,16.43
53,8,8,2018-08-24 16:44:25,2018-08-24 16:38:15,0 days 00:06:10.000000000,0,1,6.166666666666667,16.44
54,20,9,2018-08-24 17:01:25,2018-08-24 16:53:43,0 days 00:07:42.000000000,0,1,7.7,17.01
55,8,8,2018-08-24 16:59:00,2018-08-24 16:53:43,0 days 00:05:17.000000000,0,0,5.283333333333333,16.59
56,20,20,2018-08-24 17:13:49,2018-08-24 17:07:54,0 days 00:05:55.000000000,0,0,5.916666666666667,17.13
57,8,8,2018-08-24 17:14:51,2018-08-24 17:07:54,0 days 00:06:57.000000000,0,1,6.95,17.14
58,20,9,2018-08-24 17:31:48,2018-08-24 17:24:15,0 days 00:07:33.000000000,0,1,7.55,17.31
59,8,8,2018-08-24 17:30:17,2018-08-24 17:24:15,0 days 00:06:02.000000000,0,1,6.033333333333333,17.3
60,20,20,2018-08-24 17:47:11,2018-08-24 17:38:52,0 days 00:08:19.000000000,0,1,8.316666666666666,17.47
61,8,8,2018-08-24 17:44:51,2018-08-24 17:38:52,0 days 00:05:59.000000000,0,0,5.983333333333333,17.44
62,20,20,2018-08-24 18:16:48,2018-08-24 18:09:25,0 days 00:07:23.000000000,0,1,7.383333333333334,18.16
63,8,8,2018-08-24 18:17:11,2018-08-24 18:09:25,0 days 00:07:46.000000000,0,1,7.766666666666667,18.17
64,20,20,2018-08-24 18:16:48,2018-08-24 18:12:19,0 days 00:04:29.000000000,0,0,4.483333333333333,18.16
65,8,8,2018-08-24 18:17:11,2018-08-24 18:12:19,0 days 00:04:52.000000000,0,0,4.866666666666666,18.17
66,20,9,2018-08-24 18:32:08,2018-08-24 18:24:24,0 days 00:07:44.000000000,0,1,7.733333333333333,18.32
