,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,20,9,2018-08-27 07:28:00,2018-08-27 07:19:13,0 days 00:08:47.000000000,0,1,8.783333333333333,7.28
1,20,20,2018-08-27 07:44:00,2018-08-27 07:36:35,0 days 00:07:25.000000000,0,1,7.416666666666667,7.44
3,20,20,2018-08-27 08:14:11,2018-08-27 08:06:01,0 days 00:08:10.000000000,0,1,8.166666666666666,8.14
5,20,20,2018-08-27 08:44:00,2018-08-27 08:37:26,0 days 00:06:34.000000000,0,1,6.566666666666666,8.44
7,20,20,2018-08-27 09:13:55,2018-08-27 09:07:50,0 days 00:06:05.000000000,0,1,6.083333333333333,9.13
10,20,20,2018-08-27 09:44:00,2018-08-27 09:36:12,0 days 00:07:48.000000000,0,1,7.8,9.44
11,8,8,2018-08-27 09:45:43,2018-08-27 09:36:12,0 days 00:09:31.000000000,0,1,9.516666666666667,9.45
13,8,8,2018-08-27 09:59:54,2018-08-27 09:52:51,0 days 00:07:03.000000000,0,1,7.05,9.59
14,20,9,2018-08-27 10:31:47,2018-08-27 10:24:04,0 days 00:07:43.000000000,0,1,7.716666666666667,10.31
15,8,8,2018-08-27 10:30:35,2018-08-27 10:24:04,0 days 00:06:31.000000000,0,1,6.516666666666667,10.3
16,20,9,2018-08-27 10:31:47,2018-08-27 10:26:58,0 days 00:04:49.000000000,0,0,4.816666666666666,10.31
17,8,8,2018-08-27 10:30:35,2018-08-27 10:26:58,0 days 00:03:37.000000000,0,0,3.6166666666666667,10.3
18,20,20,2018-08-27 10:47:03,2018-08-27 10:38:39,0 days 00:08:24.000000000,0,1,8.4,10.47
19,8,8,2018-08-27 10:45:36,2018-08-27 10:38:39,0 days 00:06:57.000000000,0,1,6.95,10.45
20,20,9,2018-08-27 11:02:25,2018-08-27 10:55:40,0 days 00:06:45.000000000,0,1,6.75,11.02
21,8,8,2018-08-27 10:59:45,2018-08-27 10:55:40,0 days 00:04:05.000000000,0,0,4.083333333333333,10.59
23,8,8,2018-08-27 11:15:10,2018-08-27 11:08:39,0 days 00:06:31.000000000,0,1,6.516666666666667,11.15
24,20,9,2018-08-27 11:34:01,2018-08-27 11:24:33,0 days 00:09:28.000000000,0,1,9.466666666666667,11.34
25,8,8,2018-08-27 11:30:34,2018-08-27 11:24:33,0 days 00:06:01.000000000,0,1,6.016666666666667,11.3
26,20,9,2018-08-27 12:03:20,2018-08-27 11:56:38,0 days 00:06:42.000000000,0,1,6.7,12.03
27,8,8,2018-08-27 12:00:09,2018-08-27 11:56:38,0 days 00:03:31.000000000,0,0,3.5166666666666666,12.0
28,20,20,2018-08-27 12:20:12,2018-08-27 12:12:00,0 days 00:08:12.000000000,0,1,8.2,12.2
29,8,8,2018-08-27 12:16:23,2018-08-27 12:12:00,0 days 00:04:23.000000000,0,0,4.383333333333334,12.16
30,20,9,2018-08-27 12:32:26,2018-08-27 12:24:06,0 days 00:08:20.000000000,0,1,8.333333333333334,12.32
31,8,8,2018-08-27 12:31:20,2018-08-27 12:24:06,0 days 00:07:14.000000000,0,1,7.233333333333333,12.31
32,20,20,2018-08-27 12:46:46,2018-08-27 12:43:17,0 days 00:03:29.000000000,0,0,3.4833333333333334,12.46
33,8,8,2018-08-27 12:45:03,2018-08-27 12:43:17,0 days 00:01:46.000000000,0,0,1.7666666666666666,12.45
35,20,20,2018-08-27 13:18:44,2018-08-27 13:10:10,0 days 00:08:34.000000000,0,1,8.566666666666666,13.18
39,20,20,2018-08-27 14:14:00,2018-08-27 14:11:51,0 days 00:02:09.000000000,0,0,2.15,14.14
41,20,20,2018-08-27 14:45:30,2018-08-27 14:40:13,0 days 00:05:17.000000000,0,0,5.283333333333333,14.45
43,20,20,2018-08-27 15:15:58,2018-08-27 15:14:00,0 days 00:01:58.000000000,0,0,1.9666666666666666,15.15
45,20,20,2018-08-27 15:45:32,2018-08-27 15:38:40,0 days 00:06:52.000000000,0,1,6.866666666666666,15.45
46,20,9,2018-08-27 15:59:00,2018-08-27 15:52:51,0 days 00:06:09.000000000,0,1,6.15,15.59
48,20,20,2018-08-27 16:15:31,2018-08-27 16:07:20,0 days 00:08:11.000000000,0,1,8.183333333333334,16.15
50,20,9,2018-08-27 16:29:00,2018-08-27 16:23:11,0 days 00:05:49.000000000,0,0,5.816666666666666,16.29
51,8,8,2018-08-27 16:30:31,2018-08-27 16:23:11,0 days 00:07:20.000000000,0,1,7.333333333333333,16.3
52,20,20,2018-08-27 16:46:19,2018-08-27 16:38:33,0 days 00:07:46.000000000,0,1,7.766666666666667,16.46
54,20,9,2018-08-27 16:59:00,2018-08-27 16:54:36,0 days 00:04:24.000000000,0,0,4.4,16.59
55,8,8,2018-08-27 17:01:21,2018-08-27 16:54:36,0 days 00:06:45.000000000,0,1,6.75,17.01
56,20,20,2018-08-27 17:14:19,2018-08-27 17:10:00,0 days 00:04:19.000000000,0,0,4.316666666666666,17.14
57,8,8,2018-08-27 17:18:24,2018-08-27 17:10:00,0 days 00:08:24.000000000,0,1,8.4,17.18
58,20,9,2018-08-27 17:29:00,2018-08-27 17:21:49,0 days 00:07:11.000000000,0,1,7.183333333333334,17.29
59,8,8,2018-08-27 17:30:04,2018-08-27 17:21:49,0 days 00:08:15.000000000,0,1,8.25,17.3
60,20,20,2018-08-27 17:44:37,2018-08-27 17:37:35,0 days 00:07:02.000000000,0,1,7.033333333333333,17.44
62,20,9,2018-08-27 17:59:00,2018-08-27 17:53:00,0 days 00:06:00.000000000,0,0,6.0,17.59
63,8,8,2018-08-27 17:59:52,2018-08-27 17:53:00,0 days 00:06:52.000000000,0,1,6.866666666666666,17.59
64,20,20,2018-08-27 18:14:00,2018-08-27 18:11:20,0 days 00:02:40.000000000,0,0,2.6666666666666665,18.14
65,8,8,2018-08-27 18:21:08,2018-08-27 18:11:20,0 days 00:09:48.000000000,0,1,9.8,18.21
66,20,9,2018-08-27 18:29:00,2018-08-27 18:24:40,0 days 00:04:20.000000000,0,0,4.333333333333333,18.29
67,8,8,2018-08-27 18:32:21,2018-08-27 18:24:40,0 days 00:07:41.000000000,0,1,7.683333333333334,18.32
68,20,9,2018-08-27 19:00:59,2018-08-27 18:58:57,0 days 00:02:02.000000000,0,0,2.033333333333333,19.0
69,8,8,2018-08-27 19:01:07,2018-08-27 18:58:57,0 days 00:02:10.000000000,0,0,2.1666666666666665,19.01
70,20,20,2018-08-27 19:18:46,2018-08-27 19:09:48,0 days 00:08:58.000000000,0,1,8.966666666666667,19.18
73,8,8,2018-08-27 19:31:50,2018-08-27 19:23:10,0 days 00:08:40.000000000,0,1,8.666666666666666,19.31
74,20,20,2018-08-27 19:43:43,2018-08-27 19:38:12,0 days 00:05:31.000000000,0,0,5.516666666666667,19.43
76,20,9,2018-08-27 20:04:08,2018-08-27 19:56:03,0 days 00:08:05.000000000,0,1,8.083333333333334,20.04
77,8,8,2018-08-27 20:00:55,2018-08-27 19:56:03,0 days 00:04:52.000000000,0,0,4.866666666666666,20.0
78,20,20,2018-08-27 20:16:33,2018-08-27 20:08:59,0 days 00:07:34.000000000,0,1,7.566666666666666,20.16
80,20,9,2018-08-27 20:33:18,2018-08-27 20:24:50,0 days 00:08:28.000000000,0,1,8.466666666666667,20.33
81,8,8,2018-08-27 20:32:09,2018-08-27 20:24:50,0 days 00:07:19.000000000,0,1,7.316666666666666,20.32
82,20,20,2018-08-27 20:43:37,2018-08-27 20:36:52,0 days 00:06:45.000000000,0,1,6.75,20.43
85,8,8,2018-08-27 21:00:57,2018-08-27 20:53:09,0 days 00:07:48.000000000,0,1,7.8,21.0
86,20,20,2018-08-27 21:17:31,2018-08-27 21:08:55,0 days 00:08:36.000000000,0,1,8.6,21.17
87,8,8,2018-08-27 21:17:35,2018-08-27 21:08:55,0 days 00:08:40.000000000,0,1,8.666666666666666,21.17
88,20,9,2018-08-27 21:32:25,2018-08-27 21:25:11,0 days 00:07:14.000000000,0,1,7.233333333333333,21.32
89,8,8,2018-08-27 21:31:44,2018-08-27 21:25:11,0 days 00:06:33.000000000,0,1,6.55,21.31
90,20,20,2018-08-27 21:43:44,2018-08-27 21:40:00,0 days 00:03:44.000000000,0,0,3.7333333333333334,21.43
91,8,8,2018-08-27 21:46:45,2018-08-27 21:40:00,0 days 00:06:45.000000000,0,1,6.75,21.46
92,20,9,2018-08-27 22:00:17,2018-08-27 21:53:08,0 days 00:07:09.000000000,0,1,7.15,22.0
93,8,8,2018-08-27 21:59:37,2018-08-27 21:53:08,0 days 00:06:29.000000000,0,1,6.483333333333333,21.59
94,20,20,2018-08-27 22:14:06,2018-08-27 22:07:07,0 days 00:06:59.000000000,0,1,6.983333333333333,22.14
95,8,8,2018-08-27 22:16:20,2018-08-27 22:07:07,0 days 00:09:13.000000000,0,1,9.216666666666667,22.16
96,20,9,2018-08-27 22:30:45,2018-08-27 22:22:08,0 days 00:08:37.000000000,0,1,8.616666666666667,22.3
97,8,8,2018-08-27 22:30:31,2018-08-27 22:22:08,0 days 00:08:23.000000000,0,1,8.383333333333333,22.3
