,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,3,3,2018-08-17 07:37:03,2018-08-17 07:38:33,0 days 00:01:30.000000000,0,0,1.5,7.37
4,3,3,2018-08-17 09:31:21,2018-08-17 09:38:51,0 days 00:07:30.000000000,0,1,7.5,9.31
5,3,3,2018-08-17 09:53:06,2018-08-17 09:54:10,0 days 00:01:04.000000000,0,0,1.0666666666666667,9.53
6,3,3,2018-08-17 10:43:27,2018-08-17 10:53:16,0 days 00:09:49.000000000,0,1,9.816666666666666,10.43
7,3,3,2018-08-17 11:03:50,2018-08-17 11:08:41,0 days 00:04:51.000000000,0,0,4.85,11.03
8,3,3,2018-08-17 11:20:55,2018-08-17 11:23:41,0 days 00:02:46.000000000,0,0,2.7666666666666666,11.2
10,3,3,2018-08-17 11:59:00,2018-08-17 12:08:28,0 days 00:09:28.000000000,0,1,9.466666666666667,11.59
12,3,3,2018-08-17 12:52:25,2018-08-17 12:53:34,0 days 00:01:09.000000000,0,0,1.15,12.52
14,3,3,2018-08-17 13:37:16,2018-08-17 13:41:36,0 days 00:04:20.000000000,0,0,4.333333333333333,13.37
18,3,3,2018-08-17 15:37:26,2018-08-17 15:38:25,0 days 00:00:59.000000000,0,0,0.9833333333333333,15.37
19,3,3,2018-08-17 16:03:51,2018-08-17 16:08:51,0 days 00:05:00.000000000,0,0,5.0,16.03
20,3,3,2018-08-17 16:19:00,2018-08-17 16:23:26,0 days 00:04:26.000000000,0,0,4.433333333333334,16.19
21,3,3,2018-08-17 16:21:20,2018-08-17 16:23:26,0 days 00:02:06.000000000,0,0,2.1,16.21
22,3,3,2018-08-17 16:47:40,2018-08-17 16:53:40,0 days 00:06:00.000000000,0,0,6.0,16.47
24,3,3,2018-08-17 17:51:55,2018-08-17 17:54:12,0 days 00:02:17.000000000,0,0,2.283333333333333,17.51
28,3,3,2018-08-17 19:02:21,2018-08-17 19:08:59,0 days 00:06:38.000000000,0,1,6.633333333333334,19.02
