,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,20,9,2018-05-11 07:29:14,2018-05-11 07:20:09,0 days 00:09:05.000000000,0,1,9.083333333333334,7.29
1,20,20,2018-05-11 07:45:10,2018-05-11 07:36:13,0 days 00:08:57.000000000,0,1,8.95,7.45
3,20,20,2018-05-11 08:17:12,2018-05-11 08:08:36,0 days 00:08:36.000000000,0,1,8.6,8.17
5,20,20,2018-05-11 08:45:05,2018-05-11 08:38:36,0 days 00:06:29.000000000,0,1,6.483333333333333,8.45
7,20,20,2018-05-11 09:16:10,2018-05-11 09:09:06,0 days 00:07:04.000000000,0,1,7.066666666666666,9.16
10,20,20,2018-05-11 09:45:00,2018-05-11 09:38:17,0 days 00:06:43.000000000,0,1,6.716666666666667,9.45
12,20,9,2018-05-11 10:01:04,2018-05-11 09:54:08,0 days 00:06:56.000000000,0,1,6.933333333333334,10.01
13,8,8,2018-05-11 10:01:57,2018-05-11 09:54:08,0 days 00:07:49.000000000,0,1,7.816666666666666,10.01
15,8,8,2018-05-11 10:31:03,2018-05-11 10:22:31,0 days 00:08:32.000000000,0,1,8.533333333333333,10.31
16,20,9,2018-05-11 10:33:49,2018-05-11 10:28:46,0 days 00:05:03.000000000,0,0,5.05,10.33
17,8,8,2018-05-11 10:31:03,2018-05-11 10:28:46,0 days 00:02:17.000000000,0,0,2.283333333333333,10.31
18,20,20,2018-05-11 10:45:31,2018-05-11 10:43:30,0 days 00:02:01.000000000,0,0,2.0166666666666666,10.45
19,8,8,2018-05-11 10:48:57,2018-05-11 10:43:30,0 days 00:05:27.000000000,0,0,5.45,10.48
20,20,9,2018-05-11 11:01:43,2018-05-11 10:53:31,0 days 00:08:12.000000000,0,1,8.2,11.01
21,8,8,2018-05-11 11:01:34,2018-05-11 10:53:31,0 days 00:08:03.000000000,0,1,8.05,11.01
22,20,20,2018-05-11 11:14:35,2018-05-11 11:08:57,0 days 00:05:38.000000000,0,0,5.633333333333334,11.14
23,8,8,2018-05-11 11:17:49,2018-05-11 11:08:57,0 days 00:08:52.000000000,0,1,8.866666666666667,11.17
24,20,9,2018-05-11 11:32:55,2018-05-11 11:24:24,0 days 00:08:31.000000000,0,1,8.516666666666667,11.32
25,8,8,2018-05-11 11:31:33,2018-05-11 11:24:24,0 days 00:07:09.000000000,0,1,7.15,11.31
26,20,9,2018-05-11 11:59:00,2018-05-11 11:53:15,0 days 00:05:45.000000000,0,0,5.75,11.59
27,8,8,2018-05-11 12:03:10,2018-05-11 11:53:15,0 days 00:09:55.000000000,0,1,9.916666666666666,12.03
28,20,20,2018-05-11 12:15:03,2018-05-11 12:10:48,0 days 00:04:15.000000000,0,0,4.25,12.15
29,8,8,2018-05-11 12:17:17,2018-05-11 12:10:48,0 days 00:06:29.000000000,0,1,6.483333333333333,12.17
30,20,9,2018-05-11 12:29:00,2018-05-11 12:22:49,0 days 00:06:11.000000000,0,1,6.183333333333334,12.29
31,8,8,2018-05-11 12:32:15,2018-05-11 12:22:49,0 days 00:09:26.000000000,0,1,9.433333333333334,12.32
32,20,20,2018-05-11 12:46:34,2018-05-11 12:39:50,0 days 00:06:44.000000000,0,1,6.733333333333333,12.46
33,8,8,2018-05-11 12:46:23,2018-05-11 12:39:50,0 days 00:06:33.000000000,0,1,6.55,12.46
34,20,9,2018-05-11 12:59:00,2018-05-11 12:56:12,0 days 00:02:48.000000000,0,0,2.8,12.59
35,20,20,2018-05-11 13:15:15,2018-05-11 13:07:28,0 days 00:07:47.000000000,0,1,7.783333333333333,13.15
37,20,20,2018-05-11 13:44:54,2018-05-11 13:39:37,0 days 00:05:17.000000000,0,0,5.283333333333333,13.44
39,20,20,2018-05-11 14:14:47,2018-05-11 14:11:14,0 days 00:03:33.000000000,0,0,3.55,14.14
41,20,20,2018-05-11 14:45:51,2018-05-11 14:42:11,0 days 00:03:40.000000000,0,0,3.6666666666666665,14.45
43,20,20,2018-05-11 15:16:10,2018-05-11 15:14:45,0 days 00:01:25.000000000,0,0,1.4166666666666667,15.16
