,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,20,9,2018-07-18 07:28:46,2018-07-18 07:21:13,0 days 00:07:33.000000000,0,1,7.55,7.28
1,20,20,2018-07-18 07:45:51,2018-07-18 07:36:39,0 days 00:09:12.000000000,0,1,9.2,7.45
3,20,20,2018-07-18 08:14:38,2018-07-18 08:07:12,0 days 00:07:26.000000000,0,1,7.433333333333334,8.14
5,20,20,2018-07-18 08:47:28,2018-07-18 08:41:01,0 days 00:06:27.000000000,0,1,6.45,8.47
7,20,20,2018-07-18 09:15:13,2018-07-18 09:08:04,0 days 00:07:09.000000000,0,1,7.15,9.15
10,20,20,2018-07-18 09:44:00,2018-07-18 09:39:47,0 days 00:04:13.000000000,0,0,4.216666666666667,9.44
11,8,8,2018-07-18 09:46:16,2018-07-18 09:39:47,0 days 00:06:29.000000000,0,1,6.483333333333333,9.46
12,20,20,2018-07-18 10:15:03,2018-07-18 10:14:47,0 days 00:00:16.000000000,0,0,0.26666666666666666,10.15
13,8,8,2018-07-18 10:15:24,2018-07-18 10:14:47,0 days 00:00:37.000000000,0,0,0.6166666666666667,10.15
14,20,9,2018-07-18 10:32:30,2018-07-18 10:23:35,0 days 00:08:55.000000000,0,1,8.916666666666666,10.32
15,8,8,2018-07-18 10:30:21,2018-07-18 10:23:35,0 days 00:06:46.000000000,0,1,6.766666666666667,10.3
18,20,20,2018-07-18 10:43:49,2018-07-18 10:40:00,0 days 00:03:49.000000000,0,0,3.816666666666667,10.43
19,8,8,2018-07-18 10:45:50,2018-07-18 10:40:00,0 days 00:05:50.000000000,0,0,5.833333333333333,10.45
20,20,9,2018-07-18 11:02:45,2018-07-18 10:54:26,0 days 00:08:19.000000000,0,1,8.316666666666666,11.02
21,8,8,2018-07-18 11:02:03,2018-07-18 10:54:26,0 days 00:07:37.000000000,0,1,7.616666666666666,11.02
22,20,20,2018-07-18 11:14:00,2018-07-18 11:05:00,0 days 00:09:00.000000000,0,1,9.0,11.14
24,20,9,2018-07-18 11:34:20,2018-07-18 11:25:17,0 days 00:09:03.000000000,0,1,9.05,11.34
25,8,8,2018-07-18 11:31:08,2018-07-18 11:25:17,0 days 00:05:51.000000000,0,0,5.85,11.31
27,8,8,2018-07-18 12:01:56,2018-07-18 11:52:20,0 days 00:09:36.000000000,0,1,9.6,12.01
28,20,20,2018-07-18 12:14:00,2018-07-18 12:09:50,0 days 00:04:10.000000000,0,0,4.166666666666667,12.14
29,8,8,2018-07-18 12:17:24,2018-07-18 12:09:50,0 days 00:07:34.000000000,0,1,7.566666666666666,12.17
31,8,8,2018-07-18 12:30:18,2018-07-18 12:26:28,0 days 00:03:50.000000000,0,0,3.8333333333333335,12.3
32,20,20,2018-07-18 12:45:47,2018-07-18 12:41:28,0 days 00:04:19.000000000,0,0,4.316666666666666,12.45
33,8,8,2018-07-18 12:46:07,2018-07-18 12:41:28,0 days 00:04:39.000000000,0,0,4.65,12.46
34,20,20,2018-07-18 13:14:00,2018-07-18 13:09:59,0 days 00:04:01.000000000,0,0,4.016666666666667,13.14
37,20,20,2018-07-18 13:48:40,2018-07-18 13:43:00,0 days 00:05:40.000000000,0,0,5.666666666666667,13.48
39,20,20,2018-07-18 14:14:00,2018-07-18 14:08:24,0 days 00:05:36.000000000,0,0,5.6,14.14
41,20,20,2018-07-18 14:44:01,2018-07-18 14:38:36,0 days 00:05:25.000000000,0,0,5.416666666666667,14.44
43,20,20,2018-07-18 15:14:24,2018-07-18 15:09:52,0 days 00:04:32.000000000,0,0,4.533333333333333,15.14
45,20,20,2018-07-18 15:43:59,2018-07-18 15:38:12,0 days 00:05:47.000000000,0,0,5.783333333333333,15.43
46,20,9,2018-07-18 16:01:52,2018-07-18 15:56:53,0 days 00:04:59.000000000,0,0,4.983333333333333,16.01
48,20,20,2018-07-18 16:14:49,2018-07-18 16:12:22,0 days 00:02:27.000000000,0,0,2.45,16.14
49,8,8,2018-07-18 16:15:36,2018-07-18 16:12:22,0 days 00:03:14.000000000,0,0,3.2333333333333334,16.15
50,20,9,2018-07-18 16:30:25,2018-07-18 16:22:01,0 days 00:08:24.000000000,0,1,8.4,16.3
51,8,8,2018-07-18 16:31:27,2018-07-18 16:22:01,0 days 00:09:26.000000000,0,1,9.433333333333334,16.31
52,20,20,2018-07-18 16:43:34,2018-07-18 16:39:30,0 days 00:04:04.000000000,0,0,4.066666666666666,16.43
53,8,8,2018-07-18 16:44:48,2018-07-18 16:39:30,0 days 00:05:18.000000000,0,0,5.3,16.44
54,20,9,2018-07-18 17:02:29,2018-07-18 16:55:02,0 days 00:07:27.000000000,0,1,7.45,17.02
55,8,8,2018-07-18 17:01:28,2018-07-18 16:55:02,0 days 00:06:26.000000000,0,1,6.433333333333334,17.01
56,20,20,2018-07-18 17:14:00,2018-07-18 17:07:05,0 days 00:06:55.000000000,0,1,6.916666666666667,17.14
57,8,8,2018-07-18 17:15:36,2018-07-18 17:07:05,0 days 00:08:31.000000000,0,1,8.516666666666667,17.15
58,20,20,2018-07-18 17:43:36,2018-07-18 17:39:41,0 days 00:03:55.000000000,0,0,3.9166666666666665,17.43
59,8,8,2018-07-18 17:44:48,2018-07-18 17:39:41,0 days 00:05:07.000000000,0,0,5.116666666666666,17.44
61,8,8,2018-07-18 17:44:48,2018-07-18 17:44:40,0 days 00:00:08.000000000,0,0,0.13333333333333333,17.44
63,8,8,2018-07-18 18:01:53,2018-07-18 17:52:37,0 days 00:09:16.000000000,0,1,9.266666666666667,18.01
64,20,9,2018-07-18 18:32:14,2018-07-18 18:30:24,0 days 00:01:50.000000000,0,0,1.8333333333333333,18.32
66,20,20,2018-07-18 18:45:02,2018-07-18 18:38:43,0 days 00:06:19.000000000,0,1,6.316666666666666,18.45
67,8,8,2018-07-18 18:45:29,2018-07-18 18:38:43,0 days 00:06:46.000000000,0,1,6.766666666666667,18.45
69,8,8,2018-07-18 18:45:29,2018-07-18 18:45:23,0 days 00:00:06.000000000,0,0,0.1,18.45
70,20,20,2018-07-18 19:14:00,2018-07-18 19:13:15,0 days 00:00:45.000000000,0,0,0.75,19.14
71,8,8,2018-07-18 19:15:01,2018-07-18 19:13:15,0 days 00:01:46.000000000,0,0,1.7666666666666666,19.15
72,20,9,2018-07-18 19:34:38,2018-07-18 19:26:44,0 days 00:07:54.000000000,0,1,7.9,19.34
73,8,8,2018-07-18 19:29:00,2018-07-18 19:26:44,0 days 00:02:16.000000000,0,0,2.2666666666666666,19.29
75,8,8,2018-07-18 19:47:33,2018-07-18 19:40:30,0 days 00:07:03.000000000,0,1,7.05,19.47
78,20,20,2018-07-18 20:14:00,2018-07-18 20:12:39,0 days 00:01:21.000000000,0,0,1.35,20.14
79,8,8,2018-07-18 20:16:40,2018-07-18 20:12:39,0 days 00:04:01.000000000,0,0,4.016666666666667,20.16
81,8,8,2018-07-18 20:32:31,2018-07-18 20:27:39,0 days 00:04:52.000000000,0,0,4.866666666666666,20.32
82,20,9,2018-07-18 20:40:27,2018-07-18 20:40:11,0 days 00:00:16.000000000,0,0,0.26666666666666666,20.4
83,8,8,2018-07-18 20:45:01,2018-07-18 20:40:11,0 days 00:04:50.000000000,0,0,4.833333333333333,20.45
85,8,8,2018-07-18 21:00:27,2018-07-18 20:54:41,0 days 00:05:46.000000000,0,0,5.766666666666667,21.0
86,20,20,2018-07-18 21:13:48,2018-07-18 21:08:51,0 days 00:04:57.000000000,0,0,4.95,21.13
87,8,8,2018-07-18 21:14:58,2018-07-18 21:08:51,0 days 00:06:07.000000000,0,1,6.116666666666666,21.14
89,8,8,2018-07-18 21:29:57,2018-07-18 21:23:52,0 days 00:06:05.000000000,0,1,6.083333333333333,21.29
90,20,20,2018-07-18 21:45:55,2018-07-18 21:39:43,0 days 00:06:12.000000000,0,1,6.2,21.45
91,8,8,2018-07-18 21:44:57,2018-07-18 21:39:43,0 days 00:05:14.000000000,0,0,5.233333333333333,21.44
92,20,9,2018-07-18 22:01:09,2018-07-18 21:53:08,0 days 00:08:01.000000000,0,1,8.016666666666667,22.01
93,8,8,2018-07-18 22:00:45,2018-07-18 21:53:08,0 days 00:07:37.000000000,0,1,7.616666666666666,22.0
94,20,20,2018-07-18 22:13:50,2018-07-18 22:09:26,0 days 00:04:24.000000000,0,0,4.4,22.13
