,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
1,8,8,2018-08-30 07:44:28,2018-08-30 07:36:46,0 days 00:07:42.000000000,0,1,7.7,7.44
4,8,8,2018-08-30 08:14:23,2018-08-30 08:06:18,0 days 00:08:05.000000000,0,1,8.083333333333334,8.14
7,20,20,2018-08-30 08:39:19,2018-08-30 08:35:30,0 days 00:03:49.000000000,0,0,3.816666666666667,8.39
8,8,8,2018-08-30 08:44:32,2018-08-30 08:35:30,0 days 00:09:02.000000000,0,1,9.033333333333333,8.44
12,8,8,2018-08-30 09:14:53,2018-08-30 09:06:41,0 days 00:08:12.000000000,0,1,8.2,9.14
15,8,8,2018-08-30 10:15:23,2018-08-30 10:08:13,0 days 00:07:10.000000000,0,1,7.166666666666667,10.15
18,8,8,2018-08-30 10:44:48,2018-08-30 10:37:07,0 days 00:07:41.000000000,0,1,7.683333333333334,10.44
19,20,20,2018-08-30 10:54:00,2018-08-30 10:53:51,0 days 00:00:09.000000000,0,0,0.15,10.54
22,8,8,2018-08-30 11:14:00,2018-08-30 11:08:23,0 days 00:05:37.000000000,0,0,5.616666666666666,11.14
25,8,8,2018-08-30 11:44:52,2018-08-30 11:40:06,0 days 00:04:46.000000000,0,0,4.766666666666667,11.44
27,20,20,2018-08-30 12:29:00,2018-08-30 12:24:20,0 days 00:04:40.000000000,0,0,4.666666666666667,12.29
32,20,20,2018-08-30 13:10:39,2018-08-30 13:10:23,0 days 00:00:16.000000000,0,0,0.26666666666666666,13.1
33,8,8,2018-08-30 13:15:24,2018-08-30 13:10:23,0 days 00:05:01.000000000,0,0,5.016666666666667,13.15
37,8,8,2018-08-30 13:44:59,2018-08-30 13:37:06,0 days 00:07:53.000000000,0,1,7.883333333333334,13.44
40,8,8,2018-08-30 14:14:32,2018-08-30 14:11:00,0 days 00:03:32.000000000,0,0,3.533333333333333,14.14
41,20,20,2018-08-30 14:29:00,2018-08-30 14:22:22,0 days 00:06:38.000000000,0,1,6.633333333333334,14.29
43,8,8,2018-08-30 14:44:40,2018-08-30 14:36:57,0 days 00:07:43.000000000,0,1,7.716666666666667,14.44
46,20,20,2018-08-30 15:09:35,2018-08-30 15:06:42,0 days 00:02:53.000000000,0,0,2.8833333333333333,15.09
54,8,8,2018-08-30 16:16:11,2018-08-30 16:06:23,0 days 00:09:48.000000000,0,1,9.8,16.16
55,20,20,2018-08-30 16:29:00,2018-08-30 16:24:43,0 days 00:04:17.000000000,0,0,4.283333333333333,16.29
57,8,8,2018-08-30 16:45:45,2018-08-30 16:36:23,0 days 00:09:22.000000000,0,1,9.366666666666667,16.45
60,20,20,2018-08-30 17:11:20,2018-08-30 17:08:02,0 days 00:03:18.000000000,0,0,3.3,17.11
61,8,8,2018-08-30 17:15:46,2018-08-30 17:08:02,0 days 00:07:44.000000000,0,1,7.733333333333333,17.15
64,8,8,2018-08-30 17:49:06,2018-08-30 17:39:44,0 days 00:09:22.000000000,0,1,9.366666666666667,17.49
65,20,20,2018-08-30 18:04:00,2018-08-30 17:55:08,0 days 00:08:52.000000000,0,1,8.866666666666667,18.04
70,8,8,2018-08-30 18:45:45,2018-08-30 18:40:03,0 days 00:05:42.000000000,0,0,5.7,18.45
73,8,8,2018-08-30 19:16:35,2018-08-30 19:08:25,0 days 00:08:10.000000000,0,1,8.166666666666666,19.16
74,20,20,2018-08-30 19:31:00,2018-08-30 19:22:09,0 days 00:08:51.000000000,0,1,8.85,19.31
76,8,8,2018-08-30 19:45:45,2018-08-30 19:41:20,0 days 00:04:25.000000000,0,0,4.416666666666667,19.45
80,8,8,2018-08-30 20:15:19,2018-08-30 20:10:35,0 days 00:04:44.000000000,0,0,4.733333333333333,20.15
82,20,20,2018-08-30 21:01:12,2018-08-30 20:51:36,0 days 00:09:36.000000000,0,1,9.6,21.01
87,20,20,2018-08-30 21:42:06,2018-08-30 21:37:13,0 days 00:04:53.000000000,0,0,4.883333333333334,21.42
88,8,8,2018-08-30 21:46:42,2018-08-30 21:37:13,0 days 00:09:29.000000000,0,1,9.483333333333333,21.46
91,20,20,2018-08-30 22:17:52,2018-08-30 22:08:28,0 days 00:09:24.000000000,0,1,9.4,22.17
92,8,8,2018-08-30 22:14:58,2018-08-30 22:08:28,0 days 00:06:30.000000000,0,1,6.5,22.14
