,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,13,14,2018-06-21 07:32:54,2018-06-21 07:28:41,0 days 00:04:13.000000000,0,0,4.216666666666667,7.32
2,13,13,2018-06-21 07:53:29,2018-06-21 07:45:28,0 days 00:08:01.000000000,0,1,8.016666666666667,7.53
3,3,3,2018-06-21 08:04:24,2018-06-21 07:59:59,0 days 00:04:25.000000000,0,0,4.416666666666667,8.04
4,13,14,2018-06-21 08:06:00,2018-06-21 07:59:59,0 days 00:06:01.000000000,0,1,6.016666666666667,8.06
8,13,14,2018-06-21 08:35:07,2018-06-21 08:31:18,0 days 00:03:49.000000000,0,0,3.816666666666667,8.35
10,13,13,2018-06-21 08:54:54,2018-06-21 08:45:52,0 days 00:09:02.000000000,0,1,9.033333333333333,8.54
11,3,3,2018-06-21 09:06:55,2018-06-21 09:00:53,0 days 00:06:02.000000000,0,1,6.033333333333333,9.06
12,13,14,2018-06-21 09:05:57,2018-06-21 09:00:53,0 days 00:05:04.000000000,0,0,5.066666666666666,9.05
14,13,13,2018-06-21 09:25:46,2018-06-21 09:15:49,0 days 00:09:57.000000000,0,1,9.95,9.25
15,3,3,2018-06-21 09:44:05,2018-06-21 09:34:10,0 days 00:09:55.000000000,0,1,9.916666666666666,9.44
18,13,14,2018-06-21 09:49:13,2018-06-21 09:48:22,0 days 00:00:51.000000000,0,0,0.85,9.49
19,3,3,2018-06-21 10:06:39,2018-06-21 10:01:41,0 days 00:04:58.000000000,0,0,4.966666666666667,10.06
21,3,3,2018-06-21 10:21:22,2018-06-21 10:15:10,0 days 00:06:12.000000000,0,1,6.2,10.21
22,13,14,2018-06-21 10:21:00,2018-06-21 10:15:10,0 days 00:05:50.000000000,0,0,5.833333333333333,10.21
24,3,3,2018-06-21 10:39:33,2018-06-21 10:34:31,0 days 00:05:02.000000000,0,0,5.033333333333333,10.39
25,13,13,2018-06-21 10:37:22,2018-06-21 10:34:31,0 days 00:02:51.000000000,0,0,2.85,10.37
26,17,17,2018-06-21 10:37:00,2018-06-21 10:34:31,0 days 00:02:29.000000000,0,0,2.4833333333333334,10.37
27,3,3,2018-06-21 10:53:46,2018-06-21 10:46:59,0 days 00:06:47.000000000,0,1,6.783333333333333,10.53
28,13,14,2018-06-21 10:49:45,2018-06-21 10:46:59,0 days 00:02:46.000000000,0,0,2.7666666666666666,10.49
29,3,3,2018-06-21 11:09:33,2018-06-21 11:03:44,0 days 00:05:49.000000000,0,0,5.816666666666666,11.09
30,13,13,2018-06-21 11:09:23,2018-06-21 11:03:44,0 days 00:05:39.000000000,0,0,5.65,11.09
32,3,3,2018-06-21 11:22:20,2018-06-21 11:17:01,0 days 00:05:19.000000000,0,0,5.316666666666666,11.22
33,13,14,2018-06-21 11:23:27,2018-06-21 11:17:01,0 days 00:06:26.000000000,0,1,6.433333333333334,11.23
34,17,17,2018-06-21 11:22:00,2018-06-21 11:17:01,0 days 00:04:59.000000000,0,0,4.983333333333333,11.22
35,3,3,2018-06-21 11:36:31,2018-06-21 11:34:11,0 days 00:02:20.000000000,0,0,2.3333333333333335,11.36
37,17,17,2018-06-21 11:37:00,2018-06-21 11:34:11,0 days 00:02:49.000000000,0,0,2.816666666666667,11.37
38,3,3,2018-06-21 11:49:53,2018-06-21 11:48:42,0 days 00:01:11.000000000,0,0,1.1833333333333333,11.49
39,13,13,2018-06-21 11:52:16,2018-06-21 11:48:42,0 days 00:03:34.000000000,0,0,3.566666666666667,11.52
41,3,3,2018-06-21 12:09:29,2018-06-21 12:03:44,0 days 00:05:45.000000000,0,0,5.75,12.09
42,13,14,2018-06-21 12:08:20,2018-06-21 12:03:44,0 days 00:04:36.000000000,0,0,4.6,12.08
43,17,17,2018-06-21 12:07:00,2018-06-21 12:03:44,0 days 00:03:16.000000000,0,0,3.2666666666666666,12.07
44,3,3,2018-06-21 12:23:37,2018-06-21 12:19:34,0 days 00:04:03.000000000,0,0,4.05,12.23
