,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,20,9,2018-05-09 07:28:49,2018-05-09 07:21:46,0 days 00:07:03.000000000,0,1,7.05,7.28
1,20,20,2018-05-09 07:44:19,2018-05-09 07:37:12,0 days 00:07:07.000000000,0,1,7.116666666666666,7.44
3,20,20,2018-05-09 08:14:00,2018-05-09 08:06:18,0 days 00:07:42.000000000,0,1,7.7,8.14
5,20,20,2018-05-09 08:44:31,2018-05-09 08:37:38,0 days 00:06:53.000000000,0,1,6.883333333333334,8.44
7,20,20,2018-05-09 09:14:00,2018-05-09 09:10:59,0 days 00:03:01.000000000,0,0,3.0166666666666666,9.14
10,20,20,2018-05-09 09:46:09,2018-05-09 09:37:36,0 days 00:08:33.000000000,0,1,8.55,9.46
11,8,8,2018-05-09 09:46:28,2018-05-09 09:37:36,0 days 00:08:52.000000000,0,1,8.866666666666667,9.46
12,20,9,2018-05-09 10:02:47,2018-05-09 09:53:31,0 days 00:09:16.000000000,0,1,9.266666666666667,10.02
13,8,8,2018-05-09 10:03:09,2018-05-09 09:53:31,0 days 00:09:38.000000000,0,1,9.633333333333333,10.03
14,20,20,2018-05-09 10:14:00,2018-05-09 10:07:16,0 days 00:06:44.000000000,0,1,6.733333333333333,10.14
15,8,8,2018-05-09 10:16:29,2018-05-09 10:07:16,0 days 00:09:13.000000000,0,1,9.216666666666667,10.16
16,20,9,2018-05-09 10:29:00,2018-05-09 10:22:41,0 days 00:06:19.000000000,0,1,6.316666666666666,10.29
17,8,8,2018-05-09 10:31:04,2018-05-09 10:22:41,0 days 00:08:23.000000000,0,1,8.383333333333333,10.31
18,20,20,2018-05-09 10:46:59,2018-05-09 10:37:46,0 days 00:09:13.000000000,0,1,9.216666666666667,10.46
19,8,8,2018-05-09 10:45:13,2018-05-09 10:37:46,0 days 00:07:27.000000000,0,1,7.45,10.45
20,20,9,2018-05-09 11:02:46,2018-05-09 10:54:51,0 days 00:07:55.000000000,0,1,7.916666666666667,11.02
21,8,8,2018-05-09 11:01:53,2018-05-09 10:54:51,0 days 00:07:02.000000000,0,1,7.033333333333333,11.01
22,20,20,2018-05-09 11:15:24,2018-05-09 11:07:22,0 days 00:08:02.000000000,0,1,8.033333333333333,11.15
23,8,8,2018-05-09 11:16:49,2018-05-09 11:07:22,0 days 00:09:27.000000000,0,1,9.45,11.16
27,8,8,2018-05-09 12:01:48,2018-05-09 11:53:11,0 days 00:08:37.000000000,0,1,8.616666666666667,12.01
28,20,20,2018-05-09 12:15:25,2018-05-09 12:07:47,0 days 00:07:38.000000000,0,1,7.633333333333334,12.15
31,8,8,2018-05-09 12:31:17,2018-05-09 12:23:14,0 days 00:08:03.000000000,0,1,8.05,12.31
32,20,20,2018-05-09 12:44:00,2018-05-09 12:39:03,0 days 00:04:57.000000000,0,0,4.95,12.44
33,8,8,2018-05-09 12:48:37,2018-05-09 12:39:03,0 days 00:09:34.000000000,0,1,9.566666666666666,12.48
34,20,9,2018-05-09 13:00:20,2018-05-09 12:52:59,0 days 00:07:21.000000000,0,1,7.35,13.0
37,20,20,2018-05-09 13:44:00,2018-05-09 13:41:03,0 days 00:02:57.000000000,0,0,2.95,13.44
39,20,20,2018-05-09 14:17:23,2018-05-09 14:09:46,0 days 00:07:37.000000000,0,1,7.616666666666666,14.17
41,20,20,2018-05-09 14:45:02,2018-05-09 14:39:42,0 days 00:05:20.000000000,0,0,5.333333333333333,14.45
45,20,20,2018-05-09 15:44:50,2018-05-09 15:37:00,0 days 00:07:50.000000000,0,1,7.833333333333333,15.44
46,20,9,2018-05-09 15:59:51,2018-05-09 15:53:40,0 days 00:06:11.000000000,0,1,6.183333333333334,15.59
48,20,20,2018-05-09 16:16:26,2018-05-09 16:08:14,0 days 00:08:12.000000000,0,1,8.2,16.16
49,8,8,2018-05-09 16:16:10,2018-05-09 16:08:14,0 days 00:07:56.000000000,0,1,7.933333333333334,16.16
50,20,9,2018-05-09 16:30:10,2018-05-09 16:24:33,0 days 00:05:37.000000000,0,0,5.616666666666666,16.3
51,8,8,2018-05-09 16:32:50,2018-05-09 16:24:33,0 days 00:08:17.000000000,0,1,8.283333333333333,16.32
52,20,20,2018-05-09 16:45:59,2018-05-09 16:38:41,0 days 00:07:18.000000000,0,1,7.3,16.45
53,8,8,2018-05-09 16:45:43,2018-05-09 16:38:41,0 days 00:07:02.000000000,0,1,7.033333333333333,16.45
54,20,9,2018-05-09 17:00:32,2018-05-09 16:54:09,0 days 00:06:23.000000000,0,1,6.383333333333334,17.0
55,8,8,2018-05-09 17:02:47,2018-05-09 16:54:09,0 days 00:08:38.000000000,0,1,8.633333333333333,17.02
56,20,20,2018-05-09 17:13:32,2018-05-09 17:09:20,0 days 00:04:12.000000000,0,0,4.2,17.13
57,8,8,2018-05-09 17:17:25,2018-05-09 17:09:20,0 days 00:08:05.000000000,0,1,8.083333333333334,17.17
58,20,9,2018-05-09 17:33:46,2018-05-09 17:28:06,0 days 00:05:40.000000000,0,0,5.666666666666667,17.33
59,8,8,2018-05-09 17:32:59,2018-05-09 17:28:06,0 days 00:04:53.000000000,0,0,4.883333333333334,17.32
60,20,20,2018-05-09 17:43:51,2018-05-09 17:40:35,0 days 00:03:16.000000000,0,0,3.2666666666666666,17.43
61,8,8,2018-05-09 17:47:32,2018-05-09 17:40:35,0 days 00:06:57.000000000,0,1,6.95,17.47
62,20,9,2018-05-09 17:59:33,2018-05-09 17:54:21,0 days 00:05:12.000000000,0,0,5.2,17.59
63,8,8,2018-05-09 18:02:04,2018-05-09 17:54:21,0 days 00:07:43.000000000,0,1,7.716666666666667,18.02
64,20,20,2018-05-09 18:15:04,2018-05-09 18:11:53,0 days 00:03:11.000000000,0,0,3.183333333333333,18.15
65,8,8,2018-05-09 18:16:14,2018-05-09 18:11:53,0 days 00:04:21.000000000,0,0,4.35,18.16
66,20,9,2018-05-09 18:31:32,2018-05-09 18:26:02,0 days 00:05:30.000000000,0,0,5.5,18.31
67,8,8,2018-05-09 18:31:36,2018-05-09 18:26:02,0 days 00:05:34.000000000,0,0,5.566666666666666,18.31
68,20,20,2018-05-09 18:44:00,2018-05-09 18:38:06,0 days 00:05:54.000000000,0,0,5.9,18.44
69,8,8,2018-05-09 18:46:07,2018-05-09 18:38:06,0 days 00:08:01.000000000,0,1,8.016666666666667,18.46
70,20,20,2018-05-09 19:17:53,2018-05-09 19:09:53,0 days 00:08:00.000000000,0,1,8.0,19.17
71,8,8,2018-05-09 19:19:48,2018-05-09 19:09:53,0 days 00:09:55.000000000,0,1,9.916666666666666,19.19
72,20,9,2018-05-09 19:29:00,2018-05-09 19:27:21,0 days 00:01:39.000000000,0,0,1.65,19.29
73,8,8,2018-05-09 19:31:01,2018-05-09 19:27:21,0 days 00:03:40.000000000,0,0,3.6666666666666665,19.31
74,20,20,2018-05-09 19:44:00,2018-05-09 19:38:40,0 days 00:05:20.000000000,0,0,5.333333333333333,19.44
75,8,8,2018-05-09 19:45:43,2018-05-09 19:38:40,0 days 00:07:03.000000000,0,1,7.05,19.45
76,20,9,2018-05-09 19:59:17,2018-05-09 19:54:34,0 days 00:04:43.000000000,0,0,4.716666666666667,19.59
77,8,8,2018-05-09 20:01:40,2018-05-09 19:54:34,0 days 00:07:06.000000000,0,1,7.1,20.01
78,20,20,2018-05-09 20:13:30,2018-05-09 20:07:49,0 days 00:05:41.000000000,0,0,5.683333333333334,20.13
79,8,8,2018-05-09 20:15:42,2018-05-09 20:07:49,0 days 00:07:53.000000000,0,1,7.883333333333334,20.15
