,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,13,14,2018-05-28 07:36:28,2018-05-28 07:29:59,0 days 00:06:29.000000000,0,1,6.483333333333333,7.36
1,13,13,2018-05-28 07:51:22,2018-05-28 07:46:42,0 days 00:04:40.000000000,0,0,4.666666666666667,7.51
2,13,14,2018-05-28 08:05:35,2018-05-28 08:00:02,0 days 00:05:33.000000000,0,0,5.55,8.05
3,13,13,2018-05-28 08:21:59,2018-05-28 08:16:57,0 days 00:05:02.000000000,0,0,5.033333333333333,8.21
4,13,14,2018-05-28 08:34:44,2018-05-28 08:33:35,0 days 00:01:09.000000000,0,0,1.15,8.34
5,13,13,2018-05-28 08:51:24,2018-05-28 08:46:35,0 days 00:04:49.000000000,0,0,4.816666666666666,8.51
6,13,14,2018-05-28 09:11:17,2018-05-28 09:02:57,0 days 00:08:20.000000000,0,1,8.333333333333334,9.11
7,13,13,2018-05-28 09:21:24,2018-05-28 09:17:31,0 days 00:03:53.000000000,0,0,3.8833333333333333,9.21
10,13,14,2018-05-28 09:50:25,2018-05-28 09:48:00,0 days 00:02:25.000000000,0,0,2.4166666666666665,9.5
11,3,3,2018-05-28 10:08:32,2018-05-28 10:02:15,0 days 00:06:17.000000000,0,1,6.283333333333333,10.08
13,3,3,2018-05-28 10:36:49,2018-05-28 10:31:32,0 days 00:05:17.000000000,0,0,5.283333333333333,10.36
14,13,13,2018-05-28 10:36:33,2018-05-28 10:31:32,0 days 00:05:01.000000000,0,0,5.016666666666667,10.36
15,17,17,2018-05-28 10:37:29,2018-05-28 10:31:32,0 days 00:05:57.000000000,0,0,5.95,10.37
16,3,3,2018-05-28 10:54:16,2018-05-28 10:46:57,0 days 00:07:19.000000000,0,1,7.316666666666666,10.54
17,13,14,2018-05-28 10:51:00,2018-05-28 10:46:57,0 days 00:04:03.000000000,0,0,4.05,10.51
18,17,17,2018-05-28 10:52:00,2018-05-28 10:46:57,0 days 00:05:03.000000000,0,0,5.05,10.52
19,3,3,2018-05-28 11:08:21,2018-05-28 11:00:15,0 days 00:08:06.000000000,0,1,8.1,11.08
20,13,13,2018-05-28 11:06:37,2018-05-28 11:00:15,0 days 00:06:22.000000000,0,1,6.366666666666666,11.06
22,3,3,2018-05-28 11:37:09,2018-05-28 11:30:17,0 days 00:06:52.000000000,0,1,6.866666666666666,11.37
24,17,17,2018-05-28 11:37:00,2018-05-28 11:30:17,0 days 00:06:43.000000000,0,1,6.716666666666667,11.37
25,3,3,2018-05-28 11:51:45,2018-05-28 11:46:57,0 days 00:04:48.000000000,0,0,4.8,11.51
26,13,13,2018-05-28 11:51:31,2018-05-28 11:46:57,0 days 00:04:34.000000000,0,0,4.566666666666666,11.51
28,3,3,2018-05-28 12:08:29,2018-05-28 12:03:23,0 days 00:05:06.000000000,0,0,5.1,12.08
29,13,14,2018-05-28 12:08:05,2018-05-28 12:03:23,0 days 00:04:42.000000000,0,0,4.7,12.08
30,17,17,2018-05-28 12:07:10,2018-05-28 12:03:23,0 days 00:03:47.000000000,0,0,3.783333333333333,12.07
31,3,3,2018-05-28 12:24:03,2018-05-28 12:18:22,0 days 00:05:41.000000000,0,0,5.683333333333334,12.24
32,13,13,2018-05-28 12:22:13,2018-05-28 12:18:22,0 days 00:03:51.000000000,0,0,3.85,12.22
33,17,17,2018-05-28 12:22:00,2018-05-28 12:18:22,0 days 00:03:38.000000000,0,0,3.6333333333333333,12.22
34,13,14,2018-05-28 12:38:02,2018-05-28 12:30:00,0 days 00:08:02.000000000,0,1,8.033333333333333,12.38
36,13,13,2018-05-28 12:51:23,2018-05-28 12:48:18,0 days 00:03:05.000000000,0,0,3.0833333333333335,12.51
37,17,17,2018-05-28 12:52:22,2018-05-28 12:48:18,0 days 00:04:04.000000000,0,0,4.066666666666666,12.52
38,13,14,2018-05-28 13:07:19,2018-05-28 13:00:48,0 days 00:06:31.000000000,0,1,6.516666666666667,13.07
39,13,13,2018-05-28 13:21:38,2018-05-28 13:18:38,0 days 00:03:00.000000000,0,0,3.0,13.21
41,13,13,2018-05-28 13:51:34,2018-05-28 13:45:23,0 days 00:06:11.000000000,0,1,6.183333333333334,13.51
42,13,14,2018-05-28 14:06:37,2018-05-28 13:59:58,0 days 00:06:39.000000000,0,1,6.65,14.06
43,13,13,2018-05-28 14:21:32,2018-05-28 14:17:02,0 days 00:04:30.000000000,0,0,4.5,14.21
44,13,14,2018-05-28 14:36:00,2018-05-28 14:35:00,0 days 00:01:00.000000000,0,0,1.0,14.36
45,13,13,2018-05-28 14:53:42,2018-05-28 14:49:51,0 days 00:03:51.000000000,0,0,3.85,14.53
47,13,13,2018-05-28 15:22:52,2018-05-28 15:13:01,0 days 00:09:51.000000000,0,1,9.85,15.22
49,13,13,2018-05-28 15:53:37,2018-05-28 15:46:23,0 days 00:07:14.000000000,0,1,7.233333333333333,15.53
51,13,14,2018-05-28 16:04:11,2018-05-28 15:59:40,0 days 00:04:31.000000000,0,0,4.516666666666667,16.04
52,17,17,2018-05-28 16:07:00,2018-05-28 15:59:40,0 days 00:07:20.000000000,0,1,7.333333333333333,16.07
54,13,13,2018-05-28 16:22:18,2018-05-28 16:16:43,0 days 00:05:35.000000000,0,0,5.583333333333333,16.22
56,3,3,2018-05-28 16:39:00,2018-05-28 16:30:04,0 days 00:08:56.000000000,0,1,8.933333333333334,16.39
57,13,14,2018-05-28 16:35:21,2018-05-28 16:30:04,0 days 00:05:17.000000000,0,0,5.283333333333333,16.35
58,17,17,2018-05-28 16:37:21,2018-05-28 16:30:04,0 days 00:07:17.000000000,0,1,7.283333333333333,16.37
59,3,3,2018-05-28 16:50:22,2018-05-28 16:43:20,0 days 00:07:02.000000000,0,1,7.033333333333333,16.5
61,17,17,2018-05-28 16:52:00,2018-05-28 16:43:20,0 days 00:08:40.000000000,0,1,8.666666666666666,16.52
62,3,3,2018-05-28 17:08:42,2018-05-28 17:02:04,0 days 00:06:38.000000000,0,1,6.633333333333334,17.08
63,13,13,2018-05-28 17:09:15,2018-05-28 17:02:04,0 days 00:07:11.000000000,0,1,7.183333333333334,17.09
65,3,3,2018-05-28 17:22:50,2018-05-28 17:13:43,0 days 00:09:07.000000000,0,1,9.116666666666667,17.22
66,13,14,2018-05-28 17:20:13,2018-05-28 17:13:43,0 days 00:06:30.000000000,0,1,6.5,17.2
67,17,17,2018-05-28 17:22:42,2018-05-28 17:13:43,0 days 00:08:59.000000000,0,1,8.983333333333333,17.22
68,3,3,2018-05-28 17:38:14,2018-05-28 17:32:28,0 days 00:05:46.000000000,0,0,5.766666666666667,17.38
69,13,13,2018-05-28 17:38:22,2018-05-28 17:32:28,0 days 00:05:54.000000000,0,0,5.9,17.38
70,17,17,2018-05-28 17:37:00,2018-05-28 17:32:28,0 days 00:04:32.000000000,0,0,4.533333333333333,17.37
71,3,3,2018-05-28 17:50:47,2018-05-28 17:45:01,0 days 00:05:46.000000000,0,0,5.766666666666667,17.5
72,13,14,2018-05-28 17:51:29,2018-05-28 17:45:01,0 days 00:06:28.000000000,0,1,6.466666666666667,17.51
74,3,3,2018-05-28 18:08:32,2018-05-28 18:03:38,0 days 00:04:54.000000000,0,0,4.9,18.08
75,13,13,2018-05-28 18:07:06,2018-05-28 18:03:38,0 days 00:03:28.000000000,0,0,3.466666666666667,18.07
76,17,17,2018-05-28 18:07:21,2018-05-28 18:03:38,0 days 00:03:43.000000000,0,0,3.716666666666667,18.07
77,3,3,2018-05-28 18:21:31,2018-05-28 18:17:03,0 days 00:04:28.000000000,0,0,4.466666666666667,18.21
