,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,13,14,2018-09-18 07:36:00,2018-09-18 07:28:31,0 days 00:07:29.000000000,0,1,7.483333333333333,7.36
1,13,13,2018-09-18 07:52:40,2018-09-18 07:43:55,0 days 00:08:45.000000000,0,1,8.75,7.52
2,13,14,2018-09-18 08:07:25,2018-09-18 08:01:07,0 days 00:06:18.000000000,0,1,6.3,8.07
3,13,13,2018-09-18 08:21:41,2018-09-18 08:15:28,0 days 00:06:13.000000000,0,1,6.216666666666667,8.21
4,13,14,2018-09-18 08:36:00,2018-09-18 08:33:25,0 days 00:02:35.000000000,0,0,2.5833333333333335,8.36
5,13,13,2018-09-18 08:53:08,2018-09-18 08:48:51,0 days 00:04:17.000000000,0,0,4.283333333333333,8.53
6,13,14,2018-09-18 09:07:56,2018-09-18 09:01:10,0 days 00:06:46.000000000,0,1,6.766666666666667,9.07
7,13,13,2018-09-18 09:24:20,2018-09-18 09:16:10,0 days 00:08:10.000000000,0,1,8.166666666666666,9.24
9,13,13,2018-09-18 09:54:56,2018-09-18 09:46:33,0 days 00:08:23.000000000,0,1,8.383333333333333,9.54
12,17,17,2018-09-18 10:07:00,2018-09-18 10:01:13,0 days 00:05:47.000000000,0,0,5.783333333333333,10.07
13,13,13,2018-09-18 10:36:00,2018-09-18 10:33:00,0 days 00:03:00.000000000,0,0,3.0,10.36
14,17,17,2018-09-18 10:37:32,2018-09-18 10:33:00,0 days 00:04:32.000000000,0,0,4.533333333333333,10.37
16,13,13,2018-09-18 11:06:11,2018-09-18 11:02:41,0 days 00:03:30.000000000,0,0,3.5,11.06
19,17,17,2018-09-18 11:37:36,2018-09-18 11:34:08,0 days 00:03:28.000000000,0,0,3.466666666666667,11.37
20,13,13,2018-09-18 11:51:28,2018-09-18 11:47:58,0 days 00:03:30.000000000,0,0,3.5,11.51
23,17,17,2018-09-18 12:06:59,2018-09-18 12:03:04,0 days 00:03:55.000000000,0,0,3.9166666666666665,12.06
24,13,13,2018-09-18 12:21:28,2018-09-18 12:18:31,0 days 00:02:57.000000000,0,0,2.95,12.21
27,13,13,2018-09-18 12:51:28,2018-09-18 12:45:41,0 days 00:05:47.000000000,0,0,5.783333333333333,12.51
28,17,17,2018-09-18 12:52:31,2018-09-18 12:45:41,0 days 00:06:50.000000000,0,1,6.833333333333333,12.52
29,13,14,2018-09-18 13:06:30,2018-09-18 13:02:25,0 days 00:04:05.000000000,0,0,4.083333333333333,13.06
30,13,13,2018-09-18 13:21:50,2018-09-18 13:16:37,0 days 00:05:13.000000000,0,0,5.216666666666667,13.21
31,13,14,2018-09-18 13:41:53,2018-09-18 13:33:02,0 days 00:08:51.000000000,0,1,8.85,13.41
32,13,13,2018-09-18 13:51:21,2018-09-18 13:46:01,0 days 00:05:20.000000000,0,0,5.333333333333333,13.51
33,13,14,2018-09-18 14:06:23,2018-09-18 14:01:53,0 days 00:04:30.000000000,0,0,4.5,14.06
34,13,13,2018-09-18 14:23:11,2018-09-18 14:14:57,0 days 00:08:14.000000000,0,1,8.233333333333333,14.23
35,13,14,2018-09-18 14:34:17,2018-09-18 14:33:14,0 days 00:01:03.000000000,0,0,1.05,14.34
36,13,13,2018-09-18 14:56:06,2018-09-18 14:50:00,0 days 00:06:06.000000000,0,1,6.1,14.56
