,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,13,14,2018-07-23 07:36:47,2018-07-23 07:27:42,0 days 00:09:05.000000000,0,1,9.083333333333334,7.36
1,13,13,2018-07-23 07:52:00,2018-07-23 07:46:08,0 days 00:05:52.000000000,0,0,5.866666666666666,7.52
2,13,14,2018-07-23 08:06:36,2018-07-23 07:57:54,0 days 00:08:42.000000000,0,1,8.7,8.06
3,13,13,2018-07-23 08:22:26,2018-07-23 08:12:57,0 days 00:09:29.000000000,0,1,9.483333333333333,8.22
4,13,14,2018-07-23 08:36:52,2018-07-23 08:29:36,0 days 00:07:16.000000000,0,1,7.266666666666667,8.36
5,13,13,2018-07-23 08:50:57,2018-07-23 08:44:13,0 days 00:06:44.000000000,0,1,6.733333333333333,8.5
6,13,14,2018-07-23 09:04:32,2018-07-23 08:58:54,0 days 00:05:38.000000000,0,0,5.633333333333334,9.04
7,13,13,2018-07-23 09:22:33,2018-07-23 09:18:34,0 days 00:03:59.000000000,0,0,3.9833333333333334,9.22
8,13,14,2018-07-23 09:36:10,2018-07-23 09:30:14,0 days 00:05:56.000000000,0,0,5.933333333333334,9.36
9,13,13,2018-07-23 09:51:20,2018-07-23 09:44:55,0 days 00:06:25.000000000,0,1,6.416666666666667,9.51
12,17,17,2018-07-23 10:07:00,2018-07-23 10:02:26,0 days 00:04:34.000000000,0,0,4.566666666666666,10.07
13,13,13,2018-07-23 10:40:00,2018-07-23 10:30:40,0 days 00:09:20.000000000,0,1,9.333333333333334,10.4
14,17,17,2018-07-23 10:37:29,2018-07-23 10:30:40,0 days 00:06:49.000000000,0,1,6.816666666666666,10.37
16,13,13,2018-07-23 11:07:30,2018-07-23 11:04:03,0 days 00:03:27.000000000,0,0,3.45,11.07
19,17,17,2018-07-23 11:37:00,2018-07-23 11:33:38,0 days 00:03:22.000000000,0,0,3.3666666666666667,11.37
20,13,13,2018-07-23 11:52:17,2018-07-23 11:45:27,0 days 00:06:50.000000000,0,1,6.833333333333333,11.52
22,13,14,2018-07-23 12:07:51,2018-07-23 12:05:33,0 days 00:02:18.000000000,0,0,2.3,12.07
23,17,17,2018-07-23 12:07:24,2018-07-23 12:05:33,0 days 00:01:51.000000000,0,0,1.85,12.07
24,13,13,2018-07-23 12:25:32,2018-07-23 12:20:27,0 days 00:05:05.000000000,0,0,5.083333333333333,12.25
27,13,13,2018-07-23 12:54:38,2018-07-23 12:48:43,0 days 00:05:55.000000000,0,0,5.916666666666667,12.54
28,17,17,2018-07-23 12:52:37,2018-07-23 12:48:43,0 days 00:03:54.000000000,0,0,3.9,12.52
30,13,14,2018-07-23 13:21:30,2018-07-23 13:19:57,0 days 00:01:33.000000000,0,0,1.55,13.21
31,13,14,2018-07-23 13:43:10,2018-07-23 13:34:32,0 days 00:08:38.000000000,0,1,8.633333333333333,13.43
32,13,13,2018-07-23 13:54:28,2018-07-23 13:49:26,0 days 00:05:02.000000000,0,0,5.033333333333333,13.54
33,13,14,2018-07-23 14:04:59,2018-07-23 14:03:26,0 days 00:01:33.000000000,0,0,1.55,14.04
34,13,13,2018-07-23 14:24:19,2018-07-23 14:20:28,0 days 00:03:51.000000000,0,0,3.85,14.24
36,13,13,2018-07-23 14:52:50,2018-07-23 14:45:33,0 days 00:07:17.000000000,0,1,7.283333333333333,14.52
