,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,3,3,2018-06-06 09:49:51,2018-06-06 09:53:16,0 days 00:03:25.000000000,0,0,3.4166666666666665,9.49
1,3,3,2018-06-06 10:02:07,2018-06-06 10:08:29,0 days 00:06:22.000000000,0,1,6.366666666666666,10.02
2,3,3,2018-06-06 10:18:00,2018-06-06 10:23:54,0 days 00:05:54.000000000,0,0,5.9,10.18
3,3,3,2018-06-06 10:33:36,2018-06-06 10:38:08,0 days 00:04:32.000000000,0,0,4.533333333333333,10.33
5,3,3,2018-06-06 11:03:12,2018-06-06 11:08:29,0 days 00:05:17.000000000,0,0,5.283333333333333,11.03
6,3,3,2018-06-06 11:17:23,2018-06-06 11:23:29,0 days 00:06:06.000000000,0,1,6.1,11.17
7,3,3,2018-06-06 11:32:26,2018-06-06 11:35:39,0 days 00:03:13.000000000,0,0,3.216666666666667,11.32
8,3,3,2018-06-06 11:47:53,2018-06-06 11:53:41,0 days 00:05:48.000000000,0,0,5.8,11.47
9,3,3,2018-06-06 12:03:41,2018-06-06 12:08:38,0 days 00:04:57.000000000,0,0,4.95,12.03
10,3,3,2018-06-06 12:19:57,2018-06-06 12:23:37,0 days 00:03:40.000000000,0,0,3.6666666666666665,12.19
11,3,3,2018-06-06 16:18:03,2018-06-06 16:23:18,0 days 00:05:15.000000000,0,0,5.25,16.18
12,3,3,2018-06-06 16:33:04,2018-06-06 16:38:43,0 days 00:05:39.000000000,0,0,5.65,16.33
13,3,3,2018-06-06 16:46:23,2018-06-06 16:53:21,0 days 00:06:58.000000000,0,1,6.966666666666667,16.46
14,3,3,2018-06-06 17:06:55,2018-06-06 17:09:41,0 days 00:02:46.000000000,0,0,2.7666666666666666,17.06
15,3,3,2018-06-06 17:17:19,2018-06-06 17:23:25,0 days 00:06:06.000000000,0,1,6.1,17.17
16,3,3,2018-06-06 17:33:10,2018-06-06 17:38:34,0 days 00:05:24.000000000,0,0,5.4,17.33
17,3,3,2018-06-06 17:48:37,2018-06-06 17:53:34,0 days 00:04:57.000000000,0,0,4.95,17.48
18,3,3,2018-06-06 18:06:03,2018-06-06 18:08:19,0 days 00:02:16.000000000,0,0,2.2666666666666666,18.06
19,3,3,2018-06-06 18:16:03,2018-06-06 18:23:43,0 days 00:07:40.000000000,0,1,7.666666666666667,18.16
20,3,3,2018-06-06 21:01:11,2018-06-06 21:08:23,0 days 00:07:12.000000000,0,1,7.2,21.01
21,3,3,2018-06-06 21:17:25,2018-06-06 21:23:25,0 days 00:06:00.000000000,0,0,6.0,21.17
22,3,3,2018-06-06 21:29:30,2018-06-06 21:38:25,0 days 00:08:55.000000000,0,1,8.916666666666666,21.29
23,3,3,2018-06-06 21:47:31,2018-06-06 21:53:50,0 days 00:06:19.000000000,0,1,6.316666666666666,21.47
24,3,3,2018-06-06 22:00:50,2018-06-06 22:08:21,0 days 00:07:31.000000000,0,1,7.516666666666667,22.0
25,3,3,2018-06-06 22:19:09,2018-06-06 22:23:47,0 days 00:04:38.000000000,0,0,4.633333333333334,22.19
