,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,13,14,2018-08-31 07:35:08,2018-08-31 07:30:38,0 days 00:04:30.000000000,0,0,4.5,7.35
1,13,13,2018-08-31 07:51:31,2018-08-31 07:45:14,0 days 00:06:17.000000000,0,1,6.283333333333333,7.51
2,13,14,2018-08-31 08:04:13,2018-08-31 07:59:07,0 days 00:05:06.000000000,0,0,5.1,8.04
3,13,13,2018-08-31 08:21:27,2018-08-31 08:16:13,0 days 00:05:14.000000000,0,0,5.233333333333333,8.21
4,13,14,2018-08-31 08:35:22,2018-08-31 08:28:46,0 days 00:06:36.000000000,0,1,6.6,8.35
5,13,13,2018-08-31 08:52:09,2018-08-31 08:45:01,0 days 00:07:08.000000000,0,1,7.133333333333334,8.52
6,13,14,2018-08-31 09:06:00,2018-08-31 09:04:12,0 days 00:01:48.000000000,0,0,1.8,9.06
7,13,13,2018-08-31 09:21:38,2018-08-31 09:16:43,0 days 00:04:55.000000000,0,0,4.916666666666667,9.21
8,13,14,2018-08-31 09:34:04,2018-08-31 09:29:17,0 days 00:04:47.000000000,0,0,4.783333333333333,9.34
9,13,13,2018-08-31 09:51:35,2018-08-31 09:46:24,0 days 00:05:11.000000000,0,0,5.183333333333334,9.51
12,17,17,2018-08-31 10:37:39,2018-08-31 10:29:53,0 days 00:07:46.000000000,0,1,7.766666666666667,10.37
14,13,13,2018-08-31 11:06:34,2018-08-31 11:04:58,0 days 00:01:36.000000000,0,0,1.6,11.06
17,17,17,2018-08-31 11:37:00,2018-08-31 11:31:42,0 days 00:05:18.000000000,0,0,5.3,11.37
20,13,14,2018-08-31 12:10:07,2018-08-31 12:04:46,0 days 00:05:21.000000000,0,0,5.35,12.1
21,17,17,2018-08-31 12:07:30,2018-08-31 12:04:46,0 days 00:02:44.000000000,0,0,2.7333333333333334,12.07
26,13,13,2018-08-31 12:52:13,2018-08-31 12:49:47,0 days 00:02:26.000000000,0,0,2.433333333333333,12.52
27,17,17,2018-08-31 12:52:28,2018-08-31 12:49:47,0 days 00:02:41.000000000,0,0,2.683333333333333,12.52
29,13,13,2018-08-31 13:21:37,2018-08-31 13:21:14,0 days 00:00:23.000000000,0,0,0.38333333333333336,13.21
30,13,14,2018-08-31 13:39:39,2018-08-31 13:33:53,0 days 00:05:46.000000000,0,0,5.766666666666667,13.39
31,13,13,2018-08-31 13:52:01,2018-08-31 13:48:27,0 days 00:03:34.000000000,0,0,3.566666666666667,13.52
32,13,14,2018-08-31 14:07:51,2018-08-31 14:02:41,0 days 00:05:10.000000000,0,0,5.166666666666667,14.07
33,13,13,2018-08-31 14:22:17,2018-08-31 14:17:41,0 days 00:04:36.000000000,0,0,4.6,14.22
35,13,13,2018-08-31 14:53:03,2018-08-31 14:49:13,0 days 00:03:50.000000000,0,0,3.8333333333333335,14.53
36,13,14,2018-08-31 15:06:46,2018-08-31 15:01:29,0 days 00:05:17.000000000,0,0,5.283333333333333,15.06
37,13,13,2018-08-31 15:21:16,2018-08-31 15:14:00,0 days 00:07:16.000000000,0,1,7.266666666666667,15.21
38,13,14,2018-08-31 15:34:51,2018-08-31 15:30:42,0 days 00:04:09.000000000,0,0,4.15,15.34
39,13,13,2018-08-31 15:51:42,2018-08-31 15:44:47,0 days 00:06:55.000000000,0,1,6.916666666666667,15.51
41,13,14,2018-08-31 16:03:38,2018-08-31 15:59:51,0 days 00:03:47.000000000,0,0,3.783333333333333,16.03
42,17,17,2018-08-31 16:07:00,2018-08-31 15:59:51,0 days 00:07:09.000000000,0,1,7.15,16.07
43,13,13,2018-08-31 16:21:43,2018-08-31 16:16:55,0 days 00:04:48.000000000,0,0,4.8,16.21
45,13,13,2018-08-31 17:07:25,2018-08-31 17:01:40,0 days 00:05:45.000000000,0,0,5.75,17.07
47,13,14,2018-08-31 17:22:30,2018-08-31 17:15:03,0 days 00:07:27.000000000,0,1,7.45,17.22
48,17,17,2018-08-31 17:23:09,2018-08-31 17:15:03,0 days 00:08:06.000000000,0,1,8.1,17.23
49,13,14,2018-08-31 17:52:11,2018-08-31 17:44:42,0 days 00:07:29.000000000,0,1,7.483333333333333,17.52
51,13,13,2018-08-31 18:06:33,2018-08-31 18:02:39,0 days 00:03:54.000000000,0,0,3.9,18.06
52,17,17,2018-08-31 18:07:17,2018-08-31 18:02:39,0 days 00:04:38.000000000,0,0,4.633333333333334,18.07
53,13,14,2018-08-31 18:24:44,2018-08-31 18:17:34,0 days 00:07:10.000000000,0,1,7.166666666666667,18.24
55,17,17,2018-08-31 18:52:41,2018-08-31 18:52:11,0 days 00:00:30.000000000,0,0,0.5,18.52
57,13,14,2018-08-31 19:20:41,2018-08-31 19:18:01,0 days 00:02:40.000000000,0,0,2.6666666666666665,19.2
60,13,13,2018-08-31 19:51:51,2018-08-31 19:48:22,0 days 00:03:29.000000000,0,0,3.4833333333333334,19.51
61,17,17,2018-08-31 19:54:08,2018-08-31 19:48:22,0 days 00:05:46.000000000,0,0,5.766666666666667,19.54
