,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,20,20,2018-07-31 07:37:52,2018-07-31 07:47:11,0 days 00:09:19.000000000,0,1,9.316666666666666,7.37
1,20,20,2018-07-31 08:10:00,2018-07-31 08:16:20,0 days 00:06:20.000000000,0,1,6.333333333333333,8.1
2,20,20,2018-07-31 08:40:04,2018-07-31 08:47:16,0 days 00:07:12.000000000,0,1,7.2,8.4
4,20,20,2018-07-31 09:37:53,2018-07-31 09:47:04,0 days 00:09:11.000000000,0,1,9.183333333333334,9.37
6,20,20,2018-07-31 10:08:31,2018-07-31 10:17:28,0 days 00:08:57.000000000,0,1,8.95,10.08
7,20,9,2018-07-31 10:29:49,2018-07-31 10:32:04,0 days 00:02:15.000000000,0,0,2.25,10.29
8,20,20,2018-07-31 10:43:09,2018-07-31 10:47:59,0 days 00:04:50.000000000,0,0,4.833333333333333,10.43
10,20,20,2018-07-31 11:09:49,2018-07-31 11:18:51,0 days 00:09:02.000000000,0,1,9.033333333333333,11.09
11,20,9,2018-07-31 11:29:48,2018-07-31 11:32:47,0 days 00:02:59.000000000,0,0,2.9833333333333334,11.29
12,20,20,2018-07-31 11:37:11,2018-07-31 11:47:02,0 days 00:09:51.000000000,0,1,9.85,11.37
13,20,9,2018-07-31 11:59:45,2018-07-31 12:06:14,0 days 00:06:29.000000000,0,1,6.483333333333333,11.59
14,20,20,2018-07-31 12:12:09,2018-07-31 12:18:41,0 days 00:06:32.000000000,0,1,6.533333333333333,12.12
15,20,9,2018-07-31 12:29:42,2018-07-31 12:33:15,0 days 00:03:33.000000000,0,0,3.55,12.29
18,20,20,2018-07-31 13:39:34,2018-07-31 13:48:15,0 days 00:08:41.000000000,0,1,8.683333333333334,13.39
19,20,20,2018-07-31 14:10:01,2018-07-31 14:16:00,0 days 00:05:59.000000000,0,0,5.983333333333333,14.1
20,20,20,2018-07-31 14:37:03,2018-07-31 14:46:11,0 days 00:09:08.000000000,0,1,9.133333333333333,14.37
21,20,20,2018-07-31 15:10:00,2018-07-31 15:15:46,0 days 00:05:46.000000000,0,0,5.766666666666667,15.1
22,20,20,2018-07-31 15:45:24,2018-07-31 15:48:14,0 days 00:02:50.000000000,0,0,2.8333333333333335,15.45
