,linea,linea_real,salida,llegada_central,espera,outlayers,espera_mas_50,espera minutos,hora salida
0,20,9,2018-08-17 07:27:19,2018-08-17 07:31:55,0 days 00:04:36.000000000,0,0,4.6,7.27
1,20,20,2018-08-17 07:37:57,2018-08-17 07:47:43,0 days 00:09:46.000000000,0,1,9.766666666666667,7.37
2,20,9,2018-08-17 07:54:00,2018-08-17 08:01:27,0 days 00:07:27.000000000,0,1,7.45,7.54
3,20,20,2018-08-17 08:08:03,2018-08-17 08:16:08,0 days 00:08:05.000000000,0,1,8.083333333333334,8.08
4,20,9,2018-08-17 08:26:27,2018-08-17 08:31:53,0 days 00:05:26.000000000,0,0,5.433333333333334,8.26
5,20,20,2018-08-17 08:38:04,2018-08-17 08:47:16,0 days 00:09:12.000000000,0,1,9.2,8.38
6,20,9,2018-08-17 08:56:26,2018-08-17 09:01:05,0 days 00:04:39.000000000,0,0,4.65,8.56
7,20,20,2018-08-17 09:06:47,2018-08-17 09:16:00,0 days 00:09:13.000000000,0,1,9.216666666666667,9.06
8,20,9,2018-08-17 09:26:50,2018-08-17 09:32:21,0 days 00:05:31.000000000,0,0,5.516666666666667,9.26
11,20,20,2018-08-17 10:11:36,2018-08-17 10:17:48,0 days 00:06:12.000000000,0,1,6.2,10.11
12,20,9,2018-08-17 10:28:04,2018-08-17 10:31:57,0 days 00:03:53.000000000,0,0,3.8833333333333333,10.28
13,20,20,2018-08-17 10:40:13,2018-08-17 10:46:00,0 days 00:05:47.000000000,0,0,5.783333333333333,10.4
15,20,20,2018-08-17 11:08:31,2018-08-17 11:15:47,0 days 00:07:16.000000000,0,1,7.266666666666667,11.08
16,20,9,2018-08-17 11:29:15,2018-08-17 11:32:31,0 days 00:03:16.000000000,0,0,3.2666666666666666,11.29
17,20,20,2018-08-17 11:40:15,2018-08-17 11:49:41,0 days 00:09:26.000000000,0,1,9.433333333333334,11.4
18,20,9,2018-08-17 11:58:20,2018-08-17 12:00:56,0 days 00:02:36.000000000,0,0,2.6,11.58
19,20,20,2018-08-17 12:10:13,2018-08-17 12:17:18,0 days 00:07:05.000000000,0,1,7.083333333333333,12.1
20,20,9,2018-08-17 12:27:01,2018-08-17 12:33:08,0 days 00:06:07.000000000,0,1,6.116666666666666,12.27
21,20,20,2018-08-17 12:40:36,2018-08-17 12:46:04,0 days 00:05:28.000000000,0,0,5.466666666666667,12.4
22,20,9,2018-08-17 12:57:25,2018-08-17 13:02:18,0 days 00:04:53.000000000,0,0,4.883333333333334,12.57
23,20,20,2018-08-17 13:10:30,2018-08-17 13:16:55,0 days 00:06:25.000000000,0,1,6.416666666666667,13.1
24,20,9,2018-08-17 13:26:00,2018-08-17 13:30:21,0 days 00:04:21.000000000,0,0,4.35,13.26
26,20,9,2018-08-17 13:54:46,2018-08-17 13:57:25,0 days 00:02:39.000000000,0,0,2.65,13.54
27,20,20,2018-08-17 14:06:47,2018-08-17 14:15:46,0 days 00:08:59.000000000,0,1,8.983333333333333,14.06
29,20,20,2018-08-17 14:40:13,2018-08-17 14:46:44,0 days 00:06:31.000000000,0,1,6.516666666666667,14.4
30,20,20,2018-08-17 15:07:12,2018-08-17 15:15:57,0 days 00:08:45.000000000,0,1,8.75,15.07
31,20,9,2018-08-17 15:25:59,2018-08-17 15:30:55,0 days 00:04:56.000000000,0,0,4.933333333333334,15.25
32,20,20,2018-08-17 15:43:50,2018-08-17 15:47:09,0 days 00:03:19.000000000,0,0,3.316666666666667,15.43
33,20,9,2018-08-17 15:56:23,2018-08-17 16:00:52,0 days 00:04:29.000000000,0,0,4.483333333333333,15.56
35,20,9,2018-08-17 16:28:30,2018-08-17 16:33:13,0 days 00:04:43.000000000,0,0,4.716666666666667,16.28
36,20,20,2018-08-17 16:44:12,2018-08-17 16:47:25,0 days 00:03:13.000000000,0,0,3.216666666666667,16.44
37,20,9,2018-08-17 16:58:52,2018-08-17 17:01:57,0 days 00:03:05.000000000,0,0,3.0833333333333335,16.58
39,20,9,2018-08-17 17:30:05,2018-08-17 17:32:31,0 days 00:02:26.000000000,0,0,2.433333333333333,17.3
40,20,20,2018-08-17 17:43:45,2018-08-17 17:47:33,0 days 00:03:48.000000000,0,0,3.8,17.43
41,20,9,2018-08-17 18:00:27,2018-08-17 18:02:15,0 days 00:01:48.000000000,0,0,1.8,18.0
43,20,9,2018-08-17 18:30:46,2018-08-17 18:33:27,0 days 00:02:41.000000000,0,0,2.683333333333333,18.3
44,20,20,2018-08-17 18:40:00,2018-08-17 18:49:22,0 days 00:09:22.000000000,0,1,9.366666666666667,18.4
45,20,9,2018-08-17 19:00:48,2018-08-17 19:02:42,0 days 00:01:54.000000000,0,0,1.9,19.0
46,20,20,2018-08-17 19:13:51,2018-08-17 19:17:43,0 days 00:03:52.000000000,0,0,3.8666666666666667,19.13
47,20,9,2018-08-17 19:29:32,2018-08-17 19:31:52,0 days 00:02:20.000000000,0,0,2.3333333333333335,19.29
