,coche,sentido,viaje,media tiempo viaje (minutos),media velocidad comercial (km/h),desviación tiempo viaje,desviación velocidad comercial
18,1,Valdecilla_Sardinero,2,22.52916666666667,13.236875222882913,2.9797580998016158,1.8949122417766804
0,1,Sardinero_Valdecilla,3,12.540000000000001,23.481340087465554,0.5578480478091183,1.0220174353599827
19,1,Valdecilla_Sardinero,4,12.946666666666667,22.737988211823904,0.5114521808862806,0.9319109789959461
1,1,Sardinero_Valdecilla,5,14.296666666666667,20.622917720093294,0.8474143680107807,1.2380082836110182
2,1,Sardinero_Valdecilla,7,13.556666666666667,21.69236450179469,0.24369835635245643,0.39065674549958673
20,1,Valdecilla_Sardinero,8,14.463333333333333,20.47626542333735,1.3343433674366665,2.0242437260126156
3,1,Sardinero_Valdecilla,9,14.593333333333334,20.176941928496266,0.633727947238491,0.8859623987443868
21,1,Valdecilla_Sardinero,10,15.875,18.5368251090558,0.5619905100029116,0.6457343744433849
4,1,Sardinero_Valdecilla,11,20.51,16.53804932424844,10.72443083182817,5.347334763939275
22,1,Valdecilla_Sardinero,12,15.7375,18.686586473742274,0.30042408297210443,0.3557655781719433
5,1,Sardinero_Valdecilla,13,18.795833333333334,15.820641751076979,2.322728878807091,1.9388648968813953
23,1,Valdecilla_Sardinero,14,16.883333333333333,17.5522109915707,1.6966060892918613,1.7300085734164157
6,1,Sardinero_Valdecilla,15,18.25,16.705150061134002,4.321329527921805,3.165614061830178
24,1,Valdecilla_Sardinero,16,16.153333333333336,18.38558837301033,1.9478050324517715,1.9188350790127995
7,1,Sardinero_Valdecilla,17,17.393333333333334,17.24571654078616,2.8383436092982897,2.630257009785504
25,1,Valdecilla_Sardinero,18,17.023333333333333,17.353355872450482,1.3520355024924458,1.3077300852668874
8,1,Sardinero_Valdecilla,19,17.6,16.746954306714997,1.0045267911181246,0.9911852348238309
26,1,Valdecilla_Sardinero,20,17.046666666666663,17.961065197273186,4.138528321356114,3.7127591961954987
9,1,Sardinero_Valdecilla,21,14.036666666666667,21.176376032097306,1.6495117122618095,2.466233384443421
27,1,Valdecilla_Sardinero,22,15.023333333333335,19.744944886079644,1.5606533532110483,2.113812330495413
10,1,Sardinero_Valdecilla,23,13.5,21.882793715093985,1.0662108401041306,1.663664782626714
28,1,Valdecilla_Sardinero,24,15.893333333333334,18.76248359929341,2.173725680331659,2.4370594953562703
11,1,Sardinero_Valdecilla,25,14.091666666666667,20.904699062487996,0.7306136436559997,1.0629334929593175
29,1,Valdecilla_Sardinero,26,16.316666666666666,18.094828005643944,1.3288466176851776,1.4079460357401066
12,1,Sardinero_Valdecilla,27,16.2125,18.295877884293283,1.7830672179431981,1.9669877075711653
13,1,Sardinero_Valdecilla,29,16.083333333333336,18.532693294532248,2.0879282661155876,2.4454847283041
30,1,Valdecilla_Sardinero,30,16.1,18.390420065119713,1.5012957366518065,1.7401278670754223
14,1,Sardinero_Valdecilla,31,16.20333333333333,18.245173563427155,1.3555646629930846,1.5084932952883656
31,1,Valdecilla_Sardinero,32,15.876666666666665,18.623106995778286,1.3275185707008224,1.578622152692402
15,1,Sardinero_Valdecilla,33,15.940000000000001,18.931555086456036,3.047918233082304,3.224652444402057
32,1,Valdecilla_Sardinero,34,15.225,19.499292544077818,1.67456462003312,2.2951001010129324
16,1,Sardinero_Valdecilla,35,13.716666666666667,21.43377885783718,,
33,1,Valdecilla_Sardinero,36,15.799999999999999,18.776855289213152,1.7241745206845445,2.07610053283535
17,1,Sardinero_Valdecilla,37,13.743333333333334,21.40842839506427,0.42288690371461435,0.6597514817161101
34,1,Valdecilla_Sardinero,38,13.613333333333335,21.734626367227317,1.211942884609484,1.9433777246852235
35,2,Sardinero_Valdecilla,2,13.113333333333333,22.55202836393553,1.1189901201033412,1.9414626071681484
53,2,Valdecilla_Sardinero,3,12.726666666666667,23.127786791827383,0.48226894294919487,0.8807732295165789
36,2,Sardinero_Valdecilla,4,13.246666666666666,22.26327905750077,0.8154242249692283,1.4023359088197058
54,2,Valdecilla_Sardinero,5,15.795833333333334,19.29445084225366,3.787879671717069,3.8015213854520105
37,2,Sardinero_Valdecilla,6,13.072222222222223,22.495463145295187,0.24056261216234345,0.4096224254357087
55,2,Valdecilla_Sardinero,7,14.883333333333335,19.80446559252205,0.8367430244040817,1.131014451136993
38,2,Sardinero_Valdecilla,8,13.36,22.115310497445794,1.0073755782008789,1.8140473090186595
56,2,Valdecilla_Sardinero,9,19.556666666666665,16.964938184759976,9.375904400820932,5.078429906856668
39,2,Sardinero_Valdecilla,10,15.566666666666668,19.126875203132073,2.006517159435999,2.333036558536072
57,2,Valdecilla_Sardinero,11,14.637500000000001,20.09284318320823,0.3278366237195776,0.4433106482230559
40,2,Sardinero_Valdecilla,12,17.023333333333333,17.427942589000462,1.820889587231716,1.849353971891864
41,2,Sardinero_Valdecilla,14,16.727777777777778,17.645524247705765,1.294253681699454,1.3577940098966934
58,2,Valdecilla_Sardinero,15,15.403333333333336,19.11915084475074,0.7151534411889826,0.872126983820657
42,2,Sardinero_Valdecilla,16,18.563333333333333,16.167631636592336,3.1668289432104735,2.428836502199595
59,2,Valdecilla_Sardinero,17,16.29,18.294155665308185,2.17263920408132,2.3100806970411822
43,2,Sardinero_Valdecilla,18,16.975,17.927151247373242,4.419417382415923,4.667308620903715
60,2,Valdecilla_Sardinero,19,15.440000000000001,19.142676742024122,1.2939281278339996,1.5130549078714597
44,2,Sardinero_Valdecilla,20,14.690000000000001,20.26999121176272,1.8435171698564556,2.560824883418701
45,2,Sardinero_Valdecilla,22,14.443333333333333,20.42194257985939,0.9315160880104115,1.291213621054153
61,2,Valdecilla_Sardinero,23,15.910000000000002,18.55958990528511,1.206153205673126,1.3324810118593033
46,2,Sardinero_Valdecilla,24,13.913333333333332,21.16351338536709,0.6266533686532322,0.9079406335455906
62,2,Valdecilla_Sardinero,25,15.839999999999998,18.643158752374838,1.218753917372622,1.3431790465868365
47,2,Sardinero_Valdecilla,26,15.123333333333331,19.458989348928807,0.5188930525647841,0.6861902479267995
63,2,Valdecilla_Sardinero,27,15.008333333333333,19.606096287574147,0.6246109900481166,0.815958903708636
64,2,Valdecilla_Sardinero,29,19.383333333333333,16.80882837777573,8.238434654444713,4.921001960311121
48,2,Sardinero_Valdecilla,30,14.591666666666667,20.222710371407874,1.0297878242448602,1.403037136346331
65,2,Valdecilla_Sardinero,31,16.96,17.358816987470917,0.6948820843215856,0.7297315382882584
49,2,Sardinero_Valdecilla,32,17.086666666666666,17.334199514887892,1.6772331713602349,1.6304709300588858
66,2,Valdecilla_Sardinero,33,15.123333333333331,19.68668732495642,1.904183989709678,2.4537255484418234
50,2,Sardinero_Valdecilla,34,15.016666666666666,19.6725130901242,1.201311012247931,1.5715534884778297
67,2,Valdecilla_Sardinero,35,15.266666666666667,19.30953767690707,0.9386751893552475,1.125628756464362
51,2,Sardinero_Valdecilla,36,14.276666666666666,20.659629828694335,0.8902714941709255,1.336479791760683
68,2,Valdecilla_Sardinero,37,16.153333333333332,18.650226155088212,2.8175393125523156,3.241554968813834
52,2,Sardinero_Valdecilla,38,14.1,20.918096770155646,0.8569973421454964,1.3788156447802464
69,2,Valdecilla_Sardinero,39,13.946666666666667,21.22924258944649,1.3068941128577412,1.9967227596577306
88,3,Valdecilla_Sardinero,2,26.35,13.383123256902337,11.27776204158727,6.627503630720824
70,3,Sardinero_Valdecilla,3,13.313333333333333,22.382812721839038,1.734110402739367,2.8923742146421865
89,3,Valdecilla_Sardinero,4,13.723333333333334,21.589343133778158,1.3952598324326555,2.045316840956419
71,3,Sardinero_Valdecilla,5,13.146666666666667,22.486456433725483,1.108765579873001,1.832139223517523
90,3,Valdecilla_Sardinero,6,13.63,21.643388772660845,0.9119880603506942,1.3711530926755253
72,3,Sardinero_Valdecilla,7,14.419999999999998,20.668968806841303,1.807446018865048,2.8131123186184492
91,3,Valdecilla_Sardinero,8,15.391666666666666,19.297655301762042,1.74920616915852,2.3131508829263185
73,3,Sardinero_Valdecilla,9,15.190000000000001,19.404977968798935,0.8825940302439286,1.080035901427354
92,3,Valdecilla_Sardinero,10,19.677777777777777,16.964138305536178,9.39181578310093,6.363672309269897
74,3,Sardinero_Valdecilla,11,15.883333333333331,18.614218470501555,1.3503600342953808,1.53584347187972
93,3,Valdecilla_Sardinero,12,19.9875,17.209231425559015,10.83052420844114,6.20471509805417
94,3,Valdecilla_Sardinero,14,16.11,18.330400512995737,1.2118397400463305,1.3467400648097911
75,3,Sardinero_Valdecilla,15,15.896666666666667,18.586457045777344,1.302849441288849,1.4047072719205995
95,3,Valdecilla_Sardinero,16,16.143333333333334,18.26238429771343,0.9469688484844689,1.0773207588164442
76,3,Sardinero_Valdecilla,17,16.229999999999997,18.1636371955368,0.9387787575118827,1.060273153385044
96,3,Valdecilla_Sardinero,18,17.246666666666663,17.151762427677788,1.5961498815726678,1.4185070131203934
77,3,Sardinero_Valdecilla,19,15.845833333333333,18.65456245935031,1.357446881847329,1.570486001026062
97,3,Valdecilla_Sardinero,20,14.891666666666667,19.81471574654838,1.0456700846471263,1.3718085135758868
78,3,Sardinero_Valdecilla,21,13.075,22.494440832249673,0.36533850361305076,0.6285342526398731
98,3,Valdecilla_Sardinero,22,14.74333333333333,20.126032692461674,1.6238072545717972,2.1002810440713726
79,3,Sardinero_Valdecilla,23,14.903333333333332,19.838468770382555,1.3068941128577407,1.5884546047803425
99,3,Valdecilla_Sardinero,24,15.093333333333334,19.652113326077007,1.57579785787673,2.0825810083200165
80,3,Sardinero_Valdecilla,25,15.01,19.629924471841896,0.8052432344743211,1.0021189589380541
100,3,Valdecilla_Sardinero,26,15.89,18.697049814770022,1.941992104343716,1.9955787139768217
81,3,Sardinero_Valdecilla,27,14.420833333333333,20.43237747191874,0.7648983229452418,1.1366335247655306
101,3,Valdecilla_Sardinero,28,15.341666666666667,19.363098636245894,1.801259847172816,2.2672050099838255
82,3,Sardinero_Valdecilla,29,15.208333333333334,19.505691678411416,1.6886604377654122,2.0948503695565535
