,coche,sentido,viaje,media tiempo viaje (minutos),media velocidad comercial (km/h),desviación tiempo viaje,desviación velocidad comercial
0,0,Sardinero_Valdecilla,15,18.833333333333332,15.610619469026549,,
1,0,Sardinero_Valdecilla,17,19.383333333333333,15.167669819432502,,
2,0,Sardinero_Valdecilla,19,16.2,18.14814814814815,,
3,0,Sardinero_Valdecilla,23,14.733333333333333,19.95475113122172,,
4,0,Sardinero_Valdecilla,25,14.5,20.275862068965516,,
5,0,Sardinero_Valdecilla,27,14.25,20.63157894736842,,
6,0,Sardinero_Valdecilla,31,22.2,13.243243243243244,,
7,0,Sardinero_Valdecilla,33,17.683333333333334,16.625824693685203,,
8,0,Sardinero_Valdecilla,35,19.183333333333334,15.32580364900087,,
9,0,Sardinero_Valdecilla,37,16.216666666666665,18.1294964028777,,
10,0,Sardinero_Valdecilla,39,14.9,19.731543624161073,,
28,1,Valdecilla_Sardinero,2,23.125,15.73794928836466,12.398555023335044,8.271313034513001
11,1,Sardinero_Valdecilla,3,13.075000000000001,22.69826709318213,1.4356892782575565,2.587085756873438
29,1,Valdecilla_Sardinero,4,12.849999999999998,23.08735562017885,1.3487305416850597,2.6451321619739696
12,1,Sardinero_Valdecilla,5,13.625,21.686256869601237,1.0835897132525143,1.8175935017843379
13,1,Sardinero_Valdecilla,7,14.063333333333333,20.97573797921099,0.9235649528983986,1.3405793021161003
30,1,Valdecilla_Sardinero,8,15.1375,19.480336690501726,0.9485246829018601,1.2435925512025343
14,1,Sardinero_Valdecilla,9,14.469999999999999,20.37598648983488,0.8645326290352866,1.2175877291644466
31,1,Valdecilla_Sardinero,10,17.55,17.058812408371573,2.7320796582931575,2.6296888609542717
15,1,Sardinero_Valdecilla,11,15.463333333333333,19.070195326505257,0.9790443185973647,1.1357281809297306
32,1,Valdecilla_Sardinero,12,17.666666666666668,16.87431214287452,2.3153273506657195,2.3752351012583244
16,1,Sardinero_Valdecilla,13,18.016666666666666,16.50081221159497,2.0951995396885503,1.9760982273514913
33,1,Valdecilla_Sardinero,14,16.263333333333335,18.152153624694005,1.1774737553102599,1.2907243778759916
17,1,Sardinero_Valdecilla,15,16.35333333333333,18.100986540747645,1.5185610879308675,1.6582661715888083
34,1,Valdecilla_Sardinero,16,16.829166666666666,17.56143270450692,1.4249350212605525,1.4473676976585075
18,1,Sardinero_Valdecilla,17,16.99,17.901414806749727,3.909560930164237,3.257915361970681
35,1,Valdecilla_Sardinero,18,17.43,17.18638444994299,2.4727795876076164,2.826958527508566
19,1,Sardinero_Valdecilla,19,15.404166666666667,19.136393221197537,0.8976693072536139,1.1595488162233518
36,1,Valdecilla_Sardinero,20,17.026666666666664,17.615194414945925,2.785119187555333,2.683211628024261
20,1,Sardinero_Valdecilla,21,14.15,20.802501686800458,0.5549023938195499,0.8006757975704426
37,1,Valdecilla_Sardinero,22,14.695833333333333,20.0709414519892,0.9401905835166261,1.3607775211609097
21,1,Sardinero_Valdecilla,23,13.583333333333334,21.688448172612535,0.7178930076065452,1.1175104711886474
38,1,Valdecilla_Sardinero,24,15.029999999999998,19.632476129904106,1.037183686720919,1.2983164451154499
22,1,Sardinero_Valdecilla,25,13.916666666666666,21.202376197586645,0.9598418079539445,1.4835322702575164
