,Intercambiador,Coche,Viaje,Hora Llegada Teórica,Desvio medio (minutos)
38,Sardinero,3,2,2000-01-01 07:24:00,-3.296666666666667
0,Sardinero,1,2,2000-01-01 07:39:00,-2.3466666666666667
19,Sardinero,2,3,2000-01-01 07:54:00,-2.206666666666667
39,Sardinero,3,4,2000-01-01 08:09:00,-0.74
1,Sardinero,1,4,2000-01-01 08:27:00,-3.893333333333333
20,Sardinero,2,5,2000-01-01 08:42:00,-1.6933333333333334
40,Sardinero,3,6,2000-01-01 08:57:00,-2.743333333333333
2,Sardinero,1,6,2000-01-01 09:12:00,-2.78
21,Sardinero,2,7,2000-01-01 09:26:00,-0.09000000000000001
41,Sardinero,3,8,2000-01-01 09:41:00,-2.0266666666666664
3,Sardinero,1,8,2000-01-01 09:55:00,-1.0166666666666666
22,Sardinero,2,9,2000-01-01 10:10:00,-2.5799999999999996
42,Sardinero,3,10,2000-01-01 10:25:00,-0.9800000000000001
57,Sardinero,101,2,2000-01-01 10:40:00,-2.263333333333333
4,Sardinero,1,10,2000-01-01 10:55:00,-1.0333333333333334
23,Sardinero,2,11,2000-01-01 11:11:00,-1.8599999999999999
43,Sardinero,3,12,2000-01-01 11:25:00,0.036666666666666625
5,Sardinero,1,12,2000-01-01 11:57:00,-2.1433333333333335
24,Sardinero,2,13,2000-01-01 12:12:00,-3.1999999999999997
44,Sardinero,3,14,2000-01-01 12:28:00,-3.3833333333333337
6,Sardinero,1,14,2000-01-01 12:43:00,-3.5333333333333337
25,Sardinero,2,15,2000-01-01 12:58:00,-3.0900000000000003
45,Sardinero,3,16,2000-01-01 13:13:00,-3.2233333333333327
7,Sardinero,1,16,2000-01-01 13:27:00,-3.3333333333333335
26,Sardinero,2,17,2000-01-01 13:42:00,-3.793333333333334
46,Sardinero,3,18,2000-01-01 13:57:00,-1.7233333333333334
8,Sardinero,1,18,2000-01-01 14:12:00,-2.83
27,Sardinero,2,19,2000-01-01 14:29:00,-4.383333333333334
47,Sardinero,3,20,2000-01-01 14:44:00,-4.7700000000000005
9,Sardinero,1,20,2000-01-01 14:59:00,-3.8333333333333335
28,Sardinero,2,21,2000-01-01 15:14:00,-5.443333333333333
48,Sardinero,3,22,2000-01-01 15:27:00,-3.606666666666667
10,Sardinero,1,22,2000-01-01 15:42:00,-2.7933333333333334
29,Sardinero,2,23,2000-01-01 15:57:00,-3.456666666666667
49,Sardinero,3,24,2000-01-01 16:12:00,-3.663333333333333
11,Sardinero,1,24,2000-01-01 16:26:00,-2.1566666666666667
30,Sardinero,2,25,2000-01-01 16:41:00,-2.0233333333333334
50,Sardinero,3,26,2000-01-01 16:56:00,-1.9033333333333335
12,Sardinero,1,26,2000-01-01 17:10:00,0.4124999999999999
31,Sardinero,2,27,2000-01-01 17:25:00,-1.9388888888888889
51,Sardinero,3,28,2000-01-01 17:41:00,-2.2700000000000005
58,Sardinero,102,3,2000-01-01 17:56:00,-0.41666666666666663
13,Sardinero,1,28,2000-01-01 18:11:00,-1.7708333333333333
32,Sardinero,2,29,2000-01-01 18:25:00,1.596666666666667
