,Intercambiador,Coche,Viaje,Hora Llegada Teórica,Desvio medio (minutos)
38,Sardinero,3,2,2000-01-01 07:24:00,-3.3166666666666655
0,Sardinero,1,2,2000-01-01 07:39:00,-1.7766666666666666
19,Sardinero,2,3,2000-01-01 07:54:00,-2.35
39,Sardinero,3,4,2000-01-01 08:09:00,-1.5433333333333334
1,Sardinero,1,4,2000-01-01 08:27:00,-3.4200000000000004
20,Sardinero,2,5,2000-01-01 08:42:00,-5.346666666666667
40,Sardinero,3,6,2000-01-01 08:57:00,-3.9066666666666663
2,Sardinero,1,6,2000-01-01 09:12:00,-3.56
21,Sardinero,2,7,2000-01-01 09:26:00,-2.6100000000000003
41,Sardinero,3,8,2000-01-01 09:41:00,-3.4466666666666668
3,Sardinero,1,8,2000-01-01 09:55:00,-0.33
22,Sardinero,2,9,2000-01-01 10:10:00,-1.1833333333333333
42,Sardinero,3,10,2000-01-01 10:25:00,-1.0733333333333333
57,Sardinero,101,2,2000-01-01 10:40:00,-0.2966666666666667
4,Sardinero,1,10,2000-01-01 10:55:00,-0.6333333333333333
23,Sardinero,2,11,2000-01-01 11:11:00,-0.6499999999999999
43,Sardinero,3,12,2000-01-01 11:25:00,-0.5700000000000001
5,Sardinero,1,12,2000-01-01 11:57:00,-0.6366666666666665
24,Sardinero,2,13,2000-01-01 12:12:00,-2.023333333333333
44,Sardinero,3,14,2000-01-01 12:28:00,-1.5433333333333334
6,Sardinero,1,14,2000-01-01 12:43:00,0.2533333333333334
25,Sardinero,2,15,2000-01-01 12:58:00,-3.1399999999999997
45,Sardinero,3,16,2000-01-01 13:13:00,-3.236666666666667
7,Sardinero,1,16,2000-01-01 13:27:00,-1.7333333333333332
26,Sardinero,2,17,2000-01-01 13:42:00,-1.9533333333333336
46,Sardinero,3,18,2000-01-01 13:57:00,-2.6933333333333334
8,Sardinero,1,18,2000-01-01 14:12:00,-2.3866666666666667
27,Sardinero,2,19,2000-01-01 14:29:00,-4.916666666666666
47,Sardinero,3,20,2000-01-01 14:44:00,-4.85
9,Sardinero,1,20,2000-01-01 14:59:00,-3.6733333333333333
28,Sardinero,2,21,2000-01-01 15:14:00,-6.343333333333334
48,Sardinero,3,22,2000-01-01 15:27:00,-1.6800000000000002
10,Sardinero,1,22,2000-01-01 15:42:00,-3.6733333333333333
29,Sardinero,2,23,2000-01-01 15:57:00,-4.026666666666666
49,Sardinero,3,24,2000-01-01 16:12:00,-3.393333333333333
11,Sardinero,1,24,2000-01-01 16:26:00,-1.7733333333333334
30,Sardinero,2,25,2000-01-01 16:41:00,-2.5433333333333334
50,Sardinero,3,26,2000-01-01 16:56:00,0.07999999999999993
12,Sardinero,1,26,2000-01-01 17:10:00,-0.3733333333333334
31,Sardinero,2,27,2000-01-01 17:25:00,-0.8791666666666667
51,Sardinero,3,28,2000-01-01 17:41:00,-0.9916666666666667
58,Sardinero,102,3,2000-01-01 17:56:00,-2.8400000000000003
13,Sardinero,1,28,2000-01-01 18:11:00,-0.7233333333333333
32,Sardinero,2,29,2000-01-01 18:25:00,-1.0500000000000003
52,Sardinero,3,30,2000-01-01 18:41:00,-1.7833333333333337
