,Intercambiador,Coche,Viaje,Hora Llegada Teórica,Desvio medio (minutos)
38,Sardinero,3,2,2000-01-01 07:24:00,-2.6766666666666667
0,Sardinero,1,2,2000-01-01 07:39:00,-2.0033333333333334
19,Sardinero,2,3,2000-01-01 07:54:00,-2.663333333333333
39,Sardinero,3,4,2000-01-01 08:09:00,-3.0100000000000002
1,Sardinero,1,4,2000-01-01 08:27:00,-3.96
20,Sardinero,2,5,2000-01-01 08:42:00,-3.79
40,Sardinero,3,6,2000-01-01 08:57:00,-5.196666666666667
2,Sardinero,1,6,2000-01-01 09:12:00,-2.6366666666666667
21,Sardinero,2,7,2000-01-01 09:26:00,-2.2
41,Sardinero,3,8,2000-01-01 09:41:00,-2.88
3,Sardinero,1,8,2000-01-01 09:55:00,-0.7916666666666666
22,Sardinero,2,9,2000-01-01 10:10:00,-1.4111111111111112
42,Sardinero,3,10,2000-01-01 10:25:00,-0.6
57,Sardinero,101,2,2000-01-01 10:40:00,-1.7633333333333332
4,Sardinero,1,10,2000-01-01 10:55:00,2.4466666666666663
23,Sardinero,2,11,2000-01-01 11:11:00,-0.975
43,Sardinero,3,12,2000-01-01 11:25:00,0.16666666666666669
5,Sardinero,1,12,2000-01-01 11:57:00,-0.5933333333333334
24,Sardinero,2,13,2000-01-01 12:12:00,-1.4966666666666668
44,Sardinero,3,14,2000-01-01 12:28:00,-1.5966666666666667
6,Sardinero,1,14,2000-01-01 12:43:00,-2.2466666666666666
25,Sardinero,2,15,2000-01-01 12:58:00,-1.51
45,Sardinero,3,16,2000-01-01 13:13:00,-1.92
7,Sardinero,1,16,2000-01-01 13:27:00,-1.1866666666666668
26,Sardinero,2,17,2000-01-01 13:42:00,-2.0433333333333334
46,Sardinero,3,18,2000-01-01 13:57:00,-0.86
8,Sardinero,1,18,2000-01-01 14:12:00,0.22333333333333324
27,Sardinero,2,19,2000-01-01 14:29:00,-3.6966666666666663
47,Sardinero,3,20,2000-01-01 14:44:00,-5.423333333333334
9,Sardinero,1,20,2000-01-01 14:59:00,-3.66
28,Sardinero,2,21,2000-01-01 15:14:00,-5.663333333333333
48,Sardinero,3,22,2000-01-01 15:27:00,-3.3099999999999996
10,Sardinero,1,22,2000-01-01 15:42:00,-3.6433333333333335
29,Sardinero,2,23,2000-01-01 15:57:00,-3.6533333333333333
49,Sardinero,3,24,2000-01-01 16:12:00,-3.656666666666667
11,Sardinero,1,24,2000-01-01 16:26:00,-1.8866666666666667
30,Sardinero,2,25,2000-01-01 16:41:00,-1.7833333333333332
50,Sardinero,3,26,2000-01-01 16:56:00,-1.3966666666666667
12,Sardinero,1,26,2000-01-01 17:10:00,0.8800000000000001
31,Sardinero,2,27,2000-01-01 17:25:00,0.21666666666666665
51,Sardinero,3,28,2000-01-01 17:41:00,-1.0433333333333334
58,Sardinero,102,3,2000-01-01 17:56:00,-1.2916666666666667
13,Sardinero,1,28,2000-01-01 18:11:00,-0.6
32,Sardinero,2,29,2000-01-01 18:25:00,-0.8866666666666667
52,Sardinero,3,30,2000-01-01 18:41:00,-1.5133333333333336
14,Sardinero,1,30,2000-01-01 19:12:00,-0.51
33,Sardinero,2,31,2000-01-01 19:27:00,-1.3399999999999999
53,Sardinero,3,32,2000-01-01 19:42:00,-1.6066666666666667
15,Sardinero,1,32,2000-01-01 19:57:00,-1.6866666666666668
34,Sardinero,2,33,2000-01-01 20:12:00,-1.4033333333333333
54,Sardinero,3,34,2000-01-01 20:27:00,-1.7366666666666668
16,Sardinero,1,34,2000-01-01 20:42:00,-0.7166666666666666
35,Sardinero,2,35,2000-01-01 20:57:00,-0.8466666666666667
55,Sardinero,3,36,2000-01-01 21:12:00,-2.2933333333333334
17,Sardinero,1,36,2000-01-01 21:25:00,0.29000000000000004
36,Sardinero,2,37,2000-01-01 21:40:00,-0.15333333333333332
56,Sardinero,3,38,2000-01-01 21:55:00,-0.4666666666666666
18,Sardinero,1,38,2000-01-01 22:10:00,-1.4933333333333332
37,Sardinero,2,39,2000-01-01 22:24:00,-1.4100000000000001
77,Valdecilla,2,2,2000-01-01 07:30:00,-0.9
96,Valdecilla,3,3,2000-01-01 07:45:00,0.020000000000000018
59,Valdecilla,1,3,2000-01-01 08:00:00,-0.45999999999999996
78,Valdecilla,2,4,2000-01-01 08:17:00,-2.983333333333333
97,Valdecilla,3,5,2000-01-01 08:32:00,-3.12
60,Valdecilla,1,5,2000-01-01 08:47:00,-0.6666666666666667
79,Valdecilla,2,6,2000-01-01 09:02:00,-0.3933333333333332
98,Valdecilla,3,7,2000-01-01 09:18:00,-3.69
61,Valdecilla,1,7,2000-01-01 09:33:00,-1.8566666666666667
80,Valdecilla,2,8,2000-01-01 09:48:00,-2.4800000000000004
99,Valdecilla,3,9,2000-01-01 10:03:00,0.4866666666666667
62,Valdecilla,1,9,2000-01-01 10:33:00,-0.46333333333333326
81,Valdecilla,2,10,2000-01-01 10:48:00,-0.7900000000000001
100,Valdecilla,3,11,2000-01-01 11:03:00,0.17333333333333334
63,Valdecilla,1,11,2000-01-01 11:33:00,0.8799999999999999
82,Valdecilla,2,12,2000-01-01 11:48:00,0.38333333333333325
101,Valdecilla,3,13,2000-01-01 12:02:00,2.123333333333333
64,Valdecilla,1,13,2000-01-01 12:19:00,1.31
83,Valdecilla,2,14,2000-01-01 12:34:00,0.5933333333333334
102,Valdecilla,3,15,2000-01-01 12:49:00,0.7333333333333334
65,Valdecilla,1,15,2000-01-01 13:04:00,0.2533333333333334
84,Valdecilla,2,16,2000-01-01 13:21:00,-2.5633333333333335
103,Valdecilla,3,17,2000-01-01 13:35:00,-0.4133333333333334
66,Valdecilla,1,17,2000-01-01 13:51:00,-1.7799999999999998
85,Valdecilla,2,18,2000-01-01 14:06:00,-2.493333333333333
104,Valdecilla,3,19,2000-01-01 14:20:00,-2.646666666666667
67,Valdecilla,1,19,2000-01-01 14:35:00,-2.5300000000000002
86,Valdecilla,2,20,2000-01-01 14:50:00,-4.086666666666667
105,Valdecilla,3,21,2000-01-01 15:05:00,-4.156666666666666
68,Valdecilla,1,21,2000-01-01 15:17:00,-1.0866666666666667
87,Valdecilla,2,22,2000-01-01 15:32:00,-1.65
106,Valdecilla,3,23,2000-01-01 15:47:00,-2.2233333333333336
69,Valdecilla,1,23,2000-01-01 16:02:00,-0.6233333333333333
88,Valdecilla,2,24,2000-01-01 16:18:00,-2.09
107,Valdecilla,3,25,2000-01-01 16:32:00,-1.153333333333333
70,Valdecilla,1,25,2000-01-01 16:48:00,-0.22000000000000003
89,Valdecilla,2,26,2000-01-01 17:03:00,-1.01
108,Valdecilla,3,27,2000-01-01 17:18:00,-2.023333333333334
71,Valdecilla,1,27,2000-01-01 17:48:00,-1.6866666666666668
90,Valdecilla,2,28,2000-01-01 18:04:00,-1.9833333333333336
109,Valdecilla,3,29,2000-01-01 18:19:00,-0.38333333333333336
72,Valdecilla,1,29,2000-01-01 18:49:00,-0.03333333333333357
91,Valdecilla,2,30,2000-01-01 19:04:00,-1.1533333333333333
110,Valdecilla,3,31,2000-01-01 19:19:00,1.9100000000000001
73,Valdecilla,1,31,2000-01-01 19:34:00,-0.2833333333333333
92,Valdecilla,2,32,2000-01-01 19:49:00,-0.7000000000000001
111,Valdecilla,3,33,2000-01-01 20:04:00,1.4233333333333333
74,Valdecilla,1,33,2000-01-01 20:19:00,1.9166666666666667
93,Valdecilla,2,34,2000-01-01 20:34:00,0.013333333333333308
112,Valdecilla,3,35,2000-01-01 20:49:00,-0.12666666666666665
75,Valdecilla,1,35,2000-01-01 21:04:00,-0.1166666666666667
94,Valdecilla,2,36,2000-01-01 21:16:00,2.45
113,Valdecilla,3,37,2000-01-01 21:31:00,1.786666666666667
76,Valdecilla,1,37,2000-01-01 21:46:00,1.8933333333333333
