,Intercambiador,Coche,Viaje,Hora Llegada Teórica,Desvio medio (minutos)
38,Sardinero,3,2,2000-01-01 07:24:00,-2.73
0,Sardinero,1,2,2000-01-01 07:39:00,-3.0799999999999996
19,Sardinero,2,3,2000-01-01 07:54:00,-2.1066666666666665
39,Sardinero,3,4,2000-01-01 08:09:00,1.3866666666666665
1,Sardinero,1,4,2000-01-01 08:27:00,-4.826666666666666
20,Sardinero,2,5,2000-01-01 08:42:00,-5.183333333333333
40,Sardinero,3,6,2000-01-01 08:57:00,-4.466666666666667
2,Sardinero,1,6,2000-01-01 09:12:00,-3.443333333333334
21,Sardinero,2,7,2000-01-01 09:26:00,-2.5166666666666666
41,Sardinero,3,8,2000-01-01 09:41:00,-2.906666666666667
3,Sardinero,1,8,2000-01-01 09:55:00,-0.25
22,Sardinero,2,9,2000-01-01 10:10:00,1.3222222222222222
42,Sardinero,3,10,2000-01-01 10:25:00,-0.005555555555555573
57,Sardinero,101,2,2000-01-01 10:40:00,-1.0777777777777777
4,Sardinero,1,10,2000-01-01 10:55:00,2.175
23,Sardinero,2,11,2000-01-01 11:11:00,2.904166666666667
43,Sardinero,3,12,2000-01-01 11:25:00,0.4
5,Sardinero,1,12,2000-01-01 11:57:00,1.3266666666666667
24,Sardinero,2,13,2000-01-01 12:12:00,-0.51
44,Sardinero,3,14,2000-01-01 12:28:00,-2.083333333333333
6,Sardinero,1,14,2000-01-01 12:43:00,-1.4400000000000002
25,Sardinero,2,15,2000-01-01 12:58:00,0.033333333333333305
45,Sardinero,3,16,2000-01-01 13:13:00,1.5833333333333333
7,Sardinero,1,16,2000-01-01 13:27:00,1.4966666666666668
26,Sardinero,2,17,2000-01-01 13:42:00,-0.2833333333333333
46,Sardinero,3,18,2000-01-01 13:57:00,-0.15666666666666673
8,Sardinero,1,18,2000-01-01 14:12:00,-1.9066666666666667
27,Sardinero,2,19,2000-01-01 14:29:00,-3.0133333333333328
47,Sardinero,3,20,2000-01-01 14:44:00,-3.62
9,Sardinero,1,20,2000-01-01 14:59:00,-2.443333333333333
28,Sardinero,2,21,2000-01-01 15:14:00,-3.7166666666666663
48,Sardinero,3,22,2000-01-01 15:27:00,-3.5533333333333332
10,Sardinero,1,22,2000-01-01 15:42:00,-3.54
29,Sardinero,2,23,2000-01-01 15:57:00,-3.2133333333333334
