,Intercambiador,Coche,Viaje,Hora Llegada Teórica,Desvio medio (minutos)
38,Sardinero,3,2,2000-01-01 07:24:00,-1.9500000000000002
0,Sardinero,1,2,2000-01-01 07:39:00,-2.529166666666667
19,Sardinero,2,3,2000-01-01 07:54:00,-1.0416666666666665
39,Sardinero,3,4,2000-01-01 08:09:00,-1.9791666666666665
1,Sardinero,1,4,2000-01-01 08:27:00,-3.770833333333333
20,Sardinero,2,5,2000-01-01 08:42:00,-4.308333333333334
40,Sardinero,3,6,2000-01-01 08:57:00,-1.7416666666666667
2,Sardinero,1,6,2000-01-01 09:12:00,-2.25
21,Sardinero,2,7,2000-01-01 09:26:00,0.5708333333333333
41,Sardinero,3,8,2000-01-01 09:41:00,-2.0041666666666664
3,Sardinero,1,8,2000-01-01 09:55:00,-0.5944444444444444
22,Sardinero,2,9,2000-01-01 10:10:00,0.0
42,Sardinero,3,10,2000-01-01 10:25:00,-0.022222222222222292
57,Sardinero,101,2,2000-01-01 10:40:00,-0.75
4,Sardinero,1,10,2000-01-01 10:55:00,1.9125
23,Sardinero,2,11,2000-01-01 11:11:00,1.7
43,Sardinero,3,12,2000-01-01 11:25:00,1.277777777777778
5,Sardinero,1,12,2000-01-01 11:57:00,-1.0625
24,Sardinero,2,13,2000-01-01 12:12:00,0.012500000000000011
44,Sardinero,3,14,2000-01-01 12:28:00,-2.3
6,Sardinero,1,14,2000-01-01 12:43:00,-1.7583333333333333
25,Sardinero,2,15,2000-01-01 12:58:00,-1.5458333333333334
45,Sardinero,3,16,2000-01-01 13:13:00,-1.6708333333333334
7,Sardinero,1,16,2000-01-01 13:27:00,-1.0
26,Sardinero,2,17,2000-01-01 13:42:00,-0.6791666666666667
46,Sardinero,3,18,2000-01-01 13:57:00,-0.16250000000000003
8,Sardinero,1,18,2000-01-01 14:12:00,-1.2958333333333334
27,Sardinero,2,19,2000-01-01 14:29:00,-3.0708333333333333
47,Sardinero,3,20,2000-01-01 14:44:00,-3.6083333333333334
9,Sardinero,1,20,2000-01-01 14:59:00,-3.370833333333333
28,Sardinero,2,21,2000-01-01 15:14:00,-2.495833333333333
48,Sardinero,3,22,2000-01-01 15:27:00,-1.3125
10,Sardinero,1,22,2000-01-01 15:42:00,-1.1791666666666667
29,Sardinero,2,23,2000-01-01 15:57:00,-1.9666666666666668
49,Sardinero,3,24,2000-01-01 16:12:00,-0.6041666666666666
11,Sardinero,1,24,2000-01-01 16:26:00,0.9833333333333334
30,Sardinero,2,25,2000-01-01 16:41:00,0.6458333333333333
50,Sardinero,3,26,2000-01-01 16:56:00,0.4833333333333334
12,Sardinero,1,26,2000-01-01 17:10:00,0.30000000000000004
31,Sardinero,2,27,2000-01-01 17:25:00,1.2791666666666668
51,Sardinero,3,28,2000-01-01 17:41:00,0.6291666666666664
58,Sardinero,102,3,2000-01-01 17:56:00,-0.49583333333333324
13,Sardinero,1,28,2000-01-01 18:11:00,-1.5
32,Sardinero,2,29,2000-01-01 18:25:00,0.9333333333333335
52,Sardinero,3,30,2000-01-01 18:41:00,-1.9291666666666667
14,Sardinero,1,30,2000-01-01 19:12:00,-1.6041666666666667
33,Sardinero,2,31,2000-01-01 19:27:00,-2.4291666666666667
53,Sardinero,3,32,2000-01-01 19:42:00,-1.2625000000000002
15,Sardinero,1,32,2000-01-01 19:57:00,-1.4583333333333335
34,Sardinero,2,33,2000-01-01 20:12:00,-1.0083333333333333
54,Sardinero,3,34,2000-01-01 20:27:00,-2.879166666666667
16,Sardinero,1,34,2000-01-01 20:42:00,-2.4333333333333336
35,Sardinero,2,35,2000-01-01 20:57:00,-2.3375
55,Sardinero,3,36,2000-01-01 21:12:00,-2.0708333333333333
17,Sardinero,1,36,2000-01-01 21:25:00,-1.0916666666666668
36,Sardinero,2,37,2000-01-01 21:40:00,-1.2666666666666666
56,Sardinero,3,38,2000-01-01 21:55:00,-1.5625
18,Sardinero,1,38,2000-01-01 22:10:00,-1.8625
37,Sardinero,2,39,2000-01-01 22:24:00,-1.5041666666666667
77,Valdecilla,2,2,2000-01-01 07:30:00,-0.19583333333333333
96,Valdecilla,3,3,2000-01-01 07:45:00,-0.5041666666666667
59,Valdecilla,1,3,2000-01-01 08:00:00,0.024999999999999994
78,Valdecilla,2,4,2000-01-01 08:17:00,-1.575
97,Valdecilla,3,5,2000-01-01 08:32:00,-0.9875
60,Valdecilla,1,5,2000-01-01 08:47:00,-0.6375
79,Valdecilla,2,6,2000-01-01 09:02:00,-1.2916666666666665
98,Valdecilla,3,7,2000-01-01 09:18:00,-2.3791666666666664
61,Valdecilla,1,7,2000-01-01 09:33:00,-1.5291666666666668
80,Valdecilla,2,8,2000-01-01 09:48:00,0.016666666666666663
