,Intercambiador,Coche,Viaje,Hora Llegada Teórica,Desvio medio (minutos)
38,Sardinero,3,2,2000-01-01 07:24:00,-4.6000000000000005
0,Sardinero,1,2,2000-01-01 07:39:00,-1.538888888888889
19,Sardinero,2,3,2000-01-01 07:54:00,-1.3500000000000003
39,Sardinero,3,4,2000-01-01 08:09:00,-1.8166666666666664
1,Sardinero,1,4,2000-01-01 08:27:00,-1.5944444444444443
20,Sardinero,2,5,2000-01-01 08:42:00,-2.711111111111111
40,Sardinero,3,6,2000-01-01 08:57:00,-3.8888888888888893
2,Sardinero,1,6,2000-01-01 09:12:00,-3.988888888888889
21,Sardinero,2,7,2000-01-01 09:26:00,-0.17777777777777778
41,Sardinero,3,8,2000-01-01 09:41:00,-0.7722222222222221
3,Sardinero,1,8,2000-01-01 09:55:00,-1.6611111111111112
22,Sardinero,2,9,2000-01-01 10:10:00,0.7416666666666667
42,Sardinero,3,10,2000-01-01 10:25:00,-0.9833333333333334
57,Sardinero,101,2,2000-01-01 10:40:00,-1.8833333333333335
4,Sardinero,1,10,2000-01-01 10:55:00,-1.2722222222222221
23,Sardinero,2,11,2000-01-01 11:11:00,-1.6333333333333335
43,Sardinero,3,12,2000-01-01 11:25:00,-2.5611111111111113
5,Sardinero,1,12,2000-01-01 11:57:00,-1.6944444444444444
24,Sardinero,2,13,2000-01-01 12:12:00,-2.277777777777778
44,Sardinero,3,14,2000-01-01 12:28:00,-4.533333333333333
6,Sardinero,1,14,2000-01-01 12:43:00,-5.694444444444444
25,Sardinero,2,15,2000-01-01 12:58:00,-1.1666666666666667
45,Sardinero,3,16,2000-01-01 13:13:00,-3.516666666666667
7,Sardinero,1,16,2000-01-01 13:27:00,-2.2055555555555553
26,Sardinero,2,17,2000-01-01 13:42:00,-0.8166666666666668
46,Sardinero,3,18,2000-01-01 13:57:00,-3.6055555555555556
8,Sardinero,1,18,2000-01-01 14:12:00,-1.383333333333333
27,Sardinero,2,19,2000-01-01 14:29:00,-3.6444444444444444
47,Sardinero,3,20,2000-01-01 14:44:00,-5.061111111111111
9,Sardinero,1,20,2000-01-01 14:59:00,-4.916666666666667
28,Sardinero,2,21,2000-01-01 15:14:00,-3.266666666666667
48,Sardinero,3,22,2000-01-01 15:27:00,-3.1944444444444446
10,Sardinero,1,22,2000-01-01 15:42:00,-4.844444444444444
29,Sardinero,2,23,2000-01-01 15:57:00,-3.977777777777778
49,Sardinero,3,24,2000-01-01 16:12:00,-3.772222222222222
11,Sardinero,1,24,2000-01-01 16:26:00,-4.7444444444444445
30,Sardinero,2,25,2000-01-01 16:41:00,-3.472222222222222
50,Sardinero,3,26,2000-01-01 16:56:00,-3.9555555555555557
12,Sardinero,1,26,2000-01-01 17:10:00,-2.577777777777778
31,Sardinero,2,27,2000-01-01 17:25:00,-0.8222222222222223
51,Sardinero,3,28,2000-01-01 17:41:00,-2.033333333333333
58,Sardinero,102,3,2000-01-01 17:56:00,-1.1055555555555554
13,Sardinero,1,28,2000-01-01 18:11:00,-3.616666666666667
32,Sardinero,2,29,2000-01-01 18:25:00,-0.29444444444444445
52,Sardinero,3,30,2000-01-01 18:41:00,-3.3388888888888886
14,Sardinero,1,30,2000-01-01 19:12:00,-3.211111111111111
33,Sardinero,2,31,2000-01-01 19:27:00,-4.1499999999999995
53,Sardinero,3,32,2000-01-01 19:42:00,-1.3944444444444446
15,Sardinero,1,32,2000-01-01 19:57:00,-3.1833333333333336
34,Sardinero,2,33,2000-01-01 20:12:00,-3.0500000000000003
54,Sardinero,3,34,2000-01-01 20:27:00,-4.377777777777777
16,Sardinero,1,34,2000-01-01 20:42:00,-5.666666666666667
35,Sardinero,2,35,2000-01-01 20:57:00,-2.8666666666666667
55,Sardinero,3,36,2000-01-01 21:12:00,-3.788888888888889
17,Sardinero,1,36,2000-01-01 21:25:00,-2.8777777777777778
36,Sardinero,2,37,2000-01-01 21:40:00,-2.611111111111111
56,Sardinero,3,38,2000-01-01 21:55:00,-3.594444444444445
18,Sardinero,1,38,2000-01-01 22:10:00,-4.305555555555556
37,Sardinero,2,39,2000-01-01 22:24:00,-2.888888888888889
77,Valdecilla,2,2,2000-01-01 07:30:00,-0.07777777777777777
96,Valdecilla,3,3,2000-01-01 07:45:00,-0.13888888888888892
59,Valdecilla,1,3,2000-01-01 08:00:00,0.16666666666666666
78,Valdecilla,2,4,2000-01-01 08:17:00,0.08888888888888886
97,Valdecilla,3,5,2000-01-01 08:32:00,-0.33888888888888896
60,Valdecilla,1,5,2000-01-01 08:47:00,-0.06111111111111111
79,Valdecilla,2,6,2000-01-01 09:02:00,-0.5499999999999999
98,Valdecilla,3,7,2000-01-01 09:18:00,-1.6666666666666667
61,Valdecilla,1,7,2000-01-01 09:33:00,-1.2333333333333334
80,Valdecilla,2,8,2000-01-01 09:48:00,-0.2555555555555556
99,Valdecilla,3,9,2000-01-01 10:03:00,-1.488888888888889
62,Valdecilla,1,9,2000-01-01 10:33:00,-1.0166666666666668
81,Valdecilla,2,10,2000-01-01 10:48:00,0.9722222222222222
100,Valdecilla,3,11,2000-01-01 11:03:00,-0.5055555555555555
