,Intercambiador,Coche,Viaje,Hora Llegada Teórica,Desvio medio (minutos)
38,Sardinero,3,2,2000-01-01 07:24:00,-3.6699999999999995
0,Sardinero,1,2,2000-01-01 07:39:00,-2.716666666666667
19,Sardinero,2,3,2000-01-01 07:54:00,-2.61
39,Sardinero,3,4,2000-01-01 08:09:00,-1.3266666666666669
1,Sardinero,1,4,2000-01-01 08:27:00,-4.956666666666666
20,Sardinero,2,5,2000-01-01 08:42:00,-3.3
40,Sardinero,3,6,2000-01-01 08:57:00,-4.343333333333334
2,Sardinero,1,6,2000-01-01 09:12:00,-4.906666666666666
21,Sardinero,2,7,2000-01-01 09:26:00,-2.46
41,Sardinero,3,8,2000-01-01 09:41:00,-1.9600000000000002
3,Sardinero,1,8,2000-01-01 09:55:00,-1.9166666666666667
22,Sardinero,2,9,2000-01-01 10:10:00,-0.8125
42,Sardinero,3,10,2000-01-01 10:25:00,-2.1
57,Sardinero,101,2,2000-01-01 10:40:00,-0.41999999999999993
4,Sardinero,1,10,2000-01-01 10:55:00,-0.5066666666666667
23,Sardinero,2,11,2000-01-01 11:11:00,-2.2933333333333334
43,Sardinero,3,12,2000-01-01 11:25:00,-0.7208333333333334
5,Sardinero,1,12,2000-01-01 11:57:00,-2.996666666666667
24,Sardinero,2,13,2000-01-01 12:12:00,-1.8233333333333335
44,Sardinero,3,14,2000-01-01 12:28:00,-3.206666666666666
6,Sardinero,1,14,2000-01-01 12:43:00,-1.1133333333333335
25,Sardinero,2,15,2000-01-01 12:58:00,-3.003333333333333
45,Sardinero,3,16,2000-01-01 13:13:00,-3.2700000000000005
7,Sardinero,1,16,2000-01-01 13:27:00,-2.8699999999999997
26,Sardinero,2,17,2000-01-01 13:42:00,-1.49
46,Sardinero,3,18,2000-01-01 13:57:00,-1.1566666666666667
8,Sardinero,1,18,2000-01-01 14:12:00,-2.373333333333333
27,Sardinero,2,19,2000-01-01 14:29:00,-4.623333333333334
47,Sardinero,3,20,2000-01-01 14:44:00,-5.630000000000001
9,Sardinero,1,20,2000-01-01 14:59:00,-4.683333333333334
28,Sardinero,2,21,2000-01-01 15:14:00,-5.083333333333333
48,Sardinero,3,22,2000-01-01 15:27:00,-3.17
10,Sardinero,1,22,2000-01-01 15:42:00,-3.2299999999999995
29,Sardinero,2,23,2000-01-01 15:57:00,-2.5766666666666667
49,Sardinero,3,24,2000-01-01 16:12:00,-3.1533333333333333
11,Sardinero,1,24,2000-01-01 16:26:00,-1.1733333333333333
30,Sardinero,2,25,2000-01-01 16:41:00,-1.6366666666666667
50,Sardinero,3,26,2000-01-01 16:56:00,-1.0066666666666666
12,Sardinero,1,26,2000-01-01 17:10:00,-0.9666666666666666
31,Sardinero,2,27,2000-01-01 17:25:00,-1.261111111111111
51,Sardinero,3,28,2000-01-01 17:41:00,-2.583333333333333
58,Sardinero,102,3,2000-01-01 17:56:00,-0.8300000000000001
13,Sardinero,1,28,2000-01-01 18:11:00,-1.603333333333333
32,Sardinero,2,29,2000-01-01 18:25:00,-0.3625
52,Sardinero,3,30,2000-01-01 18:41:00,-1.4300000000000002
14,Sardinero,1,30,2000-01-01 19:12:00,-2.3233333333333333
33,Sardinero,2,31,2000-01-01 19:27:00,-1.2266666666666666
53,Sardinero,3,32,2000-01-01 19:42:00,-1.8333333333333335
15,Sardinero,1,32,2000-01-01 19:57:00,-2.08
34,Sardinero,2,33,2000-01-01 20:12:00,-2.87
54,Sardinero,3,34,2000-01-01 20:27:00,-2.0233333333333334
16,Sardinero,1,34,2000-01-01 20:42:00,-1.5133333333333334
35,Sardinero,2,35,2000-01-01 20:57:00,-1.4933333333333334
55,Sardinero,3,36,2000-01-01 21:12:00,-2.263333333333333
17,Sardinero,1,36,2000-01-01 21:25:00,-0.4133333333333333
36,Sardinero,2,37,2000-01-01 21:40:00,-0.27000000000000013
56,Sardinero,3,38,2000-01-01 21:55:00,-1.8833333333333335
18,Sardinero,1,38,2000-01-01 22:10:00,-2.47
37,Sardinero,2,39,2000-01-01 22:24:00,-1.1066666666666667
77,Valdecilla,2,2,2000-01-01 07:30:00,-0.7033333333333334
96,Valdecilla,3,3,2000-01-01 07:45:00,-0.3
59,Valdecilla,1,3,2000-01-01 08:00:00,-1.08
78,Valdecilla,2,4,2000-01-01 08:17:00,-2.6700000000000004
97,Valdecilla,3,5,2000-01-01 08:32:00,-2.2666666666666666
60,Valdecilla,1,5,2000-01-01 08:47:00,-1.3366666666666667
79,Valdecilla,2,6,2000-01-01 09:02:00,-1.7866666666666666
98,Valdecilla,3,7,2000-01-01 09:18:00,-2.033333333333333
61,Valdecilla,1,7,2000-01-01 09:33:00,-2.6900000000000004
80,Valdecilla,2,8,2000-01-01 09:48:00,-2.72
99,Valdecilla,3,9,2000-01-01 10:03:00,-0.7733333333333333
115,Valdecilla,101,1,2000-01-01 10:16:00,0.19666666666666663
62,Valdecilla,1,9,2000-01-01 10:33:00,-0.6166666666666668
81,Valdecilla,2,10,2000-01-01 10:48:00,0.3833333333333334
100,Valdecilla,3,11,2000-01-01 11:03:00,0.18
116,Valdecilla,101,3,2000-01-01 11:17:00,1.7399999999999998
63,Valdecilla,1,11,2000-01-01 11:33:00,0.08000000000000004
82,Valdecilla,2,12,2000-01-01 11:48:00,1.4866666666666668
101,Valdecilla,3,13,2000-01-01 12:02:00,1.1199999999999999
64,Valdecilla,1,13,2000-01-01 12:19:00,0.7166666666666668
83,Valdecilla,2,14,2000-01-01 12:34:00,-0.016666666666666698
102,Valdecilla,3,15,2000-01-01 12:49:00,-0.62
65,Valdecilla,1,15,2000-01-01 13:04:00,-0.17333333333333328
84,Valdecilla,2,16,2000-01-01 13:21:00,-0.043333333333333265
103,Valdecilla,3,17,2000-01-01 13:35:00,-1.896666666666667
66,Valdecilla,1,17,2000-01-01 13:51:00,-2.85
85,Valdecilla,2,18,2000-01-01 14:06:00,-2.1133333333333333
104,Valdecilla,3,19,2000-01-01 14:20:00,-2.796666666666667
67,Valdecilla,1,19,2000-01-01 14:35:00,-1.29
86,Valdecilla,2,20,2000-01-01 14:50:00,-3.8633333333333333
105,Valdecilla,3,21,2000-01-01 15:05:00,-4.556666666666667
68,Valdecilla,1,21,2000-01-01 15:17:00,-1.42
87,Valdecilla,2,22,2000-01-01 15:32:00,-0.89
106,Valdecilla,3,23,2000-01-01 15:47:00,-0.23666666666666666
69,Valdecilla,1,23,2000-01-01 16:02:00,-1.6433333333333333
88,Valdecilla,2,24,2000-01-01 16:18:00,-2.33
107,Valdecilla,3,25,2000-01-01 16:32:00,0.2566666666666667
70,Valdecilla,1,25,2000-01-01 16:48:00,-1.1366666666666667
89,Valdecilla,2,26,2000-01-01 17:03:00,0.006666666666666677
108,Valdecilla,3,27,2000-01-01 17:18:00,-1.2033333333333334
117,Valdecilla,102,2,2000-01-01 17:33:00,-1.0100000000000002
71,Valdecilla,1,27,2000-01-01 17:48:00,-0.3066666666666667
90,Valdecilla,2,28,2000-01-01 18:04:00,-2.0433333333333334
109,Valdecilla,3,29,2000-01-01 18:19:00,-1.5766666666666667
118,Valdecilla,102,4,2000-01-01 18:34:00,-1.48
72,Valdecilla,1,29,2000-01-01 18:49:00,-0.4033333333333333
91,Valdecilla,2,30,2000-01-01 19:04:00,-0.9933333333333334
110,Valdecilla,3,31,2000-01-01 19:19:00,-1.1266666666666667
73,Valdecilla,1,31,2000-01-01 19:34:00,0.31000000000000016
92,Valdecilla,2,32,2000-01-01 19:49:00,1.23
111,Valdecilla,3,33,2000-01-01 20:04:00,0.56
74,Valdecilla,1,33,2000-01-01 20:19:00,-0.7866666666666667
93,Valdecilla,2,34,2000-01-01 20:34:00,-0.6099999999999999
112,Valdecilla,3,35,2000-01-01 20:49:00,-1.846666666666667
75,Valdecilla,1,35,2000-01-01 21:04:00,-2.92
94,Valdecilla,2,36,2000-01-01 21:16:00,0.35000000000000003
113,Valdecilla,3,37,2000-01-01 21:31:00,-1.1766666666666665
76,Valdecilla,1,37,2000-01-01 21:46:00,-1.09
95,Valdecilla,2,38,2000-01-01 22:01:00,0.34
114,Valdecilla,3,39,2000-01-01 22:14:00,0.7666666666666666
