,Intercambiador,Coche,Viaje,Hora Llegada Teórica,Desvio medio (minutos)
38,Sardinero,3,2,2000-01-01 07:24:00,-4.333333333333333
0,Sardinero,1,2,2000-01-01 07:39:00,-1.6166666666666665
19,Sardinero,2,3,2000-01-01 07:54:00,-1.4366666666666668
39,Sardinero,3,4,2000-01-01 08:09:00,-1.17
1,Sardinero,1,4,2000-01-01 08:27:00,-2.4966666666666666
20,Sardinero,2,5,2000-01-01 08:42:00,-2.753333333333333
40,Sardinero,3,6,2000-01-01 08:57:00,-3.443333333333333
2,Sardinero,1,6,2000-01-01 09:12:00,-3.5700000000000003
21,Sardinero,2,7,2000-01-01 09:26:00,-0.046666666666666655
41,Sardinero,3,8,2000-01-01 09:41:00,-1.3800000000000001
3,Sardinero,1,8,2000-01-01 09:55:00,-1.1533333333333333
22,Sardinero,2,9,2000-01-01 10:10:00,-0.4375
42,Sardinero,3,10,2000-01-01 10:25:00,-1.8799999999999997
57,Sardinero,101,2,2000-01-01 10:40:00,-1.64
4,Sardinero,1,10,2000-01-01 10:55:00,-0.8099999999999999
23,Sardinero,2,11,2000-01-01 11:11:00,-1.65
43,Sardinero,3,12,2000-01-01 11:25:00,-2.1399999999999997
5,Sardinero,1,12,2000-01-01 11:57:00,-2.79
24,Sardinero,2,13,2000-01-01 12:12:00,-2.27
44,Sardinero,3,14,2000-01-01 12:28:00,-4.433333333333333
6,Sardinero,1,14,2000-01-01 12:43:00,-4.766666666666667
25,Sardinero,2,15,2000-01-01 12:58:00,-1.7266666666666666
45,Sardinero,3,16,2000-01-01 13:13:00,-3.7133333333333334
7,Sardinero,1,16,2000-01-01 13:27:00,-2.07
26,Sardinero,2,17,2000-01-01 13:42:00,-0.9066666666666666
46,Sardinero,3,18,2000-01-01 13:57:00,-3.4200000000000004
8,Sardinero,1,18,2000-01-01 14:12:00,-2.0733333333333333
27,Sardinero,2,19,2000-01-01 14:29:00,-3.0433333333333334
47,Sardinero,3,20,2000-01-01 14:44:00,-4.156666666666666
